Class	Site	Pop	Q1	Q2	Q3	Q4	NS	Pval
Rec	0f	FL	1	2	0	0	16	0.549881250824619
Rec	0f	PAC	2	0	0	0	17	NA
Rec	0f	ATL	0	1	0	0	18	NA
Sig	0f	FL	2	2	1	0	36	0.923104843486992
Sig	0f	PAC	1	1	2	0	37	NA
Sig	0f	ATL	0	2	2	0	37	NA
Mod	0f	FL	0	2	1	0	25	1
Mod	0f	PAC	1	1	0	0	26	NA
Mod	0f	ATL	1	1	1	0	25	NA
Eff	0f	FL	0	0	0	2	12	0.760975609756072
Eff	0f	PAC	0	0	0	0	14	NA
Eff	0f	ATL	0	0	0	1	13	NA
Rec	4f	FL	0	0	0	0	19	0.765584415584415
Rec	4f	PAC	0	0	1	0	18	NA
Rec	4f	ATL	1	1	0	0	17	NA
Sig	4f	FL	0	2	4	1	34	0.18169302419782
Sig	4f	PAC	1	1	0	1	38	NA
Sig	4f	ATL	3	3	1	0	34	NA
Mod	4f	FL	0	0	0	0	28	1
Mod	4f	PAC	0	0	0	0	28	NA
Mod	4f	ATL	0	1	0	0	27	NA
Eff	4f	FL	0	0	0	2	12	0.364698331193826
Eff	4f	PAC	0	0	0	0	14	NA
Eff	4f	ATL	0	1	1	1	11	NA
