"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	0.00132963704787493	0.00133529192815591	0.000657742811034846	0.00190750827095032	0.00104580808934668
"Immune_upper"	0.00166806024332765	0.00208746263327712	0.000995749287165104	0.00264050417582399	0.00221099637490741
"Immune_mean"	0.00149884864560129	0.00171137728071651	0.000826746049099975	0.00227400622338716	0.00162840223212704
"run_1"	0.00248579272866833	0.00130927307089731	0.00233485747851874	0.0028048442778491	0.00388641954129128
"run_2"	0.00148101965871886	0.00195017260879922	0.00125520005476565	0.00137191383268217	0.00172385257583188
"run_3"	0.00187231988824941	0.00134156204713984	0.00185049381174396	0.00135637470205915	0.00368844369761602
"run_4"	0.00214982276946857	0.00218344858720193	0.0022331691811651	0.00215731471756236	0.0018451179149602
"run_5"	0.00202275558915609	0.000842414045508221	0.00228615739518256	0.00239643904528314	0.00210588976848946
"run_6"	0.00201254620461992	0.00207922081578901	0.00222173621440133	0.00128378417801246	0.00276695539974548
"run_7"	0.00227446705470122	0.00286600162049526	0.00223372510916151	0.00169206793456386	0.00275578408190749
"run_8"	0.00154950887206224	0.000907838819989596	0.00145832237925333	0.00194139665656476	0.00190361738838189
"run_9"	0.0014680391992401	0.00121412636802812	0.00146197897024127	0.00151565867945701	0.00173514403751913
"run_10"	0.00154363426327048	0.00163789694407489	0.0017758915875776	0.000993054449101917	0.00183668380361646
"run_11"	0.00265543835893085	0.00127106654024834	0.00253818652672933	0.00165068227576394	0.00688712121635251
"run_12"	0.00154398157482634	0.00139610287503964	0.00144412832946609	0.00159205335399859	0.00194095789903305
"run_13"	0.00149299746378496	0.000662834593001457	0.00101009418554211	0.00239153746303831	0.00223678381905284
"run_14"	0.00160855591528306	0.00124333680046278	0.00163860005157304	0.0015766549354096	0.00208002598886541
"run_15"	0.001319344300182	0.000857200691817926	0.00143211887377234	0.00136239468828407	0.00153017002695739
"run_16"	0.00161638125948391	0.000720507318636153	0.00161309774156777	0.00160436308433006	0.002865862546268
"run_17"	0.00201368927913702	0.00212231075179856	0.00141966557175009	0.00226365704314821	0.00310597975270711
"run_18"	0.00247831643583452	0.00160547268702227	0.00145141909999276	0.00183967530914295	0.00794751454614227
"run_19"	0.00205550482610628	0.0012961709533363	0.00146092659239801	0.00296952807552583	0.00299924769617207
"run_20"	0.00124036549538413	0.00155045060173227	0.00104751000235548	0.00101294870157341	0.00183916038254559
"run_21"	0.00249129703040873	0.00244503180523547	0.00272636444557268	0.00205474452256885	0.0027387788501292
"run_22"	0.00184566586595093	0.00105364713318396	0.00279166555594933	0.00124688310043384	0.00134768629931637
"run_23"	0.00151925657366385	0.00197453868325582	0.00140475216355242	0.00132458192128532	0.00162605735930096
"run_24"	0.0019561361691279	0.00117841251934003	0.00269472384588535	0.00150574526100102	0.00174939331387549
"run_25"	0.00196554973363608	0.00126507686553939	0.00193854524894684	0.00197501366827444	0.00297634817622332
"run_26"	0.00201806945912828	0.00134107336444024	0.00173248957788039	0.00226936877550217	0.00327059232139741
"run_27"	0.00236367557038808	0.00114051157384124	0.00167509231201536	0.00147420912305708	0.0078191820027409
"run_28"	0.00169152591757742	0.00170140533730613	0.000973209471131077	0.00195334852879842	0.00325811393295364
"run_29"	0.00224734751670314	0.00110012090955499	0.00204654957415753	0.00231812888277394	0.00425078629743184
"run_30"	0.00212495257281035	0.00200111978704795	0.00241731428312671	0.00182380947412382	0.00203909539922018
"run_31"	0.00152268858271257	0.000691347170448824	0.00186397872046695	0.00153893421727582	0.0016189538268062
"run_32"	0.00224447252997498	0.00186394103826933	0.00173343050230091	0.00216552334473899	0.00441542957737869
"run_33"	0.00212875631952047	0.000733461962690221	0.00267894214318069	0.00226215332622632	0.00214431759251635
"run_34"	0.00161957301014243	0.00143576550831886	0.00153475667975689	0.00129603537656466	0.00276449199733046
"run_35"	0.00258061051390363	0.00277245920049596	0.00158988136531562	0.00199511167550355	0.0063926631940505
"run_36"	0.00238459285679869	0.00247380216492092	0.00234624256499766	0.00232470244882907	0.00249561546627502
"run_37"	0.00275919806686866	0.00130736462743232	0.0038460196601359	0.00204743775684087	0.00297022940301948
"run_38"	0.00158961429294784	0.00101934177147462	0.00211674024521575	0.00130716786166615	0.00138472243158315
"run_39"	0.0023168099620422	0.00126422745305035	0.00237949546937981	0.00188094230728335	0.00443347111941723
"run_40"	0.00172112694059838	0.00107937517684481	0.00158462239663252	0.00162086129328219	0.00319237036479631
"run_41"	0.00191032298437755	0.00203322727832719	0.00175660655432266	0.0021840392521159	0.00164626130941566
"run_42"	0.00231892024079713	0.00126540352081715	0.0028114293080146	0.00208962282340388	0.00276493978441962
"run_43"	0.00181392330931742	0.00132792599575183	0.00139221546737533	0.00277734414460371	0.00178165095855707
"run_44"	0.00181072967922749	0.00133976519868324	0.00215004470396168	0.00173306701354954	0.00161151280460046
"run_45"	0.00163580620553058	0.000990374650428429	0.00163460034922451	0.00171485629377138	0.00235718029015538
"run_46"	0.00165701069143218	0.00104769551138014	0.00154930739982913	0.00183855797636031	0.00243626064848406
"run_47"	0.00231183028752393	0.00111706574926674	0.00186700085247691	0.00168191384467056	0.00649584410636031
"run_48"	0.00240350256617952	0.00345052088299133	0.00153554886504416	0.001443460146477	0.0054444983860935
"run_49"	0.00238168024010781	0.00223903219308989	0.00209573872487315	0.00307127105365364	0.00203349254287059
"run_50"	0.0022693084979702	0.00104591132235866	0.0019448090320947	0.00250312763366339	0.00441231482926345
"run_51"	0.00253680000715341	0.00106283509421826	0.00264663093048422	0.00284491252530263	0.00359930822008383
"run_52"	0.00206013900814561	0.00161790516767087	0.00218238120851867	0.00192460222211643	0.00257339206261286
"run_53"	0.00234310382488795	0.00191418044501086	0.00230027542679083	0.00301635302841948	0.00170414174208536
"run_54"	0.00190544836607024	0.00181590098042975	0.00185313666595822	0.00217909716078917	0.00163287792175828
"run_55"	0.0019218028773877	0.000990166170230208	0.00198670214013302	0.00235573859785611	0.00212823341241049
"run_56"	0.00225823862485021	0.00160096446606241	0.00309088881957323	0.00163351612786562	0.00196122297834254
"run_57"	0.00174856203004289	0.00131419515824447	0.00131807347228961	0.00206125405575238	0.00297339236662779
"run_58"	0.00197205480475286	0.00146497138250203	0.00229895134363	0.00223725801005941	0.00117249317476854
"run_59"	0.0021702528203485	0.00187441700432674	0.0021918425491385	0.00264672480738031	0.00155557324800081
"run_60"	0.00204852759061961	0.00158567476788944	0.00231304319152906	0.00211498631386354	0.00176911471517358
"run_61"	0.00146717044874133	0.00122508591041471	0.00114709206352783	0.00126824676837507	0.00313093352532803
"run_62"	0.00170617410113942	0.00105923911452856	0.00179804493632005	0.00194145722026884	0.00184454075596636
"run_63"	0.00171277332476885	0.000889890728143048	0.00177935374894587	0.00211071303517713	0.00183867761428321
"run_64"	0.00214764169972001	0.00152682947853816	0.00287193573832317	0.0014936048008483	0.00217709954172956
"run_65"	0.00211663480965984	0.00235547527818371	0.00178179137709797	0.001823901498876	0.00335857370501919
"run_66"	0.00212763716444509	0.00187928986595893	0.00193496723828078	0.00234775548027545	0.00258869093592533
"run_67"	0.0021045466602432	0.00167393531773463	0.00158762114379277	0.00252649365833491	0.00335890706992628
"run_68"	0.00275875591033983	0.00339079619210969	0.00183739603015179	0.00264508156241171	0.0048266038729162
"run_69"	0.00192961743044055	0.00148175572730072	0.00168185287260077	0.00238624666482037	0.00234976747818719
"run_70"	0.00255725868705338	0.00107666891985114	0.00221908553242642	0.00314184117238949	0.00438782978184891
"run_71"	0.00231078955339342	0.000918237891075271	0.00249657254711368	0.00157917951903898	0.00511982239649619
"run_72"	0.00197217672816352	0.0014270836786144	0.00189521688028748	0.00114501461264805	0.00459165250950526
"run_73"	0.00164255114292939	0.00157728701004979	0.00177231442385558	0.00156356856388888	0.00150906801577748
"run_74"	0.00212147185423708	0.00152102258626459	0.00202347591420965	0.00198877722911366	0.00348874464966976
"run_75"	0.00180551238930255	0.000863063720475866	0.00193450230866056	0.00169962416434646	0.00291857012593106
"run_76"	0.00208977193864975	0.00140758125374363	0.00241196831538756	0.00205196798607263	0.00214763495573011
"run_77"	0.00163687396674602	0.000673912817561242	0.00149305735728173	0.00253451786411019	0.00156963923077102
"run_78"	0.001769794906588	0.00121184771811682	0.001724032352034	0.00154514324841214	0.00311033117420161
"run_79"	0.00264595771566282	0.000722715910770474	0.00239702376460281	0.00224535710525843	0.00678629367121555
