"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	-1.32040494021074	-1.73055808539881	-1.55230366237263	-1.37814974618568	-0.541713066739633
"Immune_upper"	-1.12218770684809	-1.38648970407487	-1.29197506933469	-1.08615511095718	0.234243209596776
"Immune_mean"	-1.22129632352941	-1.55852389473684	-1.42213936585366	-1.23215242857143	-0.153734928571429
"run_1"	-1.02862800980392	-0.984952578947368	-1.08613663414634	-1.34334389285714	-0.290051928571429
"run_2"	-1.31589314705882	-1.20177868421053	-1.24194924390244	-1.5725025	-1.17409407142857
"run_3"	-1.1806833627451	-1.107241	-1.00920797560976	-1.45097296428571	-1.24195385714286
"run_4"	-1.17963046078431	-1.34363005263158	-1.01789136585366	-1.33628021428571	-1.11742457142857
"run_5"	-1.41765644117647	-1.59377536842105	-1.2829947804878	-1.46275021428571	-1.48281664285714
"run_6"	-1.22080223529412	-1.40173957894737	-1.25949217073171	-1.38826996428571	-0.527002714285714
"run_7"	-1.14320987254902	-1.25273663157895	-1.1715083902439	-1.20654960714286	-0.785012714285714
"run_8"	-1.25635203921569	-1.30701226315789	-1.15473836585366	-1.36158075	-1.27472435714286
"run_9"	-1.17471634313725	-1.36973773684211	-1.20984743902439	-1.10451885714286	-0.9475555
"run_10"	-1.08613051960784	-0.842793263157895	-1.04881873170732	-1.49186028571429	-0.714184642857143
"run_11"	-1.38942497058824	-1.74302010526316	-1.22323265853659	-1.60040392857143	-0.974294
"run_12"	-1.09252125490196	-1.20662636842105	-0.969126268292683	-1.45334589285714	-0.577386071428571
"run_13"	-1.21550625490196	-1.26177215789474	-1.26830802439024	-1.17223335714286	-1.08462885714286
"run_14"	-1.15055878431373	-1.32791521052632	-1.0404433902439	-1.21366753571429	-1.10612407142857
"run_15"	-1.3458727745098	-1.23623131578947	-1.25367448780488	-1.42454378571429	-1.60733914285714
"run_16"	-1.19777474509804	-1.35063778947368	-0.994341073170732	-1.45971146428571	-1.06221435714286
"run_17"	-1.06322141176471	-1.05263721052632	-1.06965853658537	-1.21256385714286	-0.760049214285714
"run_18"	-1.09868640196078	-1.07876242105263	-1.13860075609756	-1.11147057142857	-0.983265714285714
"run_19"	-1.10677579411765	-1.40554647368421	-1.07322285365854	-1.17733253571429	-0.65845
"run_20"	-1.12350643137255	-1.32745842105263	-1.01204551219512	-1.26655878571429	-0.887031
"run_21"	-1.02951111764706	-0.845806947368421	-1.19098741463415	-1.34329878571429	-0.178353714285714
"run_22"	-1.31489651960784	-1.58092842105263	-1.10202192682927	-1.539415	-1.12823471428571
"run_23"	-1.18861231372549	-1.11860594736842	-1.18758736585366	-1.37425728571429	-0.915332642857143
"run_24"	-1.09923031372549	-1.35650089473684	-0.874229317073171	-1.40285282142857	-0.801763857142857
"run_25"	-1.16654216666667	-1.34945831578947	-1.0875716097561	-1.28792903571429	-0.906796
"run_26"	-1.1232251372549	-1.46510815789474	-1.00789092682927	-1.17404096428571	-0.895373857142857
"run_27"	-1.23545	-1.09694215789474	-1.37930536585366	-1.32053621428571	-0.831961785714286
"run_28"	-1.13255250980392	-1.11897	-1.1684412195122	-1.28339475	-0.744198785714286
"run_29"	-1.28053035294118	-1.45921057894737	-1.18850482926829	-1.34321914285714	-1.1821615
"run_30"	-1.27325091176471	-1.21430047368421	-1.3098127804878	-1.36158921428571	-1.06950442857143
"run_31"	-1.19328429411765	-1.24126168421053	-1.06777568292683	-1.24337546428571	-1.39555071428571
"run_32"	-1.05405209803922	-1.19310157894737	-0.899052146341463	-1.26824382142857	-0.890887071428571
"run_33"	-1.26937133333333	-1.56553715789474	-1.32857082926829	-1.3198975	-0.593009714285714
"run_34"	-1.28657650980392	-1.23300678947368	-1.21232519512195	-1.43335075	-1.28318007142857
"run_35"	-1.11121933333333	-1.047553	-1.21146009756098	-1.40580664285714	-0.314886785714286
"run_36"	-1.08209171568627	-1.05145178947368	-1.05887670731707	-0.985270178571429	-1.38530435714286
"run_37"	-1.2090477254902	-1.53921057894737	-1.25170448780488	-1.21904678571429	-0.616048071428571
"run_38"	-1.21767916666667	-1.19221968421053	-1.09987502439024	-1.31356510714286	-1.40545728571429
"run_39"	-1.21765854901961	-1.48198373684211	-1.20323558536585	-1.19007442857143	-0.956338428571429
"run_40"	-1.25308271568627	-1.18521694736842	-1.10779895121951	-1.37224571428571	-1.53233414285714
"run_41"	-1.17789581372549	-1.52025026315789	-0.811386975609756	-1.32601928571429	-1.49037228571429
"run_42"	-1.04094916666667	-1.51444310526316	-0.867262414634146	-1.18391767857143	-0.621067285714286
"run_43"	-1.21053415686275	-1.10751668421053	-1.31473856097561	-1.09799357142857	-1.27025471428571
"run_44"	-1.24824785294118	-1.06969268421053	-1.16077507317073	-1.59984903571429	-1.04354064285714
"run_45"	-1.29866546078431	-1.61872084210526	-1.328854	-1.29219117857143	-0.788843857142857
"run_46"	-1.05997621568627	-1.26127621052632	-0.993979878048781	-1.05003010714286	-0.999950571428571
"run_47"	-1.40782468627451	-1.77229105263158	-1.42957585365854	-1.49799260714286	-0.669156071428571
"run_48"	-1.14241851960784	-1.37879284210526	-1.12963285365854	-1.23115646428571	-0.681592642857143
"run_49"	-1.00752067647059	-1.03823615789474	-0.89331056097561	-0.985818571428571	-1.34371207142857
"run_50"	-1.28219435294118	-1.27348910526316	-1.459949	-1.202952	-0.931926142857143
"run_51"	-1.05944160784314	-1.25209794736842	-1.03224246341463	-1.06196882142857	-0.872579642857143
"run_52"	-1.13170333333333	-1.14045794736842	-1.13128924390244	-1.23675342857143	-0.910934571428571
"run_53"	-1.1496167254902	-0.958108105263158	-1.14194104878049	-1.30237235714286	-1.12648878571429
"run_54"	-1.1288502254902	-1.19366757894737	-1.1651822195122	-1.13532046428571	-0.9215425
"run_55"	-1.15437137254902	-1.17911936842105	-1.03035312195122	-1.23251871428571	-1.32768642857143
"run_56"	-1.01939040196078	-0.616022526315789	-1.08063031707317	-1.2802555	-0.865742571428571
"run_57"	-1.13509969607843	-0.999764105263158	-1.22436926829268	-1.16734982142857	-0.992836857142857
"run_58"	-1.26728579411765	-1.32732089473684	-1.16311351219512	-1.41426546428571	-1.19692621428571
"run_59"	-1.1560231372549	-1.25992021052632	-1.02580212195122	-1.278536	-1.15135578571429
"run_60"	-1.1025178627451	-1.25789115789474	-1.095601	-1.06682078571429	-0.983304785714286
"run_61"	-1.34471717647059	-1.39592021052632	-1.61553851219512	-0.933055571428571	-1.30543092857143
"run_62"	-1.19709662745098	-1.34598936842105	-1.08496609756098	-1.31024221428571	-1.097119
"run_63"	-1.20112138235294	-1.052958	-1.32624517073171	-1.31681571428571	-0.804377642857143
"run_64"	-1.28427080392157	-1.31362684210526	-1.27151302439024	-1.34030910714286	-1.16971592857143
"run_65"	-0.957299843137255	-0.853230105263158	-0.89661456097561	-1.17843842857143	-0.833981357142857
"run_66"	-1.16257238235294	-1.38624868421053	-1.22426343902439	-1.02000046428571	-0.963488857142857
"run_67"	-1.12741476470588	-1.19107026315789	-1.20342819512195	-1.217292	-0.638659928571429
"run_68"	-1.1570407254902	-1.30675484210526	-1.1232716097561	-1.19561060714286	-0.975612785714286
"run_69"	-1.35645452941176	-1.54756184210526	-1.37829997560976	-1.41052153571429	-0.924984642857143
"run_70"	-1.20110206862745	-1.08579205263158	-1.31169775609756	-1.19048492857143	-1.05494114285714
"run_71"	-1.21795167647059	-1.31399578947368	-1.22710331707317	-1.17527507142857	-1.14615807142857
"run_72"	-1.27253174509804	-1.33921326315789	-1.41582180487805	-1.325222	-0.657019714285714
"run_73"	-1.21644745098039	-1.23252131578947	-1.028023	-1.51432407142857	-1.15069414285714
"run_74"	-1.19795705882353	-1.09759378947368	-1.21260536585366	-1.25681325	-1.17355335714286
"run_75"	-1.25724226470588	-1.56803526315789	-1.25893404878049	-1.31803917857143	-0.708903428571429
"run_76"	-1.1748602745098	-1.20104021052632	-1.17789626829268	-1.32580139285714	-0.828557
"run_77"	-1.149258	-1.39867347368421	-1.15692909756098	-0.977294642857143	-1.13222692857143
"run_78"	-1.22220299019608	-1.02702984210526	-1.15818573170732	-1.37768471428571	-1.3635965
"run_79"	-1.13645308823529	-1.42735336842105	-1.00625524390244	-1.21754575	-0.960768214285714
"run_80"	-1.10535202941176	-1.12102778947368	-1.20297282926829	-1.10738275	-0.794126857142857
"run_81"	-1.05979307843137	-1.35971173684211	-0.999895634146341	-1.24481707142857	-0.458126571428571
"run_82"	-1.11373248039216	-1.32491415789474	-1.05713756097561	-1.14042025	-0.9394955
"run_83"	-1.31554287254902	-1.28892031578947	-1.18326287804878	-1.63115625	-1.10783814285714
"run_84"	-1.1507275	-1.45772773684211	-1.24966436585366	-0.823792178571429	-1.09821128571429
"run_85"	-1.15705504901961	-1.26524094736842	-1.18929492682927	-1.29291057142857	-0.6441035
"run_86"	-1.21717034313725	-1.39857284210526	-1.23322809756098	-1.39817910714286	-0.561937428571429
"run_87"	-1.42190744117647	-1.41952542105263	-1.43435726829268	-1.46212760714286	-1.30823964285714
"run_88"	-1.07166796078431	-1.03881757894737	-1.12292263414634	-0.951629	-1.20622557142857
"run_89"	-1.12186866666667	-1.22786968421053	-1.14575517073171	-1.20069164285714	-0.750410857142857
"run_90"	-1.18717575490196	-1.35585694736842	-1.05351212195122	-1.34643510714286	-1.03117607142857
"run_91"	-1.23852543137255	-1.24845315789474	-1.34505912195122	-1.13355735714286	-1.12299671428571
"run_92"	-1.23067304901961	-1.18518057894737	-1.41677551219512	-1.11880203571429	-0.9711405
"run_93"	-1.36003664705882	-1.67895921052632	-1.16577748780488	-1.467397	-1.28139428571429
"run_94"	-1.17321034313725	-1.20242052631579	-1.23283490243902	-1.41389017857143	-0.4775935
"run_95"	-1.16942858823529	-1.28168963157895	-1.06468231707317	-1.25278403571429	-1.15712035714286
"run_96"	-1.25662188235294	-1.34770778947368	-1.25859765853659	-1.29756742857143	-1.045328
"run_97"	-1.12869161764706	-0.751915052631579	-1.24384451219512	-1.31776903571429	-0.924642928571429
"run_98"	-1.3325246372549	-1.22953126315789	-1.44095324390244	-1.45264817857143	-0.914513357142857
"run_99"	-1.25241604901961	-1.36961652631579	-1.37631	-1.02328353571429	-1.188791
"run_100"	-1.13532529411765	-1.47883952631579	-0.862561097560976	-1.04602471428571	-1.646538
"run_101"	-1.40421995098039	-1.52523352631579	-1.3605973902439	-1.46253592857143	-1.25110707142857
"run_102"	-1.23624496078431	-1.05413442105263	-1.39876856097561	-1.23070746428571	-1.018508
"run_103"	-1.09672851960784	-1.136737	-1.07196465853659	-1.23343153571429	-0.841548
"run_104"	-1.25332290196078	-1.05184684210526	-1.45306853658537	-1.37094182142857	-0.7065475
"run_105"	-1.23509860784314	-1.22318694736842	-1.28256085365854	-1.28322078571429	-1.0160235
"run_106"	-1.13891610784314	-1.42832778947368	-0.892391731707317	-1.21150742857143	-1.32292471428571
"run_107"	-1.03656942156863	-1.32363963157895	-1.00242070731707	-1.19113210714286	-0.437855714285714
"run_108"	-1.13193102941176	-0.630986052631579	-1.15445263414634	-1.54311589285714	-0.923459071428571
"run_109"	-1.08720751960784	-1.40745478947368	-1.16681987804878	-0.939783892857143	-0.714283
"run_110"	-1.20058299019608	-1.035591	-1.19742541463415	-1.24140957142857	-1.35209471428571
"run_111"	-1.14816264705882	-1.22946521052632	-0.938533585365854	-1.2202375	-1.50758742857143
"run_112"	-1.24916566666667	-1.17165142105263	-1.0761203902439	-1.6278015	-1.10386735714286
"run_113"	-1.28138428431373	-1.71729515789474	-0.989635097560976	-1.44764635714286	-1.21167514285714
"run_114"	-1.10420323529412	-0.823863578947368	-1.12706036585366	-1.275115	-1.07590192857143
"run_115"	-1.2795625	-1.61271336842105	-1.15008797560976	-1.14769539285714	-1.47033878571429
"run_116"	-1.1902401372549	-1.03207273684211	-1.31240907317073	-1.26859182142857	-0.890412071428571
"run_117"	-1.2055612745098	-1.43697957894737	-1.14107809756098	-1.43218142857143	-0.627096857142857
"run_118"	-1.18547216666667	-1.43764921052632	-1.10005141463415	-1.41236571428571	-0.639605571428571
"run_119"	-1.14040358823529	-1.42328415789474	-1.022495	-1.12333660714286	-1.13593192857143
"run_120"	-1.1874218627451	-1.26531884210526	-1.19025492682927	-1.19529992857143	-1.05765157142857
"run_121"	-1.14370230392157	-1.41055184210526	-0.87967587804878	-1.26482089285714	-1.31253242857143
"run_122"	-1.21074708823529	-1.36649878947368	-1.30769753658537	-1.36631285714286	-0.404311928571429
"run_123"	-1.34484076470588	-1.46051878947368	-1.30123682926829	-1.29832067857143	-1.40858657142857
"run_124"	-1.05242881372549	-1.11712210526316	-0.925412390243902	-1.13504621428571	-1.17137264285714
"run_125"	-1.17051038235294	-1.45651684210526	-0.884250780487805	-1.17733003571429	-1.60705114285714
"run_126"	-1.04057684313725	-0.949817684210526	-0.998449512195122	-1.20678953571429	-0.9546975
"run_127"	-1.1471883627451	-1.49116673684211	-1.27969880487805	-0.915670892857143	-0.755329214285714
"run_128"	-1.19583938235294	-1.26405905263158	-1.11070707317073	-1.33273428571429	-1.07878178571429
"run_129"	-1.007518	-1.03127778947368	-1.0796923902439	-1.0025845	-0.773771714285714
"run_130"	-1.22727707843137	-1.509076	-1.0843127804878	-1.2958215	-1.126428
"run_131"	-1.0928627745098	-1.11899447368421	-1.05981190243902	-1.11467182142857	-1.11057207142857
"run_132"	-1.21881979411765	-1.21825336842105	-1.17409224390244	-1.48283825	-0.822539428571429
"run_133"	-1.23156492156863	-1.62091694736842	-1.04664524390244	-1.33263471428571	-1.0425695
"run_134"	-1.21618451960784	-1.20207205263158	-1.34601387804878	-1.38221692857143	-0.523057785714286
"run_135"	-1.17650959803922	-1.14057515789474	-1.2473483902439	-1.11165753571429	-1.14752542857143
"run_136"	-1.08545212745098	-0.772624684210526	-1.14865507317073	-1.18867489285714	-1.11846378571429
"run_137"	-1.17929326470588	-1.32606342105263	-1.03885024390244	-1.27039703571429	-1.20919507142857
"run_138"	-1.0166282254902	-1.09249036842105	-0.924398195121951	-1.06018567857143	-1.09665978571429
"run_139"	-1.11766151960784	-1.65533142105263	-1.03380592682927	-0.934573785714286	-0.999719214285714
"run_140"	-1.17824346078431	-1.17288215789474	-1.14392831707317	-1.44520010714286	-0.752100571428571
"run_141"	-1.13449493137255	-1.06708757894737	-1.2962817804878	-1.12254628571429	-0.776069285714286
"run_142"	-0.987989921568627	-1.11410736842105	-1.13497814634146	-0.887766821428571	-0.586811214285714
"run_143"	-1.24425269607843	-1.473573	-1.10612036585366	-1.38528717857143	-1.05549371428571
"run_144"	-1.2816216372549	-1.092353	-1.22957451219512	-1.36923971428571	-1.51567378571429
"run_145"	-1.18910553921569	-1.34499268421053	-0.888860219512195	-1.45023239285714	-1.33458057142857
"run_146"	-1.37998978431373	-1.36536310526316	-1.33530573170732	-1.43617003571429	-1.41834021428571
"run_147"	-1.17083444117647	-1.30087747368421	-1.18472373170732	-1.13082971428571	-1.03368114285714
"run_148"	-1.22783378431373	-1.05334389473684	-1.43567724390244	-1.20703760714286	-0.897549428571429
"run_149"	-1.25029653921569	-1.02012368421053	-1.29028531707317	-1.37711285714286	-1.19193135714286
"run_150"	-1.25554641176471	-0.979119789473684	-1.54191819512195	-1.03996503571429	-1.22319935714286
"run_151"	-1.04685926470588	-1.17521615789474	-1.19840853658537	-1.03943875	-0.443678785714286
"run_152"	-1.36371818627451	-1.41626894736842	-1.21272429268293	-1.56066878571429	-1.3406945
"run_153"	-1.21537414705882	-1.24306352631579	-1.32768512195122	-1.17606978571429	-0.927493714285714
"run_154"	-1.20399129411765	-1.22643957894737	-1.26913270731707	-1.3438375	-0.703062071428571
"run_155"	-1.22855790196078	-1.26576342105263	-1.18000519512195	-1.46757332142857	-0.842223928571429
"run_156"	-1.1073733627451	-0.929056210526316	-1.05007565853659	-1.23418110714286	-1.26356014285714
"run_157"	-1.20976194117647	-0.997176368421053	-1.39227009756098	-1.26614396428571	-0.851018714285714
"run_158"	-1.05835618627451	-0.920186315789474	-1.08915214634146	-1.31931303571429	-0.633770571428571
"run_159"	-1.16556896078431	-1.12416642105263	-1.1213872195122	-1.23721492857143	-1.20785557142857
"run_160"	-1.23651949019608	-1.37325136842105	-1.25790429268293	-1.08938032142857	-1.28260621428571
"run_161"	-1.09118242156863	-1.37642884210526	-0.804460707317073	-1.25943375	-1.20724464285714
"run_162"	-1.03631708823529	-1.43248952631579	-0.831227609756098	-1.20080846428571	-0.770290928571429
"run_163"	-1.02540102941176	-0.938997947368421	-0.939788390243902	-1.30404071428571	-0.836105714285714
"run_164"	-1.26400995098039	-1.35392357894737	-1.34170731707317	-1.22574685714286	-0.990968214285714
"run_165"	-1.06282544117647	-1.06583752631579	-1.1904943902439	-0.970038321428571	-0.870424214285714
"run_166"	-1.01585715686275	-0.821917631578947	-1.17852919512195	-1.17361557142857	-0.487147285714286
"run_167"	-1.26741655882353	-1.18041247368421	-1.4668192195122	-1.15704025	-1.02228121428571
"run_168"	-1.16337058823529	-0.97609547368421	-1.25033753658537	-1.24503264285714	-0.999516642857143
"run_169"	-1.13629787254902	-1.26493763157895	-1.04009436585366	-1.292312	-0.931425928571429
"run_170"	-1.13168484313725	-1.05557268421053	-0.997846536585366	-1.50607192857143	-0.878160785714286
"run_171"	-1.02936004901961	-1.21167847368421	-0.955207951219512	-1.05280446428571	-0.952198785714286
"run_172"	-1.22265108823529	-1.34296363157895	-1.30372165853659	-1.25420210714286	-0.758846785714286
"run_173"	-0.951068058823529	-0.946681052631579	-1.05582180487805	-1.04881303571429	-0.454753071428571
"run_174"	-1.23550006862745	-1.44137347368421	-1.19802373170732	-1.26046675	-1.01591921428571
"run_175"	-1.20330067647059	-1.23760078947368	-1.04722787804878	-1.55416271428571	-0.912096785714286
"run_176"	-1.12779792156863	-1.29322552631579	-1.06972187804878	-1.18781539285714	-0.953333928571429
"run_177"	-0.943357735294118	-0.981357526315789	-0.764968682926829	-0.972580571428571	-1.355766
"run_178"	-1.16175052941176	-0.692560105263158	-1.46429214634146	-1.24442278571429	-0.747149714285714
"run_179"	-1.23527660784314	-1.50621542105263	-1.02935668292683	-1.34129614285714	-1.25858607142857
"run_180"	-1.03817356862745	-1.14769336842105	-0.90025212195122	-1.31237189285714	-0.745055714285714
"run_181"	-1.033753	-1.08327778947368	-1.18778102439024	-0.960269214285714	-0.662426285714286
"run_182"	-1.14726776470588	-1.201581	-1.11935151219512	-1.1607775	-1.12829221428571
"run_183"	-1.05755465686275	-1.18625584210526	-0.806483219512195	-1.31258260714286	-1.1081135
"run_184"	-0.991098735294118	-1.14560884210526	-0.759584121951219	-1.22808132142857	-0.985448357142857
"run_185"	-1.01669081372549	-1.277811	-0.982274487804878	-0.972542285714286	-0.851401142857143
"run_186"	-1.16140003921569	-1.039181	-1.03666251219512	-1.38939639285714	-1.23657878571429
"run_187"	-1.18933252941176	-1.55281694736842	-1.03811663414634	-1.22781946428571	-1.06190492857143
"run_188"	-1.202954	-1.29730563157895	-1.35530295121951	-1.19032135714286	-0.654005857142857
"run_189"	-1.03533515686275	-1.03961210526316	-0.872766658536585	-1.19691660714286	-1.18246128571429
"run_190"	-1.28367247058824	-1.44260721052632	-1.21561934146341	-1.41920246428571	-0.996213785714286
"run_191"	-1.25647288235294	-1.72767489473684	-1.14756153658537	-1.27505228571429	-0.898780285714286
"run_192"	-1.31557500980392	-1.13105773684211	-1.54709280487805	-1.29257825	-0.933968428571429
"run_193"	-1.09775744117647	-1.19443810526316	-1.06030185365854	-1.19820435714286	-0.8753455
"run_194"	-1.09595116666667	-1.09954084210526	-1.10787575609756	-1.31577389285714	-0.616512
"run_195"	-1.38587117647059	-1.32340405263158	-1.33770175609756	-1.54663067857143	-1.29019657142857
"run_196"	-1.02201620588235	-1.16587505263158	-1.01122309756098	-1.06275625	-0.7769075
"run_197"	-1.31986002941176	-1.44121605263158	-1.38763607317073	-1.18393778571429	-1.22852007142857
"run_198"	-1.19690691176471	-1.52756457894737	-1.11985282926829	-1.09808289285714	-1.17146364285714
"run_199"	-1.24778948039216	-1.55847857894737	-1.18057636585366	-1.25904007142857	-1.00047721428571
"run_200"	-1.30499173529412	-1.59455442105263	-1.23584297560976	-1.45262217857143	-0.81926
"run_201"	-1.16728247058824	-1.50033473684211	-0.967912951219512	-1.28560603571429	-1.06250371428571
"run_202"	-1.19169515686275	-1.31396689473684	-0.931089390243902	-1.41419010714286	-1.34396764285714
"run_203"	-1.17201241176471	-1.43308731578947	-1.19731843902439	-1.26940785714286	-0.548795071428571
"run_204"	-1.10440064705882	-1.27318389473684	-1.11239280487805	-1.18619996428571	-0.688333428571429
"run_205"	-1.22174625490196	-1.46349226315789	-1.09192514634146	-1.27759514285714	-1.162155
"run_206"	-1.22468419607843	-1.49358384210526	-1.17035192682927	-1.26436514285714	-0.939503
"run_207"	-1.17144483333333	-1.55804063157895	-0.989258073170732	-1.35295821428571	-0.817299285714286
"run_208"	-1.16601997058824	-1.35812842105263	-0.964583926829268	-1.36097310714286	-1.10531492857143
"run_209"	-1.16999237254902	-1.13877584210526	-1.25812334146341	-1.2907695	-0.712705571428571
"run_210"	-1.36360199019608	-1.46469847368421	-1.34563209756098	-1.43715060714286	-1.1319285
"run_211"	-1.1969466372549	-1.26849589473684	-1.0558637804878	-1.30106728571429	-1.304774
"run_212"	-1.10583857843137	-1.15528994736842	-1.26772470731707	-1.06175225	-0.652803571428571
"run_213"	-1.15167246078431	-1.28540884210526	-1.00749392682927	-1.36192267857143	-0.971909785714286
"run_214"	-1.18813340196078	-1.64104742105263	-0.932841926829268	-1.41498582142857	-0.867398857142857
"run_215"	-1.19766310784314	-1.20633521052632	-1.01396885365854	-1.45464160714286	-1.20989857142857
"run_216"	-1.2789867745098	-1.02354626315789	-1.27597990243902	-1.55180128571429	-1.08883285714286
"run_217"	-1.24152679411765	-1.15207752631579	-1.30193770731707	-1.428728	-0.811602142857143
"run_218"	-1.29000988235294	-1.416251	-1.22961012195122	-1.25600835714286	-1.36357071428571
"run_219"	-1.26606304901961	-1.52157536842105	-1.18272231707317	-1.1110285	-1.47343471428571
"run_220"	-1.22191541176471	-1.237925	-1.19974814634146	-1.46631860714286	-0.776300142857143
"run_221"	-1.14834601960784	-1.35373552631579	-1.10142065853659	-1.15620882142857	-0.991301785714286
"run_222"	-1.11220132352941	-1.11773536842105	-1.23108980487805	-1.04457778571429	-0.8917645
"run_223"	-1.33153291176471	-1.30946263157895	-1.18780841463415	-1.49296382142857	-1.45953107142857
"run_224"	-1.15110802941176	-1.20871589473684	-1.0298783902439	-1.27569510714286	-1.17878142857143
"run_225"	-1.21165212745098	-1.00881926315789	-1.196534	-1.38191107142857	-1.19068192857143
"run_226"	-1.16352465686275	-1.13235447368421	-1.13964475609756	-1.15055328571429	-1.30170378571429
"run_227"	-1.16222232352941	-1.22236721052632	-1.15930670731707	-1.05962646428571	-1.29432742857143
