"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	-1.42416212099267	-1.74105888673992	-1.51766570436049	-1.43571664017866	-1.16048675724442
"Immune_upper"	-1.28460813390929	-1.45772900799692	-1.30257605173707	-1.22965707410706	-0.643600385612723
"Immune_mean"	-1.35438512745098	-1.59939394736842	-1.41012087804878	-1.33268685714286	-0.902043571428571
"run_1"	-1.21280371568627	-1.15152226315789	-1.35167258536585	-1.38974935714286	-0.535392714285714
"run_2"	-1.32865014705882	-1.16175326315789	-1.3452047804878	-1.45772642857143	-1.24851907142857
"run_3"	-1.37221880392157	-1.20597757894737	-1.3631492195122	-1.3746345	-1.61956142857143
"run_4"	-1.27709361764706	-1.21006573684211	-1.38317514634146	-1.21102571428571	-1.1895285
"run_5"	-1.40707376470588	-1.41721105263158	-1.37019095121951	-1.39537225	-1.524733
"run_6"	-1.36794298039216	-1.33791763157895	-1.4608217804878	-1.43096607142857	-1.01064328571429
"run_7"	-1.35697801960784	-1.42624484210526	-1.13714	-1.68199803571429	-1.25674435714286
"run_8"	-1.40772494117647	-1.37413942105263	-1.50195143902439	-1.35187621428571	-1.28905371428571
"run_9"	-1.33396271568627	-1.20226784210526	-1.38098392682927	-1.25977078571429	-1.52337035714286
"run_10"	-1.23220054901961	-1.00640073684211	-1.20073856097561	-1.5083785	-1.07842592857143
"run_11"	-1.35710435294118	-1.33973326315789	-1.34007414634146	-1.3719655	-1.40083128571429
"run_12"	-1.2119571372549	-0.995296842105263	-1.27872134146341	-1.26839682142857	-1.197593
"run_13"	-1.43236646078431	-1.50465142105263	-1.46033634146341	-1.24503507142857	-1.62701642857143
"run_14"	-1.29578558823529	-1.25947863157895	-1.30459887804878	-1.33535921428571	-1.24010171428571
"run_15"	-1.51844291176471	-1.20145452631579	-1.64632465853659	-1.52879203571429	-1.55343235714286
"run_16"	-1.21302878431373	-1.18612378947368	-1.22745656097561	-1.24120621428571	-1.15093507142857
"run_17"	-1.23612512745098	-1.05016405263158	-1.38303848780488	-1.35978271428571	-0.810939428571429
"run_18"	-1.24062690196078	-1.00005742105263	-1.30340280487805	-1.32912539285714	-1.20627335714286
"run_19"	-1.33250074509804	-1.08778952631579	-1.42787541463415	-1.41391542857143	-1.22246792857143
"run_20"	-1.27201678431373	-1.06438373684211	-1.41396763414634	-1.43334932142857	-0.815426214285714
"run_21"	-1.18048838235294	-0.901723736842105	-1.31556129268293	-1.38761203571429	-0.748993857142857
"run_22"	-1.43884979411765	-1.25468684210526	-1.40848746341463	-1.59737892857143	-1.46064521428571
