"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Test_statistic"	-0.0843941267436473	0.0149568317403538	-0.0782932309949331	0.0136112261491334	-0.0346689536382014
"run_1"	0.0927224297301762	-0.0131090882400491	0.0103657941715011	0.0428491557845545	0.0526165680141697
"run_2"	-0.0471664956346984	0.0295596145078216	-0.0513543214316691	-0.0115231613991617	-0.0138486273116892
"run_3"	-0.0116414169514415	-0.0015857227887979	0.00832008387775561	-0.0209095893443821	0.0025338113039829
"run_4"	0.0597440499446929	0.0370762611129926	0.0356163789721195	0.0142739631627171	-0.0272225533031362
"run_5"	0.0428763552855268	-0.0132066503244874	0.0337325063761223	0.0166392358241391	0.00571126340975287
"run_6"	0.0364586810446369	0.0269744635295788	0.00428035557987657	-0.0117506150056569	0.0169544769408384
"run_7"	0.00767812966884703	0.0550298407783607	-0.00431490324996252	-0.0210521041590955	-0.0219847037004557
"run_8"	-0.0423888520498439	-0.00547516028322124	-0.0179576922334376	0.00193153518596101	-0.0208875347191461
"run_9"	-0.0453047503088265	-0.00279223929915459	-0.0171998083980947	-0.000736010612704832	-0.0245766919988724
"run_10"	-0.0884980795295454	-0.00471302948373146	-0.0161538431804308	-0.0328281844836041	-0.034803022381779
"run_11"	0.0876163687796573	0.008635417523173	0.0194969291127848	0.0153816229622736	0.0441023991814258
"run_12"	-0.0787485685722327	-0.00499884233044413	-0.0457204380870499	-0.0188591094830317	-0.00917017867170689
"run_13"	-0.0646799661872959	-0.011465864113313	-0.0543746473834328	0.0210589040461251	-0.0198983587366751
"run_14"	-0.049304614338694	0.00439812636645932	-0.030914196621155	-0.0298483061057043	0.00705976202170602
"run_15"	-0.0952669927548644	-0.0124246172524056	-0.0380442489512003	-0.0168708177083256	-0.0279273088429329
"run_16"	-0.0337472267920173	-0.0228078939125766	-0.0198953912221491	-0.0160940508961544	0.0250501092388628
"run_17"	-0.0234134549505104	0.00814534552943823	-0.0249713519216964	-0.00571569513480351	-0.000871753423448705
"run_18"	0.014938940081604	0.00603236913286099	-0.0373207188425296	-0.00348576876206572	0.0497130585533383
"run_19"	0.0251150163436798	-0.014319392352125	-0.0353408062315135	0.0705179178109016	0.00425729711641672
"run_20"	-0.0626370333415426	0.0161172303057671	-0.0416274632753317	-0.00364514744874317	-0.0334816529232348
"run_21"	0.0531957759882837	0.0349320172149919	0.0191866234932558	0.00532386145442807	-0.0062467261743921
"run_22"	-0.0244445409113627	-0.00194420865420512	0.0434199840983622	-0.022557897120805	-0.0433624192347148
"run_23"	-0.0579679721651285	0.0052959569655453	-0.0153635506617066	-0.0153359598298493	-0.0325644186391179
"run_24"	0.0493526201957345	-0.00428995927480558	0.0648987981649576	0.00242101607301159	-0.0136772347674291
"run_25"	0.0432418123370984	-0.00697669254023387	0.00337816786358958	-0.000956728331449209	0.0477970653451919
"run_26"	0.0174974969029826	0.00257505835152206	-0.0265409506206895	0.0179574249808667	0.0235059641912833
"run_27"	-0.0204895340754121	-0.0133760916207976	-0.0151145001626434	-0.0325343215078939	0.0405353792159228
"run_28"	-0.0482589667857137	0.0109669408157326	-0.05429978727241	-0.000211348095288067	-0.00471477223374831
"run_29"	0.0708456512612485	-0.00968970172416395	0.0377591116175759	0.0299952351819558	0.0127810061858809
"run_30"	0.0670807542558062	0.0204144254552609	0.0425517215836268	0.022506081828516	-0.0183914746115975
"run_31"	-0.102322747887741	-0.0290513135185709	-0.0246224330164138	-0.014759311194558	-0.0338896901581986
"run_32"	0.0349952708020594	0.0256540843547127	-0.0141880432198312	0.0124071336131853	0.0111220960539926
"run_33"	0.0571259315390199	-0.0128101702492392	0.0656210355499269	0.0261818028626622	-0.02186673662433
"run_34"	-0.0623071384805747	-0.00140411447399241	-0.03177052649633	-0.0288081379796221	-0.000324359530630202
"run_35"	0.0944814725615771	0.0570035230294187	-0.030614916213793	0.00858232808795757	0.0595105376579939
"run_36"	0.0494370168555342	0.0262238663865383	0.0160516364234537	0.026275874848666	-0.0191143608031238
"run_37"	0.172092734710598	0.00835552299744591	0.113880998591436	0.0268521823721431	0.0230040307495729
"run_38"	-0.0534973071244473	-0.0216482187012729	-0.00605192588902655	-0.00651137114248173	-0.0192857913916661
"run_39"	0.065917293377383	-0.0135195050600073	0.0285853623624946	0.00983625711390217	0.0410151789609934
"run_40"	-0.0344806687199504	-0.0134616902200552	-0.013467748675792	-0.00540066026390302	-0.00215056956020022
"run_41"	-0.0160798955577116	0.0184382590150385	-0.021159160567363	0.0223760874370768	-0.0357350814424639
"run_42"	0.0364636976440302	0.0102404212591978	0.0397125492760237	0.00342820318747908	-0.0169174760786703
"run_43"	-0.00739937803032354	-0.00846924931541849	-0.0341459228712001	0.0522152982872254	-0.0169995041309303
"run_44"	-0.0220292216512682	-0.0117183401301765	0.0095789791792501	0.00142199301064575	-0.0213118537109876
"run_45"	-0.0588017036683169	-0.000970265913089721	-0.0241617441628184	-0.00437865980255726	-0.0292910337898515
"run_46"	-0.0567932727308175	-0.0158304151012428	-0.0173205620496092	-0.00766882714823965	-0.0159734684317258
"run_47"	0.0572625510088082	-0.00685383058154206	0.00337029317508849	-0.00738792477313988	0.0681340131884016
"run_48"	0.067410575548733	0.0608551303702747	-0.0167021323147004	-0.00748374878606678	0.0307413262792255
"run_49"	0.0482604288876198	0.0252521243978347	-0.0330824611155778	0.0496307952344359	0.0064599703709271
"run_50"	0.0391796713957548	-0.00150245728323933	-0.0154731332474259	0.0243139947867976	0.0318412671396224
"run_51"	0.0871021264014857	-0.0126663435724573	0.0353092105636474	0.0447356938219101	0.0197235655883855
"run_52"	0.0407328925537493	0.00735329305007196	0.0318348135289616	0.0036751162028931	-0.00213033022817734
"run_53"	0.0236087089338955	0.0136792024860786	-0.00151945978242659	0.0445539532673952	-0.0331049870371518
"run_54"	-0.0201867654983205	0.0320293508998876	-0.0329454421014108	0.0126611254829434	-0.0319317997797406
"run_55"	0.00553716642599896	-0.0146342382953512	-0.00381950242872635	0.0197941985462732	0.00419670860380334
"run_56"	-0.00435404733845619	-0.0160303865451442	0.0595574627301318	-0.0102862069190693	-0.0375949166043745
"run_57"	-0.0339159112419354	-0.0129013842967034	-0.0385958876096674	0.00917215835184233	0.00840920231259317
"run_58"	0.0242839040088365	0.0153277525331294	0.0198114237524222	0.0190020001864618	-0.0298572724631769
"run_59"	0.0408012166059547	0.0151511780936737	0.00756494726351244	0.0304432592361719	-0.0123581679874035
"run_60"	0.018336877055151	-0.00289488102523148	0.0165220340397105	0.00457925009351557	0.000130473947156494
"run_61"	-0.065270052563202	-0.0141745503223568	-0.026592570641574	-0.0278177339633485	0.00331480236407725
"run_62"	-0.0286522253604097	-0.0168519084088342	0.0110108556327753	0.00164679106642055	-0.0244579636507714
"run_63"	-0.0841123858674572	-0.0252421834477088	-0.0209427898199125	0.0033465732759939	-0.0412739858758298
"run_64"	-0.025294660744532	-0.00791372324629417	0.0282614743769136	-0.0215298472529927	-0.0241125646221587
"run_65"	0.0780947078766714	0.0320936112839539	-0.00146822551878221	0.00914521007300162	0.038324112038498
"run_66"	-0.00727357009127062	0.0192562750110614	-0.0317894794493048	0.00878638061965539	-0.00352674627268263
"run_67"	0.042650746674403	0.0187853930500594	-0.0198953176242951	0.0309219747593208	0.012838696489318
"run_68"	0.108274589156567	0.0758909718165501	-0.0239823220296893	0.0444624918788295	0.0119034474908765
"run_69"	0.032886451269445	0.00958069092041774	-0.0253397400507267	0.0241968814136033	0.0244486189861507
"run_70"	0.100484027041799	-0.0135731189731029	0.0379600708197085	0.0627497809472393	0.0133472942479541
"run_71"	0.0262345598723871	-0.0120177456491537	0.0269067822016248	-0.0340800859052459	0.0454256092251619
"run_72"	0.029964068091463	0.0126821850935036	0.000224426266274795	-0.0258033638723555	0.04286082060404
"run_73"	-0.0571461736402529	0.00729935885927527	-0.0228386271664938	-0.00621787212134013	-0.0353890332116942
"run_74"	0.021490305096334	0.00314627450479097	-0.006248474456741	0.0048427912784792	0.0197497137698048
"run_75"	0.0146071739460042	-0.0124798691040799	0.0287489792401524	-0.000548232561245596	-0.00111370362882271
"run_76"	0.040094876711967	0.0193173361524998	0.0290715151652395	0.021336586595487	-0.0296305612012593
"run_77"	-0.074748370085532	-0.0287724903051962	-0.0368579454193044	0.0235921055542477	-0.0327100399152791
"run_78"	-0.039103580163906	-0.0123371452350962	-0.0251875811311204	-0.0127188469554968	0.0111399931578074
"run_79"	0.0858476495104532	-0.0197459783177411	0.0377156056229771	0.0235741595209107	0.0443038626843065
"run_80"	0.0226353570342779	-0.00108554142423413	0.0364899486420774	0.00324203128562687	-0.0160110814691922
"run_81"	0.0741457805652121	-0.0119570420840121	0.0881263092786266	-0.00703993657384522	0.0050164499444428
"run_82"	-0.00168747210819792	0.00207972932188387	-0.0208016039480683	-0.00164001769263545	0.0186744202106219
"run_83"	0.0098723997380443	0.00133860338579647	-0.0129218780207949	-0.0123420217762024	0.0337976961492452
"run_84"	-0.0128136054993621	0.0327303625015277	-0.0205983432041035	0.00302020009578205	-0.0279658248925683
"run_85"	0.083954358507229	0.00659465911397716	0.0441693906192124	0.0224365828922819	0.0107537258817576
"run_86"	-0.0548144352418062	0.0191036243207221	-0.0357788332435733	-0.0158350352696307	-0.0223041910493243
"run_87"	0.0124823214894618	0.0379376902006647	-0.0240129608490225	0.00690960158874981	-0.00835200945093024
"run_88"	0.0296548910244783	-0.000319873880455281	-0.00830010818353524	0.0148383709759532	0.0234365021125156
"run_89"	-0.0288460857647819	-0.00679533664784559	-0.046641054434631	0.00409904409603904	0.0204912612216557
"run_90"	0.0843210715151308	0.0402364955511783	0.0172620406161348	-0.00131494952727758	0.0281374848750953
"run_91"	0.00991627148420544	-0.0135232941864068	-0.00427399788697128	-0.000518008370451044	0.0282315719280346
"run_92"	-0.0406139665038186	-0.017157390019036	-0.00436762492882686	0.00784200250500424	-0.02693095406096
"run_93"	-0.000265715291739996	0.0350647185641393	-0.0133588318266887	0.00771787063901972	-0.0296894726682103
"run_94"	0.0331418644728254	0.0343176882918165	-0.0167317894763264	-0.00992572453961422	0.0254816901969496
"run_95"	0.0755878985688451	-0.0103047029237507	0.0363299197854886	0.053787594946468	-0.00422491323936085
"run_96"	0.0991397297875386	-0.0101289219978966	0.0480946325368724	0.0128578977418239	0.048316121506739
"run_97"	-0.0615967888302397	0.00138743902754192	-0.0175593180696521	-0.0197949527168365	-0.0256299570712931
"run_98"	-0.0698110887707092	-0.0292090883966355	0.0168713324125031	-0.0219654219131465	-0.0355079108734304
"run_99"	-0.0450817943737791	-0.0205566854230739	-0.0245309640035806	0.00474921943888626	-0.00474336438601087
"run_100"	-0.0111398941469984	0.000334397864824502	0.00476635986442092	0.00787921419400109	-0.0241198660702449
"run_101"	-0.0585681437062217	-0.0178902115920843	0.00788504845974269	-0.00943123673995374	-0.0391317438339263
"run_102"	-0.00172911942555774	0.00414811038956992	-0.00889736649469555	0.034033145157314	-0.0310130084777461
"run_103"	0.00598230282675293	-0.0138362132296785	0.00290343247517936	-0.000333102982096649	0.0172481865633487
"run_104"	-0.00330331368949247	0.00301297682374567	9.3335991849981e-05	-0.008666808232221	0.00225718172713288
"run_105"	-0.0343551890711746	-0.0147982366701679	-0.031353256720563	0.032350603118776	-0.0205542987992197
"run_106"	-0.0315081156454742	-0.00401066122395961	-0.0131614124847596	-0.0156197437755461	0.00128370183879105
"run_107"	-0.0068380839505963	0.00139170723204387	-0.0280475475721184	0.0265516546024333	-0.00673389821295506
"run_108"	-0.0181820932572899	0.00789196597324608	0.010557521399832	-0.0233927744945274	-0.0132388061358406
"run_109"	-0.0532555654992522	-0.0225951471179719	-0.0413926517248816	0.0313548024428612	-0.0206225690992599
"run_110"	-0.0522590205992617	-0.0206738624577933	-0.0540691070291864	0.0133918569684203	0.00909209191929779
"run_111"	0.165667097823488	0.0320755847814729	0.143440248314791	0.0150763030029983	-0.0249250382757741
"run_112"	-0.0337369037182372	0.00420213218950842	0.0023883792357229	-0.0182694293797717	-0.0220579857636968
"run_113"	0.0574413524146581	-0.00850450297903363	0.0481351118017134	-0.0216264305078929	0.0394371740998712
"run_114"	0.0376481256779442	-0.00260900706468869	0.0100371868127251	0.0107264682234135	0.0194934777064942
"run_115"	-0.0667621386706203	-0.0229636128743796	-0.0403431128640689	0.0150984631113039	-0.0185538760434758
"run_116"	-0.00117203941259734	-0.00431223620074132	-0.0107794149489407	-0.0167198732364638	0.0306394849735485
"run_117"	-0.0565144501940088	0.0211445131028878	-0.0384521281490515	-0.00707509927450648	-0.0321317358733386
"run_118"	-0.0771010578677678	0.0197670083428663	-0.0377971670838411	-0.0375604609273891	-0.021510438199404
"run_119"	-0.0314002669927406	0.025724077646726	-0.0160204927488307	-0.0247338013419852	-0.0163700505486508
"run_120"	-0.0411096120398175	0.000788624400847986	-0.0400591111469489	0.0502612572252546	-0.0521003825189712
"run_121"	0.031681704695432	-0.00922573832178585	0.00532685421941486	0.0247711999792301	0.0108093888185729
"run_122"	0.00590632929455712	0.0245352942653354	-0.00614879481796536	0.0155588999056714	-0.0280390700584843
"run_123"	-0.108181763593245	-0.00503227761480046	-0.0255702198450395	-0.0333278337891038	-0.0442514323443014
"run_124"	-0.0261326665861795	0.0125365997655507	-0.01550480458827	-0.00438820191839591	-0.0187762598450643
