"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	0.17758827651998	0.18573531281534	0.184401421343708	0.167717085695357	0.113080222432468
"Immune_upper"	0.194291527401589	0.209796371395186	0.212806481095316	0.198731842876071	0.16338720613896
"Immune_mean"	0.185939901960784	0.197765842105263	0.198603951219512	0.183224464285714	0.138233714285714
"run_1"	0.180051009803922	0.169949578947368	0.176401585365854	0.168249535714286	0.228050642857143
"run_2"	0.173301656862745	0.184291578947368	0.164486292682927	0.182316285714286	0.166173928571429
"run_3"	0.176016921568627	0.197807421052632	0.165617292682927	0.192357821428571	0.144218357142857
"run_4"	0.189661549019608	0.208297	0.166697780487805	0.208146214285714	0.194652285714286
"run_5"	0.168954656862745	0.216081263157895	0.153514487804878	0.1630835	0.161957071428571
"run_6"	0.177352911764706	0.172290315789474	0.172152609756098	0.195269107142857	0.163620642857143
"run_7"	0.16707637254902	0.197846368421053	0.156235341463415	0.165234214285714	0.160750142857143
"run_8"	0.178210960784314	0.201744	0.17162287804878	0.177014	0.167960857142857
"run_9"	0.182926519607843	0.183733842105263	0.157135804878049	0.1980635	0.227086857142857
"run_10"	0.182081333333333	0.181743789473684	0.156482170731707	0.21422975	0.193211571428571
"run_11"	0.168544911764706	0.177164421052632	0.161625609756098	0.180566178571429	0.153068142857143
"run_12"	0.174149009803922	0.171006526315789	0.163868146341463	0.175403785714286	0.2060125
"run_13"	0.168003637254902	0.169469052631579	0.17652512195122	0.163325321428571	0.150415714285714
"run_14"	0.183782725490196	0.172850210526316	0.188714804878049	0.172491642857143	0.206757928571429
"run_15"	0.174750078431373	0.193391	0.160031048780488	0.184191035714286	0.1736755
"run_16"	0.17232531372549	0.182344894736842	0.171690585365854	0.171887642857143	0.1614615
"run_17"	0.1719425	0.172203578947368	0.174836390243902	0.154696607142857	0.197605
"run_18"	0.170513901960784	0.189912526315789	0.159075146341463	0.1664115	0.185891214285714
"run_19"	0.174125931372549	0.179033368421053	0.191388414634146	0.153272535714286	0.158618214285714
"run_20"	0.169533088235294	0.159724105263158	0.154363463414634	0.202261535714286	0.161813714285714
