"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	0.0130393920155872	0.00996700781856016	0.010952349152239	0.0143892698131772	0.0155799426009057
"Immune_upper"	0.0146160456908199	0.0129179702677117	0.0136077237184627	0.0169717553242578	0.0202035124610523
"Immune_mean"	0.0138277188532036	0.0114424890431359	0.0122800364353509	0.0156805125687175	0.017891727530979
"run_1"	0.0122993673743624	0.0119200629017179	0.0114927904679497	0.0143054583780808	0.0111640738057232
"run_2"	0.0135109490859077	0.0137154545682805	0.0128110262762439	0.0147794601565922	0.0127461577324764
"run_3"	0.0141829743122044	0.0150824486171238	0.0124421914564122	0.0147374770473879	0.0169512606485527
"run_4"	0.0141417359971618	0.0122658444990074	0.0151812097109373	0.0138853755592049	0.0141561366016572
"run_5"	0.0130459332589051	0.0105290895531559	0.0126424229424365	0.0140700759789045	0.0155950730606524
"run_6"	0.0149827590317339	0.0135309080673948	0.0153830112328798	0.0134920584002639	0.0187623623000638
"run_7"	0.0132624100205961	0.0132029752859247	0.013226503922195	0.0139943500957472	0.0119843448698088
"run_8"	0.0139828279273661	0.0107819694186003	0.0135808500951541	0.0155747846496227	0.0163201575390845
"run_9"	0.0131689904778464	0.0126806923244495	0.0132225837468841	0.0124664361344442	0.0150798377992221
"run_10"	0.0133397326810587	0.0131262680621289	0.0134119451572393	0.0133152695962918	0.0134668814388971
"run_11"	0.014668456822784	0.0131685549751677	0.0152581860851385	0.0145972292267368	0.0151194288254626
"run_12"	0.0126303304439481	0.0112834913317942	0.0122228013772654	0.0119571882471304	0.0169979458993634
"run_13"	0.0132150772779982	0.0142653043000836	0.0113499168166557	0.0136515201762185	0.016379139016945
"run_14"	0.0136841651913095	0.0136566750542759	0.014110163017923	0.0121585158322404	0.0155252068889107
"run_15"	0.0133588992212755	0.0118533576697577	0.0127717103451409	0.0153581637836555	0.0131232296251124
"run_16"	0.0127414837079814	0.0117544753893808	0.0131232854330898	0.0133630117306879	0.0117198053285659
"run_17"	0.0132229666135195	0.0128049511284296	0.0116850790717316	0.0149363673896702	0.0148672853062187
"run_18"	0.0131595292714621	0.0125753465877395	0.0115899768938461	0.0147471110407551	0.0153737313380895
"run_19"	0.0129454477887908	0.0112727085372382	0.0125094245354129	0.0158186893162441	0.0107460361030263
"run_20"	0.0122458440427431	0.0120108796806119	0.0119743812076431	0.0117150663234171	0.0144212779899371
"run_21"	0.0137646240048257	0.0127979051122621	0.0157669958136464	0.0132962358963018	0.0101492869930921
"run_22"	0.0130531696254876	0.0119629841941323	0.0131950595880145	0.0135387408178416	0.0131460297216473
"run_23"	0.0142749325142715	0.0139266838753574	0.0111738054805723	0.0174128248361304	0.0175536430506276
"run_24"	0.0129440617579596	0.0150857426745471	0.012994620922868	0.012598969981681	0.0105796122264881
"run_25"	0.0122913664512161	0.0105101037643949	0.0133069284268485	0.011446111896848	0.0134251577062864
"run_26"	0.012777904487294	0.0115872195041353	0.0136705783982559	0.0131493143044269	0.0110367551623551
"run_27"	0.0142837460218462	0.0156407700513457	0.012278781833374	0.0145695562233792	0.0177421309878424
"run_28"	0.0132438135470627	0.0135497072442416	0.0123588840995673	0.014178301456221	0.0135512753788117
"run_29"	0.0144097590471023	0.0125948954649079	0.0143978205728084	0.0145661474643832	0.0165949740345221
"run_30"	0.0152720712390013	0.0146093200003689	0.0160537367485336	0.0134827801299386	0.0174609382887832
"run_31"	0.0130045115653346	0.0136936852508447	0.0131128405126993	0.0128590432276736	0.012042892035896
"run_32"	0.0144856767881776	0.0147742138694568	0.0130688826822908	0.0142411962013129	0.0187322346616964
"run_33"	0.0136171543226664	0.0118383709668316	0.013840771518575	0.0136151225857301	0.0153804019914396
