"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	0.00929170700707916	0.00980606854611481	0.00614570492491783	0.0113299521936665	0.0114158241151484
"Immune_upper"	0.0102531878842528	0.0112682488672199	0.00739433458923934	0.0132165051038656	0.0136359490027916
"Immune_mean"	0.009772447445666	0.0105371587066674	0.00677001975707859	0.0122732286487661	0.01252588655897
"run_1"	0.00957485517740886	0.00875526847312789	0.00898230077509317	0.0121084591961882	0.00735528127387029
"run_2"	0.00970348708448873	0.00936770020711316	0.00942398515376585	0.0111059826843625	0.00817274801543929
"run_3"	0.00939455170208303	0.00990953259133895	0.00859135078118559	0.00996155215458536	0.00991387943000214
"run_4"	0.00955007283512396	0.00833030401105389	0.0100022119014271	0.010220026250865	0.00854144499927786
"run_5"	0.00982430041794524	0.00792290772177495	0.00926222846839415	0.0115212737774854	0.0106568830673529
"run_6"	0.0100492123471617	0.0102310383165395	0.00924964535346585	0.0107482539558132	0.010745954367241
"run_7"	0.00997385492074666	0.01091588828492	0.00956402172421705	0.0110799439488543	0.00768342880299
"run_8"	0.00958579439321869	0.0081806408421081	0.00929217435283688	0.0116143423761736	0.00829557979350572
"run_9"	0.00948025628331186	0.00940568893277158	0.00860657396635805	0.0119063738701036	0.00728786072796929
"run_10"	0.00917008113625185	0.00925878435008	0.00851126654126068	0.0111591985734371	0.00700084892844579
"run_11"	0.0105497079144637	0.00933065170625368	0.0101955781125786	0.0112791434433507	0.0117823647019237
"run_12"	0.00901654316775978	0.00956075028112105	0.00856782985080751	0.00934757971036214	0.00892999228549643
"run_13"	0.00899887257773447	0.00937355789042968	0.00764867716857444	0.0113801515246961	0.007681956886265
"run_14"	0.0091183808383358	0.00926499447022526	0.00871377834899659	0.00946301808036893	0.00941503800119871
"run_15"	0.00964506398164103	0.00907945898710579	0.00882611882970938	0.0113155989149689	0.00946994026679714
"run_16"	0.00939730732824235	0.0101563879682974	0.00891832836495488	0.0107083392204286	0.00714778678199429
"run_17"	0.0100955808460931	0.00904625273219663	0.00876514811537366	0.0128545505929271	0.00989799678982
"run_18"	0.010292926007863	0.00958949214980632	0.0090464719777461	0.0113203051938675	0.0128431575314163
"run_19"	0.0100486708911657	0.00890157635544053	0.00855800304401576	0.0132131439686157	0.00964202315854643
"run_20"	0.00932389940620177	0.00980294722037421	0.00895678368405607	0.0101835534568396	0.00802957960054721
"run_21"	0.00979999411040205	0.0105790437617542	0.00897938208498876	0.0113020017653364	0.00814191806240857
"run_22"	0.00916640178031207	0.00941977874501579	0.00841055043869929	0.01106723033914	0.00723444056813857
"run_23"	0.00943149755451822	0.0113347345679584	0.00706770450974763	0.0124402498177382	0.00775356528380893
"run_24"	0.00903657857773923	0.00985086607742947	0.00946523909036483	0.00902723417377714	0.006694799991966
"run_25"	0.0094633078838401	0.01024201148983	0.00907938019371268	0.0097048443133875	0.00904778265198929
"run_26"	0.00905428389964476	0.00937549243613316	0.00914051182913649	0.00890241315678929	0.00866957486375286
"run_27"	0.0098429775910712	0.0106228546501695	0.00802282457369249	0.0103706016347582	0.0130597730458157
"run_28"	0.0102335734905555	0.0113611536109663	0.00901669231993312	0.0114716729356829	0.00979081072228
"run_29"	0.0101685839684667	0.00958946267092768	0.0094108958341021	0.011233418135055	0.0110438097897323
"run_30"	0.0101079039199396	0.0100044992916756	0.00987024309073976	0.0106352140327686	0.009889625261011
"run_31"	0.00912384453301775	0.00982935053923611	0.00908942424343488	0.00996669717340071	0.00658146909187671
"run_32"	0.00991735144953167	0.0107843261003174	0.0084902012469178	0.0109728596347111	0.01080923793219
"run_33"	0.00963983307402936	0.00833932399823453	0.0100185316717946	0.0104014497906539	0.00877253035018929
"run_34"	0.00976393118366621	0.00998804933640316	0.0093081273486991	0.0103566597921561	0.00960916770466143
"run_35"	0.0104162450961712	0.0118811429702474	0.00872733715852683	0.0110077948948082	0.0121911573443236
"run_36"	0.0100665390014298	0.0118569748912795	0.00949090106974342	0.0102138916100346	0.00902775330507693
"run_37"	0.0100384789408208	0.00835501195101105	0.0103883783389132	0.0102923079754382	0.0107908206919143
"run_38"	0.00920717749083563	0.00831008537423284	0.00951477539925268	0.0106506851072771	0.00663682197012071
"run_39"	0.0103686488153436	0.0103320373965689	0.00956850644759459	0.0117408883897425	0.010017130669005
"run_40"	0.00979757168251706	0.0100363042386505	0.00930811957389732	0.0106531749117618	0.00919576650166143
"run_41"	0.00903855889358841	0.00853929864212789	0.0084335509461119	0.0108587321162257	0.00784758892147714
"run_42"	0.00967573527365791	0.00919602676702579	0.0102585668359102	0.00965648580616286	0.00865840332105271
"run_43"	0.00926404817501937	0.0113526906446032	0.0078612981471629	0.0110573517039186	0.00695090856150836
"run_44"	0.00962095236255949	0.00902890296279421	0.00951535044382288	0.0116078365678754	0.00675994232790929
"run_45"	0.00995865700475208	0.00969944671296474	0.00970017648672439	0.0112888838393765	0.00840696739143857
"run_46"	0.00940708781435745	0.00838511396668842	0.0088246700725239	0.0109168046595104	0.00948027058982929
"run_47"	0.00983734249804087	0.00756171213971263	0.00875056485686412	0.0117450086704554	0.012293071588675
"run_48"	0.00993603544424483	0.0109133942535368	0.00936888365731583	0.0092770763103875	0.0115884827039267
"run_49"	0.00988098578312069	0.0110743207660216	0.00892117392668683	0.0108729721088396	0.00908836466301643
"run_50"	0.0103097912853749	0.00827456470877874	0.00950167340445585	0.0125497116546521	0.0109586746948921
"run_51"	0.0100175381447881	0.00995898462837842	0.00969764761606561	0.0109706660523443	0.00912757007891929
"run_52"	0.00986508706576171	0.0106200149575479	0.00854661323311122	0.0119146747679132	0.00860261146108243
"run_53"	0.00964474771735257	0.01078560679674	0.00814648959635176	0.0115136774085104	0.00874633551022786
"run_54"	0.00963455470367119	0.00885307954899505	0.00932814010072937	0.0114403436170636	0.00798090735256221
"run_55"	0.0104657084375113	0.0100222612322466	0.0100153212397373	0.0126970908076275	0.00792375598361929
"run_56"	0.00953152705642351	0.00965042377550526	0.00866983575320578	0.0115160167760779	0.00792471231492721
"run_57"	0.00939160934712122	0.0109368334485061	0.00773837669757605	0.011626650980455	0.00766604613081357
"run_58"	0.00958461423761295	0.00997024683477316	0.00917540503542685	0.0111588563552	0.00711116985555214
"run_59"	0.0100199374580492	0.00916975921021263	0.00916709987238463	0.0123229843985579	0.00906525269997071
"run_60"	0.00980626207940088	0.0109987038152247	0.00871188215074732	0.0109141373192368	0.00917716760645357
"run_61"	0.00937076770089527	0.0103224795515268	0.00858564844357127	0.009621602128229	0.00987676773110529
"run_62"	0.0101033123431656	0.0100768086667684	0.00931518074234122	0.0113862758356614	0.00988145432141286
"run_63"	0.00942599770179697	0.0100312965878326	0.008865113012131	0.0109941192280286	0.00711086846659286
"run_64"	0.0101949028791628	0.00913495438568579	0.00997524652393683	0.0116847888493861	0.00929691179159714
"run_65"	0.0100856560482039	0.0100833422209737	0.00899290575314276	0.0118877924230504	0.00968472078528836
"run_66"	0.00992187488358431	0.0112914538110337	0.00888544317704951	0.0109347901617279	0.00907259435203929
"run_67"	0.00949107721718379	0.00896963551863242	0.00939228011572856	0.00944566131605464	0.010578914264595
"run_68"	0.00982665441149001	0.00865389542842916	0.00934065320378805	0.0107487209930218	0.0109974119765648
"run_69"	0.00956493773785469	0.00948483774829032	0.00937547024711371	0.0111806839639861	0.00699702149431357
"run_70"	0.0105901455213916	0.0115980937630416	0.0101894320880959	0.0113319587966871	0.00891210712607
"run_71"	0.010488251231669	0.00951840776027263	0.0103212325013192	0.0116288141752879	0.0100124677659224
"run_72"	0.010063192077668	0.0101454609280711	0.00852073515956537	0.0115274393901664	0.0115402421301393
"run_73"	0.00983013263698275	0.00969795719443421	0.0102246102030712	0.00999051272336464	0.00853349769270429
"run_74"	0.0105440403537267	0.00936116887622421	0.00973918741386533	0.012267926075855	0.01105866380996
"run_75"	0.00928924814697	0.00963368500386684	0.00843565970143244	0.0113132854141336	0.00727351832592857
"run_76"	0.00961367226481589	0.00996626902915474	0.00924666222452344	0.0108394819572629	0.00775834381774714
"run_77"	0.00998230529737511	0.0076715225058779	0.0106601849018227	0.0116410911195743	0.00781557717126936
"run_78"	0.00994024493343501	0.00922067683139632	0.00923675263423612	0.0115092960270011	0.00983892690386643
"run_79"	0.0103811965981451	0.00956328820887716	0.0101425702998836	0.00930541933975679	0.0143416038024086
"run_80"	0.00978366413175587	0.00918124692629368	0.00907729052984144	0.0105592813578807	0.0111186614353829
"run_81"	0.0106451795522241	0.0100528361579439	0.0108072695545937	0.0101885991961039	0.011887542721191
"run_82"	0.00945876046078043	0.00981862148515716	0.00835986516518166	0.0107528453414504	0.00960040124632571
"run_83"	0.00911760317217824	0.00794651723942474	0.00951721693531463	0.00873959947471	0.0102926440266664
"run_84"	0.00962830760989939	0.0111863346774158	0.00968828401476215	0.0103501834634907	0.00589444541113214
"run_85"	0.0103327524666474	0.0110839178026468	0.00944380495696683	0.0122097844610382	0.008162596085931
"run_86"	0.00968041334568539	0.00987363538608526	0.00936904507879097	0.010622100430015	0.00844667347524571
"run_87"	0.0103408748982449	0.0108503215643211	0.00959239077680122	0.0112327497835114	0.0100577224365507
"run_88"	0.00891528737298705	0.00955630426486842	0.00864006127665422	0.00933579309437393	0.00801034371620614
"run_89"	0.0100818688375509	0.00934859736229158	0.0090945764139222	0.0105129382105818	0.0131062406199679
"run_90"	0.0107621777012536	0.0103030132872	0.00855941234222973	0.0128934248547229	0.0135737907933864
"run_91"	0.0104817086960982	0.00980006668941211	0.00956593755864859	0.0113160350188764	0.0124200428192893
"run_92"	0.00973382483918341	0.00989701237985421	0.00898807058380556	0.0114445116943004	0.00827497692878857
"run_93"	0.00945028968897954	0.0104599090310071	0.00849537765340563	0.0119845528980279	0.00580809369659771
"run_94"	0.00990134957624405	0.0103686821430947	0.00839439141945732	0.0121414150882211	0.00920021609929664
"run_95"	0.00959517259274227	0.00885909610998632	0.00952014845324	0.01064251673346	0.00871915880358943
"run_96"	0.0100112363170384	0.01001201894541	0.0091157146233661	0.0108767072021413	0.0109018316540829
"run_97"	0.0100224334919216	0.0101090881264779	0.00940352858849985	0.0104373383108704	0.0108875283528617
"run_98"	0.00890834172721196	0.00723283081244453	0.00917198302501463	0.00935611353184893	0.00951461341584314
"run_99"	0.00954935336474026	0.0103948944716089	0.00722393367871698	0.0128262020651261	0.00865829354228643
"run_100"	0.00976750318659873	0.00897605424919684	0.00943500753944268	0.0110432780088646	0.00926380006664071
"run_101"	0.00967551845251349	0.01053277599443	0.00886167161325022	0.0101618738555758	0.00992279529734465
"run_102"	0.0094185226260098	0.00845051024333737	0.0105148057212761	0.00936974510709179	0.00761926540419286
"run_103"	0.0104114590430619	0.00884641606670737	0.0100048696836492	0.0116045539612036	0.0113399820843964
"run_104"	0.00863080541837212	0.00714164664978105	0.00869539227368356	0.0108936981103386	0.00593687400125786
"run_105"	0.0099525143733024	0.008659302844614	0.00898580171988363	0.0114077608695046	0.0116281812262729
"run_106"	0.00949480306453857	0.00878182099294916	0.00917412728894268	0.0104314187355736	0.00952831216244214
"run_107"	0.0100483145384525	0.00993137499911684	0.00901503880234122	0.0110219454720083	0.0112857781304793
"run_108"	0.00914093214921486	0.00910050198750874	0.00902052494898244	0.0100033691650568	0.00782354870909857
"run_109"	0.0109263343422093	0.0103905371117595	0.00967167653516585	0.0141037539476379	0.00897300352187571
"run_110"	0.00882543216485856	0.00955942406776158	0.00805392673353851	0.0113807128356668	0.00497814771816814
"run_111"	0.0106061755788933	0.0109282309731726	0.0105852636094237	0.0106319583709986	0.0101787770130364
"run_112"	0.00942196121006932	0.0100416874635056	0.00939023891977171	0.0105139314325782	0.00648986469983114
"run_113"	0.00933471854081925	0.00763580386953158	0.00989600372052576	0.0102965349048146	0.00807299198329264
"run_114"	0.0101040008948093	0.00988888343106316	0.00909004663742712	0.0112599036876464	0.0110535779065524
"run_115"	0.00928695681697355	0.0086460739078	0.00882222674755585	0.0106158689073579	0.00885989750194943
"run_116"	0.0100600902365838	0.00836078264388295	0.00987920141164268	0.00947482782205286	0.0140665640716386
"run_117"	0.0103693229177533	0.0102702914645768	0.0106382450631307	0.0100785331457339	0.0102977445796407
"run_118"	0.0103300877890726	0.0109807600638416	0.00974404085892024	0.010438491838856	0.0109465047549086
"run_119"	0.00933283042339294	0.00954695266710579	0.00885156146052366	0.0100857459641861	0.00894583540231357
"run_120"	0.00986944593984651	0.00981146308698947	0.00937829328454585	0.0123017169776782	0.00652197051215529
"run_121"	0.00918317855307431	0.00921523002639947	0.00878600238414049	0.0100153216658029	0.00863855267998214
"run_122"	0.0100970644311895	0.0102768910416774	0.00968789462565512	0.0113862544547993	0.00847291698594429
"run_123"	0.00892627210704516	0.0105262810786026	0.00855855541040478	0.00943850131691714	0.00680725755177714
"run_124"	0.0091356620168362	0.00874257429281	0.00797654588703956	0.0116824482356836	0.00797012015615286
"run_125"	0.0102582679910349	0.0112346650673661	0.0092263947355081	0.0123499615741932	0.00777168504088286
"run_126"	0.0100342316856	0.0104742645351889	0.00942657024882556	0.0108004259227189	0.00968423569461643
"run_127"	0.00969778247518232	0.0108254021277997	0.00982101026125656	0.0106683661965254	0.00586539270186957
"run_128"	0.00953242724843814	0.0109513754708542	0.00930057492382634	0.00930871818939036	0.00873312601533214
"run_129"	0.00974574836353302	0.00916851129021158	0.00939091098316898	0.0106911191032386	0.00967756666898143
"run_130"	0.0101347592913725	0.0104075279542626	0.00937452858528002	0.0108780735979475	0.0105043345607136
"run_131"	0.0105282699878426	0.0107028970444132	0.00963208650247585	0.0112703918635004	0.0114315697240414
"run_132"	0.0096131492255118	0.00844916579372347	0.00903895682820751	0.00987754222704714	0.0123456184719736
"run_133"	0.0108352985492426	0.0104162169230416	0.0100189766352259	0.0113250632565257	0.0128151798041407
"run_134"	0.00936784629794478	0.00878954105138579	0.00915599530745898	0.0098422989534	0.00982420457950143
"run_135"	0.0103723809420365	0.0100012883071242	0.0104257029895127	0.0112070919457471	0.00905042722867286
"run_136"	0.00964743679502394	0.0103643696077653	0.00735673809797654	0.0124925759620396	0.00969265297076814
"run_137"	0.0103943619463723	0.00865621450434684	0.0103014855443661	0.0115675035612993	0.0106789882794286
"run_138"	0.010221287106448	0.0107737750669637	0.00872587871621593	0.0121906140762464	0.00991223836325929
"run_139"	0.00992681836617171	0.00907484535466021	0.00889317678803902	0.0121647690481311	0.00963425928240721
"run_140"	0.0105038490442463	0.00945151736627	0.00994432805512315	0.0117476738074296	0.0110829611204226
"run_141"	0.00995881845439663	0.0101485719099258	0.0100240974271562	0.0108411350753136	0.00774548853126286
"run_142"	0.0107107975775258	0.00942702087913	0.00924534000054707	0.0128155479657718	0.0125352623671515
"run_143"	0.0106744394234939	0.00971360384421579	0.00963484810495463	0.0123543539673482	0.0116631189119564
