"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	0.00263194183968418	0.0032142397734218	0.00147874294204821	0.00343455880871987	0.0020803651352957
"Immune_upper"	0.00313568582875781	0.00431315665015536	0.00201288925783653	0.00455096116022641	0.00352863563665763
"Immune_mean"	0.00288381383422099	0.00376369821178858	0.00174581609994237	0.00399275998447314	0.00280450038597666
"run_1"	0.00456135147626926	0.00236595663201822	0.00380821306699364	0.00499655948842673	0.00887601951060221
"run_2"	0.00322678099021138	0.00448586167111332	0.00236290386406681	0.00314800781013793	0.004205500867129
"run_3"	0.00357777798729093	0.00294232571267379	0.00375148774090137	0.00280776353895736	0.00547148497822216
"run_4"	0.00425813922115146	0.004932926737875	0.00446228841018311	0.0039819595912123	0.00329684994045514
"run_5"	0.00408097668753683	0.00238876098544605	0.00434227966697086	0.00412021474817229	0.00553383457933228
"run_6"	0.00402309718350382	0.00440081605438321	0.00366096780019491	0.00316192770125792	0.00629333944577828
"run_7"	0.00375113355170875	0.00581047689990905	0.00346985143223281	0.00283137286031941	0.003619586597538
"run_8"	0.00329166233214683	0.00276068405008842	0.00316149639718549	0.00360343048445364	0.00376993964842784
"run_9"	0.00325254423381667	0.00289549059717368	0.00313851168761403	0.00352493299960099	0.00352629195157121
"run_10"	0.00284886304567801	0.00278425506220463	0.00318441586707813	0.00243132497926731	0.00278893103625582
"run_11"	0.0045390936800648	0.00345381879030589	0.00404044762487726	0.004088407871573	0.00837365895191329
"run_12"	0.00294501816208813	0.00279586832706812	0.00249062454164933	0.00291067112617424	0.00454685404129957
"run_13"	0.003070145376221	0.00247320529859806	0.0022912941962555	0.00424925218636342	0.00380298603118057
"run_14"	0.00321106923505787	0.00324908909957353	0.00286139682331272	0.00249383752948572	0.00561797489304171
"run_15"	0.00279528186666237	0.00241698144050658	0.00267363807845235	0.00298490055209117	0.00328569473963121
"run_16"	0.00339155774778079	0.00189743779726833	0.00312395619209937	0.00300200052139779	0.00698209668930929
"run_17"	0.00347172949475099	0.00347396944290221	0.00297301711064924	0.0033509644617216	0.00517073447033107
"run_18"	0.00382424284859779	0.00333422810697679	0.0027176768127503	0.00339884970219585	0.00858070682429782
"run_19"	0.00392502168964712	0.00232326738075105	0.00273705641583386	0.0059696307160779	0.00548865421502619
"run_20"	0.00309215595685329	0.00384955789070111	0.00259685381054214	0.00342079275385189	0.00285750745254529
"run_21"	0.00420058040201519	0.00480320580972758	0.00405630174905914	0.00369785995797044	0.00481070286329484
"run_22"	0.00343805813135166	0.00293854012694837	0.004561757957507	0.00276848128452902	0.00216429391151793
"run_23"	0.00313538505422363	0.00329635958993181	0.00320643983909594	0.00301485653236562	0.00294988764378106
"run_24"	0.00413261916066408	0.00282337697369012	0.00507696012478317	0.00366034797597286	0.00408842024601955
"run_25"	0.00410231777824553	0.00268427723334286	0.0036115832164531	0.00350907307290332	0.00865044200226143
"run_26"	0.00385530984973701	0.00317567519975611	0.00296365507367429	0.00416211989945486	0.00677532576231621
"run_27"	0.003505224621849	0.00237518067769764	0.00323207311886175	0.00243692556072061	0.00797539749848813
"run_28"	0.00323722731853801	0.003589272163156	0.00230346696667416	0.00354412165218869	0.00488024739257064
