"All immune"	"Recognition"	"Signalling"	"Modulation"	"Effector"
"Immune_lower"	0.00316883461260122	0.00363178954983217	0.00180957881921433	0.00408465605295191	0.00290753092896395
"Immune_upper"	0.00374496040101451	0.00510643621645793	0.00237311499731281	0.00527089323799331	0.00464496729997992
"Immune_mean"	0.00345689750680787	0.00436911288314505	0.00209134690826357	0.00467777464547261	0.00377624911447194
"run_1"	0.00519494486312553	0.00311072583324137	0.00454514444012324	0.00562682526854246	0.00906275397449829
"run_2"	0.00344943891128098	0.00427758350462989	0.00271088850423789	0.0035143553585625	0.00435859311779914
"run_3"	0.00441115198233566	0.00310339937185437	0.00444675085494476	0.00331647529715743	0.00827105862570436
"run_4"	0.00488210212813483	0.00499496445872816	0.00526735805363634	0.00465408830681743	0.00405670996885286
"run_5"	0.00452432832234164	0.00270962088150295	0.00501287201258261	0.00469006403106718	0.0052249390531802
"run_6"	0.0045555291151368	0.00462499699108589	0.00460348079148266	0.00361008761914615	0.00621170436617429
"run_7"	0.00468368178499327	0.00652950002071547	0.0042832941197162	0.00371410053288593	0.00529036913189643
"run_8"	0.00406921363198675	0.00324549744111616	0.00424598011881963	0.00412272139296286	0.00456242537191971
"run_9"	0.00404432558110788	0.00334426303937075	0.00380065355085459	0.00397760880513775	0.00584145495686179
"run_10"	0.00339032683740483	0.00335154421281989	0.00366257656657998	0.00288909019639304	0.0036481309030665
"run_11"	0.0049456061741099	0.00354103291591442	0.00490860312228024	0.00413595854677664	0.00857947407382857
"run_12"	0.00346383773053432	0.00293516552075142	0.00335474299443217	0.00303805122245411	0.00535238618712786
"run_13"	0.00412683573774057	0.00266537870800205	0.00306030508603444	0.0054446372581965	0.00659804986004179
"run_14"	0.00368937755508276	0.00307549790897037	0.00338289569329702	0.00350698809414686	0.00578483287762243
"run_15"	0.00335387333975861	0.00251946128350558	0.0034758170308952	0.00359946092338246	0.00363799372481143
"run_16"	0.00394710585843032	0.00191018504489596	0.0036136366115745	0.00347630357526589	0.00862969146606214
"run_17"	0.00421762589434786	0.00393656084623316	0.00365394005904745	0.00430501296885614	0.00607509139972386
"run_18"	0.00458549716660935	0.00353412951620059	0.00364033508438266	0.00402223311788786	0.00990685603041386
"run_19"	0.00471610334236073	0.00234660279888754	0.00362288459539383	0.00689627861687657	0.00677307271844571
"run_20"	0.00359820861977352	0.00393368790435042	0.00336559865173761	0.00406007170156497	0.00290040404779857
"run_21"	0.00495002059200637	0.00513180579167242	0.00499859020686127	0.00455848483954289	0.0053441440253115
"run_22"	0.00397219186657946	0.00260014285405958	0.00554586018102359	0.00311252685778086	0.00294498833743871
"run_23"	0.0036194430273487	0.00384127248506622	0.00344742214669227	0.0035364924173945	0.00398806541942
"run_24"	0.00476884388934071	0.00331809228458216	0.00558381907056834	0.00412223209653093	0.00564423162210884
"run_25"	0.00461477087046466	0.00286024311580395	0.00451466226925966	0.00432355489718693	0.00787152281616
"run_26"	0.00437995734863984	0.00306077341345554	0.00353355439715756	0.00490727628330768	0.00759439203496664
"run_27"	0.00398263454481094	0.00257591622741437	0.00374717467749332	0.00280289457954343	0.00894079323181436
"run_28"	0.00377972488988255	0.00397390896675316	0.00267787780590591	0.00406856177272564	0.00616535348008929
"run_29"	0.00490076676795655	0.00307671851012249	0.00508433723720578	0.0045859034294805	0.00746838827773929
"run_30"	0.00506839427947939	0.00439826188005153	0.00521674991087135	0.00476587940322333	0.00614841936785286
"run_31"	0.00341164864926442	0.00193895809024937	0.00396194543217099	0.0033821752816815	0.00385766342172429
"run_32"	0.0047744469798651	0.00424811336137268	0.00432811363448663	0.00485206998134454	0.00664062997061143
"run_33"	0.00484823123871899	0.00271749376689458	0.00585382541694634	0.00500152629764675	0.00448840188210221
"run_34"	0.00366846220667489	0.00286227079065543	0.00334517449909288	0.00303210325688243	0.00698206817163357
"run_35"	0.00515667380043023	0.00604783581050984	0.00373044155839529	0.00434695052774161	0.00974350918380171
"run_36"	0.00470718085543552	0.00440971892456384	0.00438907515081802	0.00551790559707482	0.00442102498471971
