gene.id	stat_value
DPOGS200001	0.005314
DPOGS200002	0.041722
DPOGS200003	0.035219
DPOGS200005	0.023004
DPOGS200006	0.035665
DPOGS200007	0.039618
DPOGS200011	0.059041
DPOGS200012	0.065873
DPOGS200014	0.047326
DPOGS200016	0.025336
DPOGS200017	0.033772
DPOGS200036	0.021250
DPOGS200037	0.038009
DPOGS200039	0.049970
DPOGS200040	0.052797
DPOGS200043	0.046406
DPOGS200045	0.044795
DPOGS200047	0.051452
DPOGS200050	0.035113
DPOGS200051	0.037499
DPOGS200052	0.050322
DPOGS200053	0.020642
DPOGS200054	0.069228
DPOGS200055	0.026415
DPOGS200056	0.043124
DPOGS200057	0.026695
DPOGS200058	0.007738
DPOGS200059	0.022389
DPOGS200060	0.062375
DPOGS200061	0.041232
DPOGS200062	0.038401
DPOGS200063	0.038010
DPOGS200064	0.040516
DPOGS200065	0.031739
DPOGS200066	0.032487
DPOGS200067	0.029810
DPOGS200069	0.035390
DPOGS200070	0.062649
DPOGS200071	0.042491
DPOGS200072	0.024942
DPOGS200073	0.030113
DPOGS200074	0.037161
DPOGS200075	0.036122
DPOGS200076	0.020305
DPOGS200077	0.035857
DPOGS200102	0.029333
DPOGS200103	0.021237
DPOGS200104	0.050064
DPOGS200106	0.051383
DPOGS200107	0.030561
DPOGS200108	0.030574
DPOGS200109	0.026693
DPOGS200110	0.015664
DPOGS200111	0.025097
DPOGS200112	0.029740
DPOGS200113	0.022707
DPOGS200116	0.046911
DPOGS200117	0.020875
DPOGS200118	0.030404
DPOGS200119	0.054833
DPOGS200120	0.076885
DPOGS200121	0.049300
DPOGS200123	0.036471
DPOGS200124	0.010856
DPOGS200125	0.055432
DPOGS200126	-0.000892
DPOGS200129	0.024245
DPOGS200133	0.030631
DPOGS200140	0.047179
DPOGS200144	0.042374
DPOGS200149	0.033670
DPOGS200153	0.073567
DPOGS200156	0.031203
DPOGS200159	0.036499
DPOGS200161	0.047657
DPOGS200163	0.038049
DPOGS200172	0.032203
DPOGS200173	0.031771
DPOGS200174	0.029341
DPOGS200180	0.041312
DPOGS200181	0.037313
DPOGS200182	0.040389
DPOGS200212	0.023352
DPOGS200219	0.043841
DPOGS200221	0.024262
DPOGS200229	0.038814
DPOGS200230	-0.003215
DPOGS200235	0.026377
DPOGS200236	0.022058
DPOGS200237	0.052828
DPOGS200238	0.034406
DPOGS200240	0.032364
DPOGS200243	0.018975
DPOGS200244	0.032829
DPOGS200245	0.024497
DPOGS200246	0.020137
DPOGS200247	0.008538
DPOGS200250	0.030485
DPOGS200255	0.047671
DPOGS200256	0.049613
DPOGS200264	0.030001
DPOGS200265	0.023333
DPOGS200266	0.034207
DPOGS200267	0.024994
DPOGS200269	0.023607
DPOGS200270	0.059871
DPOGS200271	0.049171
DPOGS200272	0.013594
DPOGS200274	0.016669
DPOGS200279	0.018509
DPOGS200290	0.029191
DPOGS200291	0.031899
DPOGS200294	0.024066
DPOGS200295	0.040444
DPOGS200297	0.011832
DPOGS200298	0.043757
DPOGS200299	0.038393
DPOGS200302	0.044215
DPOGS200305	0.035103
DPOGS200306	0.070501
DPOGS200307	0.032388
DPOGS200308	0.031514
DPOGS200309	0.069323
DPOGS200312	0.034942
DPOGS200316	0.020126
DPOGS200317	0.026263
DPOGS200323	0.042824
DPOGS200330	0.033199
DPOGS200333	0.022648
DPOGS200337	0.025880
DPOGS200342	0.022617
DPOGS200344	0.017914
DPOGS200345	0.055644
DPOGS200346	0.040161
DPOGS200347	0.020857
DPOGS200349	0.040711
DPOGS200352	0.014526
DPOGS200355	0.032748
DPOGS200356	0.048575
DPOGS200358	0.026141
DPOGS200360	0.012926
DPOGS200362	0.028394
DPOGS200363	0.030338
DPOGS200364	0.008001
DPOGS200366	0.036264
DPOGS200367	0.022059
DPOGS200368	0.027836
DPOGS200369	0.020373
DPOGS200371	0.056933
DPOGS200372	0.039508
DPOGS200373	0.032925
DPOGS200381	0.043491
DPOGS200382	0.033197
DPOGS200383	0.023169
