gene.id	stat_value
DPOGS204424	-0.264135
DPOGS204463	2.203323
DPOGS204460	-0.023323
DPOGS204423	1.420241
DPOGS204418	2.897957
DPOGS204422	2.060951
DPOGS204426	-0.406108
DPOGS204421	-1.848034
DPOGS204419	-0.233111
DPOGS204387	-0.284228
DPOGS204440	-0.906730
DPOGS204433	0.809592
DPOGS204462	-0.121536
DPOGS204420	0.970305
DPOGS204498	-0.289307
DPOGS204493	1.638910
DPOGS204413	-0.657972
DPOGS204499	-0.238537
DPOGS204428	-0.572583
DPOGS204414	1.043786
DPOGS204436	-0.129912
DPOGS204461	0.807095
DPOGS204378	-1.215594
DPOGS204393	1.512014
DPOGS204508	0.797885
DPOGS204425	-0.138571
DPOGS204415	0.176124
DPOGS204465	-0.967464
DPOGS204377	1.737533
DPOGS204469	-0.202442
DPOGS204392	-1.773813
DPOGS204458	-0.228171
DPOGS204382	-2.021990
DPOGS204496	-2.359201
DPOGS204480	-0.763322
DPOGS204376	1.702166
DPOGS204483	-0.100125
DPOGS204482	-0.302400
DPOGS204473	-1.771544
DPOGS204470	0.411059
DPOGS204431	1.038516
DPOGS204487	-0.168500
DPOGS204503	-1.733112
DPOGS204474	-0.136774
DPOGS204381	0.462254
DPOGS204394	-1.755784
DPOGS204417	-0.615915
DPOGS204456	0.272859
DPOGS204455	1.133909
DPOGS204459	-0.093443
DPOGS204412	-0.544047
DPOGS204497	0.591416
DPOGS204495	-0.354432
DPOGS204492	-2.118808
DPOGS204388	2.546582
DPOGS204379	-0.357367
DPOGS204484	-1.765023
DPOGS204380	0.587466
DPOGS204454	0.189234
DPOGS204427	-0.581617
DPOGS204385	-0.654869
DPOGS204386	-0.920819
DPOGS204506	-0.068876
DPOGS204432	0.398920
DPOGS204435	-0.943599
DPOGS204434	2.111659
DPOGS204472	0.118361
DPOGS204486	-0.237335
DPOGS204437	1.544117
DPOGS204464	-0.426395
DPOGS204442	-0.460410
DPOGS204501	2.117308
DPOGS204479	1.479101
DPOGS204439	-0.180137
DPOGS204384	0.589831
DPOGS204416	-0.672397
DPOGS204494	-1.660245
DPOGS204443	-0.315409
DPOGS204411	-0.042507
DPOGS204391	-1.596868
DPOGS204389	-1.751982
DPOGS204400	-1.278259
DPOGS204488	-2.030584
DPOGS204429	-1.226252
DPOGS204481	0.492629
DPOGS204410	2.468863
DPOGS204457	0.595334
DPOGS204478	0.036165
DPOGS204467	-0.915638
DPOGS204468	1.690071
DPOGS204466	-2.426394
DPOGS204430	0.727200
DPOGS204390	-0.615603
DPOGS204485	-0.465929
DPOGS204438	0.814414
DPOGS204399	1.896863
DPOGS204441	0.673469
DPOGS204453	0.374602
DPOGS204451	1.805404
DPOGS204507	-1.766391
DPOGS204452	1.073785
DPOGS204504	0.469685
DPOGS204395	-0.276734
DPOGS204502	0.396291
DPOGS204398	0.278366
DPOGS204375	-0.266041
DPOGS204477	-0.153794
DPOGS204446	0.466278
DPOGS204476	-0.312356
DPOGS204500	-0.257537
DPOGS204471	0.229983
DPOGS204505	2.489579
DPOGS204404	-0.120793
DPOGS204383	0.456133
DPOGS204444	-1.701128
DPOGS204409	1.018321
DPOGS204450	-1.362287
DPOGS204447	1.220746
DPOGS204402	2.045238
DPOGS204401	-0.295457
DPOGS204406	1.130039
DPOGS204449	-1.056525
DPOGS204396	-1.762183
DPOGS204475	0.526821
DPOGS204490	-0.239617
DPOGS204403	-2.321233
DPOGS204489	-1.780383
DPOGS204491	-1.238794
DPOGS204448	1.633409
DPOGS204405	1.015640
DPOGS204407	-0.092092
DPOGS204445	-1.503309
DPOGS204408	0.232221
DPOGS210949	-0.234061
DPOGS210947	0.946516
DPOGS210946	-0.096664
DPOGS210992	-0.267341
DPOGS210948	0.648431
DPOGS210974	0.003559
DPOGS210959	-1.792305
DPOGS210990	0.015943
DPOGS211006	0.215700
DPOGS210957	-0.231671
DPOGS210960	-1.424701
DPOGS211027	0.686631
DPOGS211022	0.084649
DPOGS210989	1.234995
DPOGS210991	-0.230828
DPOGS210972	1.739354
DPOGS210956	-0.114242
DPOGS211026	1.753666
DPOGS210971	2.625726
DPOGS210988	1.059119
DPOGS211007	-0.598523
DPOGS211008	0.520355
DPOGS210945	-0.525047
DPOGS210987	0.185941
DPOGS210942	-0.176983
DPOGS211028	-0.194180
DPOGS211001	-0.192080
DPOGS210951	-1.289664
DPOGS210970	0.028067
DPOGS211019	0.348909
DPOGS211020	-0.030668
DPOGS210998	0.784813
