"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS214346"	"DPSCF300020"	"DPOGS214346"	"A"	16
"DPOGS214321"	"DPSCF300020"	"DPOGS214321"	"A"	16
"DPOGS214334"	"DPSCF300020"	"DPOGS214334"	"A"	16
"DPOGS214347"	"DPSCF300020"	"DPOGS214347"	"A"	16
"DPOGS214349"	"DPSCF300020"	"DPOGS214349"	"A"	16
"DPOGS214333"	"DPSCF300020"	"DPOGS214333"	"A"	16
"DPOGS214388"	"DPSCF300020"	"DPOGS214388"	"A"	16
"DPOGS214331"	"DPSCF300020"	"DPOGS214331"	"A"	16
"DPOGS214348"	"DPSCF300020"	"DPOGS214348"	"A"	16
"DPOGS214387"	"DPSCF300020"	"DPOGS214387"	"A"	16
"DPOGS214369"	"DPSCF300020"	"DPOGS214369"	"A"	16
"DPOGS214390"	"DPSCF300020"	"DPOGS214390"	"A"	16
"DPOGS214332"	"DPSCF300020"	"DPOGS214332"	"A"	16
"DPOGS214351"	"DPSCF300020"	"DPOGS214351"	"A"	16
"DPOGS214359"	"DPSCF300020"	"DPOGS214359"	"A"	16
"DPOGS214360"	"DPSCF300020"	"DPOGS214360"	"A"	16
"DPOGS214386"	"DPSCF300020"	"DPOGS214386"	"A"	16
"DPOGS214328"	"DPSCF300020"	"DPOGS214328"	"A"	16
"DPOGS214308"	"DPSCF300020"	"DPOGS214308"	"A"	16
"DPOGS214352"	"DPSCF300020"	"DPOGS214352"	"A"	16
"DPOGS214307"	"DPSCF300020"	"DPOGS214307"	"A"	16
"DPOGS214358"	"DPSCF300020"	"DPOGS214358"	"A"	16
"DPOGS214355"	"DPSCF300020"	"DPOGS214355"	"A"	16
"DPOGS214313"	"DPSCF300020"	"DPOGS214313"	"A"	16
"DPOGS214320"	"DPSCF300020"	"DPOGS214320"	"A"	16
"DPOGS214361"	"DPSCF300020"	"DPOGS214361"	"A"	16
"DPOGS214330"	"DPSCF300020"	"DPOGS214330"	"A"	16
"DPOGS214371"	"DPSCF300020"	"DPOGS214371"	"A"	16
"DPOGS214372"	"DPSCF300020"	"DPOGS214372"	"A"	16
"DPOGS214345"	"DPSCF300020"	"DPOGS214345"	"A"	16
"DPOGS214374"	"DPSCF300020"	"DPOGS214374"	"A"	16
"DPOGS214375"	"DPSCF300020"	"DPOGS214375"	"A"	16
"DPOGS214309"	"DPSCF300020"	"DPOGS214309"	"A"	16
"DPOGS214373"	"DPSCF300020"	"DPOGS214373"	"A"	16
"DPOGS214353"	"DPSCF300020"	"DPOGS214353"	"A"	16
"DPOGS214354"	"DPSCF300020"	"DPOGS214354"	"A"	16
"DPOGS214327"	"DPSCF300020"	"DPOGS214327"	"A"	16
"DPOGS214368"	"DPSCF300020"	"DPOGS214368"	"A"	16
"DPOGS214329"	"DPSCF300020"	"DPOGS214329"	"A"	16
"DPOGS214343"	"DPSCF300020"	"DPOGS214343"	"A"	16
"DPOGS214303"	"DPSCF300020"	"DPOGS214303"	"A"	16
"DPOGS214304"	"DPSCF300020"	"DPOGS214304"	"A"	16
"DPOGS214305"	"DPSCF300020"	"DPOGS214305"	"A"	16
"DPOGS214306"	"DPSCF300020"	"DPOGS214306"	"A"	16
"DPOGS214326"	"DPSCF300020"	"DPOGS214326"	"A"	16
"DPOGS214362"	"DPSCF300020"	"DPOGS214362"	"A"	16
"DPOGS214310"	"DPSCF300020"	"DPOGS214310"	"A"	16
"DPOGS214324"	"DPSCF300020"	"DPOGS214324"	"A"	16
"DPOGS214357"	"DPSCF300020"	"DPOGS214357"	"A"	16
"DPOGS214312"	"DPSCF300020"	"DPOGS214312"	"A"	16
"DPOGS214367"	"DPSCF300020"	"DPOGS214367"	"A"	16
"DPOGS214356"	"DPSCF300020"	"DPOGS214356"	"A"	16
"DPOGS214319"	"DPSCF300020"	"DPOGS214319"	"A"	16
"DPOGS214315"	"DPSCF300020"	"DPOGS214315"	"A"	16
"DPOGS214316"	"DPSCF300020"	"DPOGS214316"	"A"	16
"DPOGS214318"	"DPSCF300020"	"DPOGS214318"	"A"	16
"DPOGS214377"	"DPSCF300020"	"DPOGS214377"	"A"	16
"DPOGS214311"	"DPSCF300020"	"DPOGS214311"	"A"	16
"DPOGS214366"	"DPSCF300020"	"DPOGS214366"	"A"	16
"DPOGS214335"	"DPSCF300020"	"DPOGS214335"	"A"	16
"DPOGS214299"	"DPSCF300020"	"DPOGS214299"	"A"	16
"DPOGS214300"	"DPSCF300020"	"DPOGS214300"	"A"	16
"DPOGS214385"	"DPSCF300020"	"DPOGS214385"	"A"	16
"DPOGS214338"	"DPSCF300020"	"DPOGS214338"	"A"	16
"DPOGS214302"	"DPSCF300020"	"DPOGS214302"	"A"	16
"DPOGS214317"	"DPSCF300020"	"DPOGS214317"	"A"	16
"DPOGS214370"	"DPSCF300020"	"DPOGS214370"	"A"	16
"DPOGS214364"	"DPSCF300020"	"DPOGS214364"	"A"	16
"DPOGS214322"	"DPSCF300020"	"DPOGS214322"	"A"	16
"DPOGS214339"	"DPSCF300020"	"DPOGS214339"	"A"	16
"DPOGS214337"	"DPSCF300020"	"DPOGS214337"	"A"	16
"DPOGS214341"	"DPSCF300020"	"DPOGS214341"	"A"	16
"DPOGS214365"	"DPSCF300020"	"DPOGS214365"	"A"	16
"DPOGS214383"	"DPSCF300020"	"DPOGS214383"	"A"	16
"DPOGS214314"	"DPSCF300020"	"DPOGS214314"	"A"	16
"DPOGS214350"	"DPSCF300020"	"DPOGS214350"	"A"	16
"DPOGS214384"	"DPSCF300020"	"DPOGS214384"	"A"	16
"DPOGS214381"	"DPSCF300020"	"DPOGS214381"	"A"	16
"DPOGS214323"	"DPSCF300020"	"DPOGS214323"	"A"	16
"DPOGS214340"	"DPSCF300020"	"DPOGS214340"	"A"	16
"DPOGS214379"	"DPSCF300020"	"DPOGS214379"	"A"	16
"DPOGS214342"	"DPSCF300020"	"DPOGS214342"	"A"	16
"DPOGS214301"	"DPSCF300020"	"DPOGS214301"	"A"	16
"DPOGS214376"	"DPSCF300020"	"DPOGS214376"	"A"	16
"DPOGS214363"	"DPSCF300020"	"DPOGS214363"	"A"	16
"DPOGS214336"	"DPSCF300020"	"DPOGS214336"	"A"	16
"DPOGS214382"	"DPSCF300020"	"DPOGS214382"	"A"	16
"DPOGS214378"	"DPSCF300020"	"DPOGS214378"	"A"	16
