name	scaffold	start	end	region	length	distance	reverse	length_ok	dis_ok	main
DPOGS204148	DPSCF300034	1136771	1139676	DPSCF300034:1136771-1139676	2905	0	rc	N/A	N/A	1
DPOGS204169	DPSCF300034	234525	236798	DPSCF300034:234525-236798	2273	899973	rc	Y	N	0
DPOGS204171	DPSCF300034	118423	118872	DPSCF300034:118423-118872	449	1017899	rc	N	N	0
DPOGS204168	DPSCF300034	249568	259827	DPSCF300034:249568-259827	10259	876944	rc	N	N	0
DPOGS204161	DPSCF300034	531488	533992	DPSCF300034:531488-533992	2504	602779	rc	Y	N	0
DPOGS204182	DPSCF300034	124798	155285	DPSCF300034:124798-155285	30487	981486	f	N	N	0
DPOGS204175	DPSCF300034	28800	75903	DPSCF300034:28800-75903	47103	1060868	rc	N	N	0
DPOGS204162	DPSCF300034	515173	516841	DPSCF300034:515173-516841	1668	619930	rc	Y	N	0
DPOGS204163	DPSCF300034	492492	496923	DPSCF300034:492492-496923	4431	639848	rc	Y	N	0
DPOGS204208	DPSCF300034	1134829	1135686	DPSCF300034:1134829-1135686	857	1085	f	N	Y	0
DPOGS204157	DPSCF300034	587740	588237	DPSCF300034:587740-588237	497	548534	rc	N	N	0
DPOGS204167	DPSCF300034	260165	262977	DPSCF300034:260165-262977	2812	873794	rc	Y	N	0
DPOGS204164	DPSCF300034	477985	484582	DPSCF300034:477985-484582	6597	652189	rc	N	N	0
DPOGS204192	DPSCF300034	485370	509122	DPSCF300034:485370-509122	23752	627649	f	N	N	0
DPOGS204159	DPSCF300034	554805	563746	DPSCF300034:554805-563746	8941	573025	rc	N	N	0
DPOGS204191	DPSCF300034	473485	476144	DPSCF300034:473485-476144	2659	660627	f	Y	N	0
DPOGS204200	DPSCF300034	548014	554675	DPSCF300034:548014-554675	6661	582096	f	N	N	0
DPOGS204201	DPSCF300034	567368	567870	DPSCF300034:567368-567870	502	568901	f	N	N	0
DPOGS204160	DPSCF300034	542785	543621	DPSCF300034:542785-543621	836	593150	rc	N	N	0
DPOGS204184	DPSCF300034	224905	227489	DPSCF300034:224905-227489	2584	909282	f	Y	N	0
DPOGS204199	DPSCF300034	544503	546240	DPSCF300034:544503-546240	1737	590531	f	Y	N	0
DPOGS204173	DPSCF300034	87324	88031	DPSCF300034:87324-88031	707	1048740	rc	N	N	0
DPOGS204180	DPSCF300034	88890	89994	DPSCF300034:88890-89994	1104	1046777	f	N	N	0
DPOGS204193	DPSCF300034	511457	512316	DPSCF300034:511457-512316	859	624455	f	N	N	0
DPOGS204176	DPSCF300034	25399	28553	DPSCF300034:25399-28553	3154	1108218	rc	Y	N	0
DPOGS204155	DPSCF300034	604356	611532	DPSCF300034:604356-611532	7176	525239	rc	N	N	0
DPOGS204174	DPSCF300034	82487	87283	DPSCF300034:82487-87283	4796	1049488	rc	Y	N	0
DPOGS204178	DPSCF300034	11011	23141	DPSCF300034:11011-23141	12130	1113630	f	N	N	0
DPOGS204183	DPSCF300034	218638	224272	DPSCF300034:218638-224272	5634	912499	f	Y	N	0
DPOGS204154	DPSCF300034	614615	617042	DPSCF300034:614615-617042	2427	519729	rc	Y	N	0
DPOGS204158	DPSCF300034	569383	583228	DPSCF300034:569383-583228	13845	553543	rc	N	N	0
DPOGS204203	DPSCF300034	596718	598512	DPSCF300034:596718-598512	1794	538259	f	Y	N	0
DPOGS204172	DPSCF300034	114339	116319	DPSCF300034:114339-116319	1980	1020452	rc	Y	N	0
DPOGS204181	DPSCF300034	106169	113403	DPSCF300034:106169-113403	7234	1023368	f	N	N	0
DPOGS204204	DPSCF300034	612072	613119	DPSCF300034:612072-613119	1047	523652	f	N	N	0
DPOGS204202	DPSCF300034	584229	586178	DPSCF300034:584229-586178	1949	550593	f	Y	N	0
DPOGS204190	DPSCF300034	466242	472314	DPSCF300034:466242-472314	6072	664457	f	N	N	0
DPOGS204149	DPSCF300034	1127289	1128275	DPSCF300034:1127289-1128275	986	8496	rc	N	Y	0
DPOGS204187	DPSCF300034	322138	326057	DPSCF300034:322138-326057	3919	810714	f	Y	N	0
DPOGS204150	DPSCF300034	891882	906637	DPSCF300034:891882-906637	14755	230134	rc	N	N	0
DPOGS204151	DPSCF300034	759035	802094	DPSCF300034:759035-802094	43059	334677	rc	N	N	0
DPOGS204197	DPSCF300034	535792	536124	DPSCF300034:535792-536124	332	600647	f	N	N	0
DPOGS204196	DPSCF300034	535424	535738	DPSCF300034:535424-535738	314	601033	f	N	N	0
DPOGS204186	DPSCF300034	269225	306375	DPSCF300034:269225-306375	37150	830396	f	N	N	0
DPOGS204156	DPSCF300034	589903	595816	DPSCF300034:589903-595816	5913	540955	rc	N	N	0
DPOGS204179	DPSCF300034	76403	81569	DPSCF300034:76403-81569	5166	1055202	f	Y	N	0
DPOGS204153	DPSCF300034	617600	619813	DPSCF300034:617600-619813	2213	516958	rc	Y	N	0
DPOGS204170	DPSCF300034	230338	232711	DPSCF300034:230338-232711	2373	904060	rc	Y	N	0
DPOGS204207	DPSCF300034	1128901	1129347	DPSCF300034:1128901-1129347	446	7424	f	N	Y	0
DPOGS204198	DPSCF300034	541213	541686	DPSCF300034:541213-541686	473	595085	f	N	N	0
DPOGS204177	DPSCF300034	19	371	DPSCF300034:19-371	352	1136400	f	N	N	0
DPOGS204195	DPSCF300034	526891	530991	DPSCF300034:526891-530991	4100	605780	f	Y	N	0
DPOGS204194	DPSCF300034	516959	524986	DPSCF300034:516959-524986	8027	611785	f	N	N	0
DPOGS204185	DPSCF300034	239487	240695	DPSCF300034:239487-240695	1208	896076	f	N	N	0
DPOGS204188	DPSCF300034	328613	437451	DPSCF300034:328613-437451	108838	699320	f	N	N	0
