name	scaffold	start	end	region	length	distance	reverse	length_ok	dis_ok	main
DPOGS209810	DPSCF300117	37076	42094	DPSCF300117:37076-42094	5018	0	f	N/A	N/A	1
DPOGS209788	DPSCF300117	981622	983040	DPSCF300117:981622-983040	1418	939528	rc	N	N	0
DPOGS209790	DPSCF300117	935586	942330	DPSCF300117:935586-942330	6744	893492	rc	Y	N	0
DPOGS209837	DPSCF300117	746546	761435	DPSCF300117:746546-761435	14889	704452	f	N	N	0
DPOGS209787	DPSCF300117	998791	1006382	DPSCF300117:998791-1006382	7591	956697	rc	Y	N	0
DPOGS209792	DPSCF300117	804380	810993	DPSCF300117:804380-810993	6613	762286	rc	Y	N	0
DPOGS209829	DPSCF300117	648873	651420	DPSCF300117:648873-651420	2547	606779	f	Y	N	0
DPOGS209797	DPSCF300117	682554	699402	DPSCF300117:682554-699402	16848	640460	rc	N	N	0
DPOGS209786	DPSCF300117	1021345	1022198	DPSCF300117:1021345-1022198	853	979251	rc	N	N	0
DPOGS209828	DPSCF300117	634508	645764	DPSCF300117:634508-645764	11256	592414	f	N	N	0
DPOGS209841	DPSCF300117	954998	978110	DPSCF300117:954998-978110	23112	912904	f	N	N	0
DPOGS209848	DPSCF300117	1046596	1046838	DPSCF300117:1046596-1046838	242	1004502	f	N	N	0
DPOGS209832	DPSCF300117	667905	672015	DPSCF300117:667905-672015	4110	625811	f	Y	N	0
DPOGS209794	DPSCF300117	787897	789168	DPSCF300117:787897-789168	1271	745803	rc	N	N	0
DPOGS209791	DPSCF300117	903664	904785	DPSCF300117:903664-904785	1121	861570	rc	N	N	0
DPOGS209783	DPSCF300117	1089676	1113393	DPSCF300117:1089676-1113393	23717	1047582	rc	N	N	0
DPOGS209815	DPSCF300117	124371	144467	DPSCF300117:124371-144467	20096	82277	f	N	N	0
DPOGS209793	DPSCF300117	794990	803034	DPSCF300117:794990-803034	8044	752896	rc	Y	N	0
DPOGS209835	DPSCF300117	726573	732116	DPSCF300117:726573-732116	5543	684479	f	Y	N	0
DPOGS209822	DPSCF300117	492658	492990	DPSCF300117:492658-492990	332	450564	f	N	N	0
DPOGS209804	DPSCF300117	220619	222276	DPSCF300117:220619-222276	1657	178525	rc	N	N	0
