gene.id	stat_value
DPOGS200001	1.231369
DPOGS200002	-1.253096
DPOGS200005	-0.880992
DPOGS200006	-0.807118
DPOGS200007	-1.120127
DPOGS200011	-1.059293
DPOGS200012	-0.099475
DPOGS200014	-0.585745
DPOGS200016	-0.938696
DPOGS200017	-1.187982
DPOGS200036	-1.526080
DPOGS200037	-1.557831
DPOGS200039	-2.210339
DPOGS200040	-1.355016
DPOGS200043	-0.531813
DPOGS200045	-1.701030
DPOGS200047	-0.840407
DPOGS200050	-0.890157
DPOGS200051	-0.339221
DPOGS200053	-0.673685
DPOGS200055	0.099927
DPOGS200057	-0.443717
DPOGS200058	0.519677
DPOGS200059	-1.294819
DPOGS200060	0.162524
DPOGS200061	-0.317557
DPOGS200062	-0.831157
DPOGS200064	-0.496197
DPOGS200065	-0.122418
DPOGS200066	-0.324789
DPOGS200067	-1.232002
DPOGS200069	-1.670817
DPOGS200070	-2.199776
DPOGS200071	-1.273884
DPOGS200073	-0.843077
DPOGS200074	-0.746548
DPOGS200075	-0.317457
DPOGS200076	-1.116082
DPOGS200077	-0.079164
DPOGS200102	-0.678260
DPOGS200103	-1.166620
DPOGS200106	-0.494975
DPOGS200107	-0.591246
DPOGS200108	0.326300
DPOGS200109	0.159512
DPOGS200110	-0.848552
DPOGS200111	-1.292951
DPOGS200112	0.095489
DPOGS200113	-0.427305
DPOGS200116	-1.935108
DPOGS200117	-0.690513
DPOGS200118	-0.945210
DPOGS200121	-1.764543
DPOGS200123	-0.561378
DPOGS200124	0.875456
DPOGS200126	-0.414671
DPOGS200129	-2.341875
DPOGS200133	-0.707066
DPOGS200140	-0.423055
DPOGS200144	-1.812012
DPOGS200149	-0.260092
DPOGS200153	-1.244154
DPOGS200156	-1.212748
DPOGS200159	-1.726571
DPOGS200161	-1.302782
DPOGS200163	-0.548526
DPOGS200172	-0.593906
DPOGS200173	-0.774958
DPOGS200174	-1.346816
DPOGS200180	-0.849897
DPOGS200181	-1.209241
DPOGS200182	-1.148167
DPOGS200212	-0.765887
DPOGS200219	-0.598738
DPOGS200229	1.406926
DPOGS200230	0.599055
DPOGS200235	0.174680
DPOGS200236	0.322320
DPOGS200237	-0.931288
DPOGS200238	-0.351077
DPOGS200240	-0.137445
DPOGS200243	0.152625
DPOGS200244	-1.054997
DPOGS200245	-0.891414
DPOGS200246	-0.166710
DPOGS200247	0.624477
DPOGS200250	-1.837875
DPOGS200255	0.619140
DPOGS200256	1.221113
DPOGS200264	-0.847022
DPOGS200265	-0.938736
DPOGS200266	-0.247344
DPOGS200267	-0.771164
DPOGS200270	1.502681
DPOGS200271	0.710695
DPOGS200272	-2.331472
DPOGS200274	0.478523
DPOGS200279	-2.048113
DPOGS200290	-0.611980
DPOGS200291	0.498638
DPOGS200294	-2.339389
DPOGS200295	0.014512
DPOGS200297	-1.794753
DPOGS200298	0.468800
DPOGS200299	-0.646930
DPOGS200302	-1.272279
DPOGS200305	-0.860151
DPOGS200306	0.135472
DPOGS200307	-0.288363
DPOGS200308	-0.579425
DPOGS200309	-1.368709
DPOGS200312	-1.433250
DPOGS200316	0.068876
DPOGS200317	-1.226152
DPOGS200323	-0.035347
DPOGS200330	-0.234182
DPOGS200333	-0.964602
DPOGS200337	-0.210195
DPOGS200342	-1.700520
DPOGS200344	-0.320664
DPOGS200345	0.290149
DPOGS200346	-1.005741
DPOGS200347	-1.334882
DPOGS200349	-0.071795
DPOGS200352	-1.600964
DPOGS200356	-0.866314
DPOGS200358	-0.868007
DPOGS200360	2.457808
DPOGS200362	-0.662954
DPOGS200363	-1.046057
DPOGS200364	-0.280925
DPOGS200366	0.207674
DPOGS200367	-0.690276
DPOGS200368	-1.196995
DPOGS200369	1.157629
DPOGS200371	0.035520
DPOGS200372	-0.878609
DPOGS200373	-0.806547
DPOGS200381	-2.175377
DPOGS200382	-1.676317
DPOGS200383	-1.968079
DPOGS200385	-0.250447
DPOGS200386	-1.413836
DPOGS200394	-1.800885
DPOGS200395	0.274237
DPOGS200396	1.222000
DPOGS200397	-1.530091
DPOGS200398	0.042695
DPOGS200399	-1.352905
DPOGS200403	-0.537744
DPOGS200409	-0.531903
DPOGS200412	-0.577423
DPOGS200417	-0.985229
DPOGS200421	-1.033084
DPOGS200422	-1.689098
DPOGS200427	-0.049738
DPOGS200437	-1.731592
DPOGS200439	-1.902012
DPOGS200445	-1.347287
DPOGS200446	-1.216166
DPOGS200447	-0.777577
DPOGS200448	-1.382092
DPOGS200450	-1.141769
DPOGS200452	-1.395980
DPOGS200454	-0.930607
DPOGS200460	0.363994
DPOGS200463	-1.106398
DPOGS200466	-1.539156
DPOGS200467	-1.261383
DPOGS200468	0.379290
DPOGS200469	-0.340094
DPOGS200471	-1.510011
DPOGS200472	-1.757975
DPOGS200473	-1.061986
DPOGS200474	-1.455264
DPOGS200499	-0.593396
DPOGS200519	-1.783669
DPOGS200575	0.127751
DPOGS200663	-2.028147
DPOGS200664	-0.704827
DPOGS200666	-1.366743
DPOGS200667	0.345120
DPOGS200693	-0.055832
DPOGS200698	-0.853128
DPOGS200699	-0.651713
DPOGS200762	1.040019
DPOGS200763	-1.774373
DPOGS200764	-0.389933
DPOGS200765	-0.737804
DPOGS200766	-0.464044
DPOGS200769	-1.342971
DPOGS200770	1.773022
DPOGS200771	-0.928083
DPOGS200773	-0.829209
DPOGS200793	0.027338
DPOGS200815	-1.749644
DPOGS200879	0.700405
DPOGS200880	-0.394576
DPOGS200883	-0.319636
DPOGS200884	-0.689120
DPOGS200885	-0.450089
DPOGS200886	-1.464364
DPOGS200946	-1.249454
DPOGS200949	-1.695857
DPOGS200950	-0.200003
DPOGS200953	-0.637008
DPOGS200962	-0.761720
DPOGS200964	-0.594084
DPOGS200972	-0.575373
DPOGS200973	0.615595
DPOGS200976	-0.585769
DPOGS200977	0.009218
DPOGS200984	-1.582424
DPOGS200986	-1.171874
DPOGS200987	-1.195583
DPOGS200988	-2.022498
DPOGS200992	-1.142918
DPOGS200995	-1.898984
DPOGS200996	-0.930788
DPOGS200997	-1.594951
DPOGS200998	0.658982
DPOGS201008	-0.371249
DPOGS201010	-1.377192
DPOGS201014	-0.726910
DPOGS201015	-1.116328
DPOGS201020	-0.429008
DPOGS201026	-0.466368
DPOGS201053	-2.332373
DPOGS201099	-0.518238
DPOGS201128	-1.870581
DPOGS201210	0.110878
DPOGS201214	-1.859738
DPOGS201215	-1.392425
DPOGS201217	-0.611507
DPOGS201218	-1.826459
DPOGS201219	0.068487
DPOGS201268	0.112535
DPOGS201272	-0.550732
DPOGS201274	-1.669444
DPOGS201405	-0.515733
DPOGS201407	-0.026650
DPOGS201409	-0.564593
DPOGS201410	-2.071011
DPOGS201411	-1.651172
DPOGS201412	-0.566288
DPOGS201414	-2.072947
DPOGS201416	-0.521822
DPOGS201420	0.321446
DPOGS201426	-1.437668
DPOGS201428	-1.461606
DPOGS201429	-1.739741
DPOGS201430	-0.302406
DPOGS201432	-0.998164
DPOGS201433	-0.897746
DPOGS201434	2.074581
DPOGS201435	-2.079923
DPOGS201437	-0.931341
DPOGS201440	-0.901085
DPOGS201442	-1.896262
DPOGS201443	-0.066143
DPOGS201444	-2.182056
DPOGS201453	-1.014048
DPOGS201456	0.155314
DPOGS201469	-0.604561
DPOGS201472	1.444209
DPOGS201476	0.040928
DPOGS201477	1.362116
DPOGS201482	0.964273
DPOGS201491	-0.323335
DPOGS201503	-0.560825
DPOGS201505	-1.436805
DPOGS201508	0.019281
DPOGS201510	-1.621934
DPOGS201511	-0.031703
DPOGS201513	-0.829633
DPOGS201523	-0.724119
DPOGS201530	-0.367728
DPOGS201539	-1.214876
DPOGS201542	-2.576950
DPOGS201548	-1.667463
DPOGS201580	-1.355807
DPOGS201582	-1.329593
DPOGS201584	-0.546979
DPOGS201586	0.070750
DPOGS201588	-0.946460
DPOGS201589	-1.485272
DPOGS201590	-1.202624
DPOGS201591	0.069247
DPOGS201594	-2.178606
DPOGS201595	-1.732378
DPOGS201596	-0.699203
DPOGS201597	-1.344700
DPOGS201599	-0.955766
DPOGS201600	-0.604591
DPOGS201603	-0.905563
DPOGS201604	-1.078028
DPOGS201605	-0.734700
DPOGS201606	1.088493
DPOGS201609	-1.208270
DPOGS201612	-1.035675
DPOGS201613	-0.546822
DPOGS201614	-0.823019
DPOGS201618	-1.302403
DPOGS201628	0.562483
DPOGS201629	-1.599237
DPOGS201630	-0.410613
DPOGS201632	0.603254
DPOGS201634	0.885081
DPOGS201635	-0.863078
DPOGS201636	-1.113229
DPOGS201660	-1.115017
DPOGS201663	-1.690460
DPOGS201666	-1.782794
DPOGS201668	-1.613008
DPOGS201669	-0.680000
DPOGS201670	-2.563047
DPOGS201672	0.328930
DPOGS201674	-0.986892
DPOGS201677	-1.185116
DPOGS201678	-0.653842
DPOGS201680	-1.020793
DPOGS201682	-1.663760
DPOGS201683	-2.258474
DPOGS201685	0.437289
DPOGS201687	-1.228397
DPOGS201694	-1.676909
DPOGS201699	-0.480177
DPOGS201707	-0.710709
DPOGS201726	2.043405
DPOGS201728	-0.422158
DPOGS201730	0.467766
DPOGS201735	-1.831796
DPOGS201736	-0.623676
DPOGS201767	0.499854
DPOGS201768	-1.163913
DPOGS201769	1.826827
DPOGS201825	-1.075819
DPOGS201826	-0.974986
DPOGS201945	-1.828420
DPOGS201956	-0.821127
DPOGS201957	-0.980558
DPOGS201958	-1.074323
DPOGS201959	-2.044073
DPOGS201962	-0.974521
DPOGS201965	-1.333082
DPOGS201966	-1.181768
DPOGS201969	1.235952
DPOGS201984	-0.451213
DPOGS201985	0.456143
DPOGS201988	-1.198620
DPOGS201993	-0.986618
DPOGS201994	-0.760175
DPOGS201998	-1.259708
DPOGS202076	-0.156592
DPOGS202077	0.907815
DPOGS202078	0.868691
DPOGS202079	-0.952760
DPOGS202080	-2.103726
DPOGS202081	-1.289012
DPOGS202082	-1.094351
DPOGS202083	-1.702326
DPOGS202087	-0.023289
DPOGS202088	-1.127589
DPOGS202089	0.769317
DPOGS202093	-0.977171
DPOGS202094	-1.459436
DPOGS202104	-1.496825
DPOGS202110	-1.212631
DPOGS202114	-1.172839
DPOGS202118	-1.497445
DPOGS202125	0.571411
DPOGS202128	-1.805672
DPOGS202133	-1.254943
DPOGS202147	-0.391021
DPOGS202152	-0.839945
DPOGS202153	-1.737529
DPOGS202154	-0.548313
DPOGS202157	-1.156009
DPOGS202161	-1.048496
DPOGS202163	-1.537065
DPOGS202165	-1.385038
DPOGS202167	-1.267391
DPOGS202176	-0.146991
DPOGS202177	-1.600093
DPOGS202178	-1.003088
DPOGS202179	-0.797055
DPOGS202184	-1.276540
DPOGS202238	0.086753
DPOGS202239	-0.705040
DPOGS202242	-0.320117
DPOGS202244	-0.174977
DPOGS202245	0.012401
DPOGS202248	-1.677481
DPOGS202249	-1.210586
DPOGS202250	-1.572097
DPOGS202251	-0.746765
DPOGS202252	-0.785379
DPOGS202255	-1.111301
DPOGS202256	-1.685480
DPOGS202258	-1.522578
DPOGS202262	-0.584612
DPOGS202263	-1.027112
DPOGS202265	-0.100271
DPOGS202266	-1.863874
DPOGS202267	-0.317659
DPOGS202269	-0.872610
DPOGS202272	-1.858861
DPOGS202274	-1.030784
DPOGS202280	-0.277027
DPOGS202281	-2.042371
DPOGS202282	-0.127456
DPOGS202292	-1.931298
DPOGS202293	-0.351146
DPOGS202303	-0.277573
DPOGS202307	-0.692350
DPOGS202309	-1.836306
DPOGS202313	-0.805291
DPOGS202317	-0.533114
DPOGS202320	-0.855947
DPOGS202321	-0.858872
DPOGS202322	-0.552691
DPOGS202324	-1.043262
DPOGS202326	-1.168843
DPOGS202328	-0.578171
DPOGS202329	-1.208352
DPOGS202332	-0.428009
DPOGS202333	-0.378705
DPOGS202336	-0.872527
DPOGS202338	-0.912987
DPOGS202340	-0.898908
DPOGS202345	-0.170360
DPOGS202346	-0.777730
DPOGS202349	-2.011422
DPOGS202351	-2.701283
DPOGS202353	-0.653255
DPOGS202354	-0.653391
DPOGS202356	-0.393196
DPOGS202358	-0.853951
DPOGS202363	-1.069585
DPOGS202364	-0.666182
DPOGS202366	-0.055267
DPOGS202368	-1.554433
DPOGS202376	-2.029222
DPOGS202380	1.453928
DPOGS202381	-1.429478
DPOGS202382	-2.026104
DPOGS202384	0.017516
DPOGS202386	-1.987009
DPOGS202387	0.715333
DPOGS202389	-1.127291
DPOGS202390	-0.631716
DPOGS202391	-0.899182
DPOGS202393	-0.207207
DPOGS202395	-0.718208
DPOGS202396	-0.132030
DPOGS202397	-1.066896
DPOGS202398	0.840607
DPOGS202401	-0.532385
DPOGS202404	0.288107
DPOGS202409	-1.258167
DPOGS202412	-1.883343
DPOGS202435	-0.840586
DPOGS202474	-1.503439
DPOGS202477	-2.372915
DPOGS202478	0.621726
DPOGS202479	-1.275498
DPOGS202480	-1.856577
DPOGS202481	-1.224740
DPOGS202482	-2.006010
DPOGS202483	-2.104534
DPOGS202484	-0.222512
DPOGS202485	-1.267379
DPOGS202489	-0.585391
DPOGS202541	-1.536384
DPOGS202545	-2.094787
DPOGS202547	-1.764126
DPOGS202549	0.261837
DPOGS202550	-1.899472
DPOGS202553	-0.734027
DPOGS202554	-0.102217
DPOGS202555	-1.751586
DPOGS202556	-0.451083
DPOGS202561	-0.586757
DPOGS202562	0.063407
DPOGS202564	-0.950899
DPOGS202565	-1.375689
DPOGS202566	-0.898711
DPOGS202569	-1.598539
DPOGS202571	-0.548186
DPOGS202572	-0.819333
DPOGS202574	-0.400539
DPOGS202579	0.435775
DPOGS202581	1.219824
DPOGS202582	-1.236430
DPOGS202583	-2.092141
DPOGS202585	-0.709944
DPOGS202587	-0.968887
DPOGS202592	-1.237977
DPOGS202595	-0.558426
DPOGS202597	-2.074315
DPOGS202599	-1.687757
DPOGS202600	-0.548046
DPOGS202601	0.095485
DPOGS202602	-0.857905
DPOGS202604	-0.114553
DPOGS202607	-1.361124
DPOGS202611	-0.896273
DPOGS202617	-0.976263
DPOGS202618	2.125701
DPOGS202622	-0.560914
DPOGS202626	-0.730879
DPOGS202640	-0.799669
DPOGS202644	-1.158342
DPOGS202646	-0.208789
DPOGS202647	-0.634997
DPOGS202650	-0.210060
DPOGS202657	-0.652841
DPOGS202658	-1.308385
DPOGS202662	-1.250197
DPOGS202665	-0.826376
DPOGS202671	0.102793
DPOGS202674	-1.052779
DPOGS202676	-0.843563
DPOGS202677	-0.823230
DPOGS202680	-1.146370
DPOGS202683	0.497278
DPOGS202684	-1.869844
DPOGS202685	-0.761322
DPOGS202686	0.230171
DPOGS202689	-0.282400
DPOGS202692	-0.739966
DPOGS202697	-1.882239
DPOGS202700	-0.963816
DPOGS202701	-0.344042
DPOGS202703	-1.521897
DPOGS202704	-0.793510
DPOGS202744	-0.832938
DPOGS202745	-1.473822
DPOGS202746	-1.155792
DPOGS202747	-0.977693
DPOGS202749	0.151967
DPOGS202763	0.453596
DPOGS202774	-1.740242
DPOGS202775	-1.230811
DPOGS202779	0.402137
DPOGS202785	-0.701237
DPOGS202787	0.008964
DPOGS202794	-0.405690
DPOGS202795	-1.473460
DPOGS202796	-1.720141
DPOGS202797	0.571339
DPOGS202798	-2.097427
DPOGS202799	-0.944320
DPOGS202801	-0.242350
DPOGS202802	-0.855650
DPOGS202806	-0.786506
DPOGS202807	-1.597060
DPOGS202808	-0.736495
DPOGS202810	-1.056261
DPOGS202817	-2.502590
DPOGS202822	-0.982768
DPOGS202826	-2.049108
DPOGS202827	-1.971534
DPOGS202835	-1.093566
DPOGS202836	-0.208295
DPOGS202840	-0.497715
DPOGS202841	-1.643624
DPOGS202846	-1.684615
DPOGS202855	0.518745
DPOGS202862	-2.238306
DPOGS202868	-0.656845
DPOGS202873	-1.889532
DPOGS202875	-1.363516
DPOGS202877	-0.846230
DPOGS202881	-0.462267
DPOGS202884	-0.885975
DPOGS202885	-0.795305
DPOGS202887	-2.074022
DPOGS202888	-1.666409
DPOGS202891	-1.671183
DPOGS202892	-2.099403
DPOGS202893	-1.673504
DPOGS202899	-2.345154
DPOGS202901	-0.501507
DPOGS202903	-0.298889
DPOGS202904	-2.044921
DPOGS202907	-0.378165
DPOGS202910	-1.779827
DPOGS202911	-1.715318
DPOGS202912	-1.576239
DPOGS202916	-1.489727
DPOGS202917	-1.293152
DPOGS202919	-0.260496
DPOGS202921	-0.928986
DPOGS202924	-1.707953
DPOGS202937	-1.387845
DPOGS202940	-1.689784
DPOGS202941	-1.311298
DPOGS202942	-1.672690
DPOGS202945	-1.568809
DPOGS202946	-0.538540
DPOGS202947	-2.321072
DPOGS202948	0.275722
DPOGS202949	0.817539
DPOGS202950	-0.287326
DPOGS202954	0.555706
DPOGS202955	-0.771958
DPOGS202956	-1.502898
DPOGS202958	-0.496815
DPOGS202959	-1.456082
DPOGS202961	-1.399919
DPOGS202962	0.207193
DPOGS202963	-1.202171
DPOGS202964	-2.046171
DPOGS202965	-0.123130
DPOGS202967	-0.559175
DPOGS202968	0.744167
DPOGS202972	0.387300
DPOGS202973	-1.323911
DPOGS203040	-0.696817
DPOGS203057	-2.683406
DPOGS203058	-0.230822
DPOGS203060	-1.702677
DPOGS203061	-0.895827
DPOGS203062	-1.060936
DPOGS203063	-0.432187
DPOGS203064	-0.120109
DPOGS203065	-1.499479
DPOGS203068	-1.309741
DPOGS203069	-1.794265
DPOGS203070	-1.491504
DPOGS203071	1.546140
