gene.id	stat_value
DPOGS200001	0.034654
DPOGS200002	0.041090
DPOGS200003	0.031825
DPOGS200005	0.035602
DPOGS200006	0.038127
DPOGS200007	0.046722
DPOGS200011	0.038880
DPOGS200012	0.031670
DPOGS200014	0.031005
DPOGS200016	0.023789
DPOGS200017	0.037076
DPOGS200036	0.050335
DPOGS200037	0.037180
DPOGS200039	0.033473
DPOGS200040	0.040647
DPOGS200043	0.043966
DPOGS200045	0.012865
DPOGS200047	0.043850
DPOGS200050	0.042812
DPOGS200051	0.040661
DPOGS200052	0.028362
DPOGS200053	0.040622
DPOGS200054	0.028892
DPOGS200055	0.041250
DPOGS200056	0.037249
DPOGS200057	0.028983
DPOGS200058	0.028427
DPOGS200059	0.036973
DPOGS200060	0.037165
DPOGS200061	0.032728
DPOGS200062	0.040020
DPOGS200063	0.051178
DPOGS200064	0.036602
DPOGS200065	0.038607
DPOGS200066	0.043766
DPOGS200067	0.030027
DPOGS200069	0.015727
DPOGS200070	0.043999
DPOGS200071	0.035677
DPOGS200072	0.033031
DPOGS200073	0.072083
DPOGS200074	0.025818
DPOGS200075	0.037099
DPOGS200076	0.037565
DPOGS200077	0.041387
DPOGS200102	0.042249
DPOGS200103	0.031935
DPOGS200104	0.016281
DPOGS200106	0.016234
DPOGS200107	0.028054
DPOGS200108	0.036040
DPOGS200109	0.023614
DPOGS200110	0.047515
DPOGS200111	0.040610
DPOGS200112	0.037003
DPOGS200113	0.046420
DPOGS200116	0.036457
DPOGS200117	0.034821
DPOGS200118	0.032304
DPOGS200119	0.029359
DPOGS200120	0.037632
DPOGS200121	0.017730
DPOGS200123	0.032230
DPOGS200124	0.019475
DPOGS200125	0.009534
DPOGS200126	0.041985
DPOGS200129	0.041268
DPOGS200133	0.046380
DPOGS200140	0.032638
DPOGS200144	0.035540
DPOGS200149	0.033335
DPOGS200153	0.040069
DPOGS200156	0.035089
DPOGS200159	0.038859
DPOGS200161	0.036440
DPOGS200163	0.038337
DPOGS200172	0.038997
DPOGS200173	0.036285
DPOGS200174	0.030509
DPOGS200180	0.040087
DPOGS200181	0.044121
DPOGS200182	0.033370
DPOGS200212	0.034427
DPOGS200219	0.035379
DPOGS200221	0.025637
DPOGS200229	0.012776
DPOGS200230	0.069490
DPOGS200235	0.013888
DPOGS200236	0.042595
DPOGS200237	0.034184
DPOGS200238	0.026188
DPOGS200240	0.021134
DPOGS200243	0.034239
DPOGS200244	0.044714
DPOGS200245	0.061159
DPOGS200246	0.021015
DPOGS200247	0.033063
DPOGS200250	0.028471
DPOGS200255	0.048552
DPOGS200256	0.026140
DPOGS200264	0.035002
DPOGS200265	0.033607
DPOGS200266	0.034922
DPOGS200267	0.020507
DPOGS200269	0.045351
DPOGS200270	0.030354
DPOGS200271	0.024386
DPOGS200272	0.041554
DPOGS200274	0.039870
DPOGS200279	0.031579
DPOGS200290	0.037106
DPOGS200291	0.037637
DPOGS200294	0.037808
DPOGS200295	0.034929
DPOGS200297	0.048301
DPOGS200298	0.045602
DPOGS200299	0.044884
DPOGS200302	0.027770
DPOGS200305	0.037025
DPOGS200306	0.037790
DPOGS200307	0.045490
DPOGS200308	0.035689
DPOGS200309	0.052070
DPOGS200312	0.046250
DPOGS200316	0.033454
DPOGS200317	0.043077
DPOGS200323	0.043126
DPOGS200330	0.031459
DPOGS200333	0.043269
DPOGS200337	0.039365
DPOGS200342	0.038762
DPOGS200344	0.053144
DPOGS200345	0.035378
DPOGS200346	0.052664
DPOGS200347	0.047913
DPOGS200349	0.030237
DPOGS200352	0.040605
DPOGS200355	0.031509
DPOGS200356	0.037283
DPOGS200358	0.023974
DPOGS200360	0.029177
DPOGS200362	0.031478
DPOGS200363	0.029767
DPOGS200364	0.040994
DPOGS200366	0.027234
DPOGS200367	0.037769
DPOGS200368	0.036857
DPOGS200369	0.012346
DPOGS200371	0.064068
DPOGS200372	0.018371
DPOGS200373	0.023747
DPOGS200381	0.035447
DPOGS200382	0.038425
DPOGS200383	0.026755
DPOGS200385	0.027316
DPOGS200386	0.132951
DPOGS200394	0.020154
DPOGS200395	0.033360
DPOGS200396	0.017006
DPOGS200397	0.031095
DPOGS200398	0.023492
DPOGS200399	0.031499
DPOGS200403	0.035863
DPOGS200409	0.036637
DPOGS200412	0.042741
DPOGS200417	0.024174
DPOGS200421	0.039554
DPOGS200422	0.026867
DPOGS200427	0.039377
DPOGS200429	0.035377
DPOGS200437	0.040305
DPOGS200439	0.035372
DPOGS200445	0.032346
DPOGS200446	0.041309
DPOGS200447	0.041658
DPOGS200448	0.032305
DPOGS200450	0.037828
DPOGS200452	0.033535
DPOGS200454	0.041061
DPOGS200460	0.044834
DPOGS200463	0.036341
DPOGS200466	0.032230
DPOGS200467	0.041156
DPOGS200468	0.037168
DPOGS200469	0.020481
DPOGS200471	0.054143
DPOGS200472	0.029792
DPOGS200473	0.028981
DPOGS200474	0.029658
DPOGS200499	0.029434
DPOGS200519	0.040476
DPOGS200520	0.035836
DPOGS200575	0.038638
DPOGS200579	0.066369
DPOGS200663	0.034824
DPOGS200664	0.032758
DPOGS200665	0.042751
DPOGS200666	0.028031
DPOGS200667	0.034484
DPOGS200668	0.027603
DPOGS200693	0.024489
DPOGS200698	0.039002
DPOGS200699	0.027599
DPOGS200706	0.021581
DPOGS200762	0.046385
