gene.id	total_sites	non-NA_sites
DPOGS200001	67	67
DPOGS200002	402	402
DPOGS200005	123	123
DPOGS200006	311	311
DPOGS200007	369	369
DPOGS200011	150	150
DPOGS200012	20	20
DPOGS200014	202	202
DPOGS200016	381	381
DPOGS200017	281	281
DPOGS200036	70	70
DPOGS200037	234	234
DPOGS200039	77	77
DPOGS200040	42	42
DPOGS200043	67	67
DPOGS200045	25	25
DPOGS200047	105	105
DPOGS200050	59	59
DPOGS200051	142	142
DPOGS200053	39	39
DPOGS200055	188	188
DPOGS200057	222	222
DPOGS200058	93	93
DPOGS200059	26	26
DPOGS200060	115	115
DPOGS200061	129	129
DPOGS200062	116	116
DPOGS200064	140	140
DPOGS200065	28	28
DPOGS200066	775	775
DPOGS200067	245	245
DPOGS200069	19	19
DPOGS200070	45	45
DPOGS200071	570	570
DPOGS200073	15	15
DPOGS200074	194	194
DPOGS200075	274	274
DPOGS200076	100	100
DPOGS200077	56	56
DPOGS200102	421	421
DPOGS200103	673	673
DPOGS200106	38	38
DPOGS200107	72	72
DPOGS200108	214	214
DPOGS200109	93	93
DPOGS200110	74	74
DPOGS200111	185	185
DPOGS200112	115	115
DPOGS200113	106	106
DPOGS200116	145	145
DPOGS200117	411	411
DPOGS200118	156	156
DPOGS200121	83	83
DPOGS200123	123	123
DPOGS200124	71	71
DPOGS200126	94	94
DPOGS200129	70	70
DPOGS200133	432	432
DPOGS200140	424	424
DPOGS200144	191	191
DPOGS200149	121	121
DPOGS200153	189	189
DPOGS200156	217	217
DPOGS200159	65	65
DPOGS200161	540	540
DPOGS200163	338	338
DPOGS200172	360	360
DPOGS200173	310	310
DPOGS200174	342	342
DPOGS200180	200	200
DPOGS200181	785	785
DPOGS200182	233	233
DPOGS200212	87	87
DPOGS200219	97	97
DPOGS200229	33	33
DPOGS200230	47	47
DPOGS200235	126	126
DPOGS200236	117	117
DPOGS200237	73	73
DPOGS200238	137	137
DPOGS200240	110	110
DPOGS200243	120	120
DPOGS200244	109	109
DPOGS200245	100	100
DPOGS200246	19	19
DPOGS200247	112	112
DPOGS200250	110	110
DPOGS200255	15	15
DPOGS200256	29	29
DPOGS200264	207	207
DPOGS200265	209	209
DPOGS200266	163	163
DPOGS200267	112	112
DPOGS200270	116	116
DPOGS200271	116	116
DPOGS200272	111	111
DPOGS200274	36	36
DPOGS200279	141	141
DPOGS200290	227	227
DPOGS200291	136	136
DPOGS200294	107	107
DPOGS200295	156	156
DPOGS200297	117	117
DPOGS200298	238	238
DPOGS200299	231	231
DPOGS200302	144	144
DPOGS200305	238	238
DPOGS200306	225	225
DPOGS200307	59	59
DPOGS200308	223	223
DPOGS200309	121	121
DPOGS200312	93	93
DPOGS200316	81	81
DPOGS200317	230	230
DPOGS200323	57	57
DPOGS200330	46	46
DPOGS200333	184	184
DPOGS200337	348	348
DPOGS200342	118	118
DPOGS200344	95	95
DPOGS200345	68	68
DPOGS200346	252	252
DPOGS200347	130	130
DPOGS200349	422	422
DPOGS200352	207	207
DPOGS200356	333	333
DPOGS200358	211	211
DPOGS200360	67	67
DPOGS200362	126	126
DPOGS200363	117	117
DPOGS200364	221	221
DPOGS200366	328	328
DPOGS200367	102	102
DPOGS200368	25	25
