"pop" "New_ID" "T1" "T1_outliers" "T2" "T2_outliers"
"NAM" "DPOGS208169" 0.0127629233511586 1 0.5 0
"FL" "DPOGS211355" 0.0109803921568627 1 0.664385026737968 0
"FL" "DPOGS206224" 0.0136898395721925 1 0.30174688057041 0
"FL" "DPOGS205206" 0.0213903743315508 1 0.807344028520499 0
"PAC" "DPOGS204146" 0.00463458110516934 1 0.967272727272727 0
"PAC" "DPOGS214570" 0.984171122994652 1 0.795436720142602 0
"ATL" "DPOGS204835" 0.000998217468805704 1 0.257896613190731 0
"ATL" "DPOGS204146" 0.987308377896613 1 0.934474153297683 0
"ATL" "DPOGS215098" 0.166702317290553 0 0.988306595365419 1
