gene.id	stat_value
DPOGS200001	0.030755
DPOGS200002	0.027691
DPOGS200003	0.040061
DPOGS200005	0.026843
DPOGS200006	0.035112
DPOGS200007	0.032264
DPOGS200011	0.035079
DPOGS200012	0.025557
DPOGS200014	0.029929
DPOGS200016	0.024826
DPOGS200017	0.031756
DPOGS200036	0.030211
DPOGS200037	0.024963
DPOGS200039	0.035017
DPOGS200040	0.032655
DPOGS200043	0.037772
DPOGS200045	0.034284
DPOGS200047	0.026697
DPOGS200050	0.031053
DPOGS200051	0.034438
DPOGS200052	0.029388
DPOGS200053	0.028730
DPOGS200054	0.026227
DPOGS200055	0.025455
DPOGS200056	0.027493
DPOGS200057	0.029363
DPOGS200058	0.027622
DPOGS200059	0.027308
DPOGS200060	0.030898
DPOGS200061	0.025722
DPOGS200062	0.022587
DPOGS200063	0.029811
DPOGS200064	0.027382
DPOGS200065	0.037574
DPOGS200066	0.026981
DPOGS200067	0.028579
DPOGS200069	0.029559
DPOGS200070	0.023459
DPOGS200071	0.033798
DPOGS200072	0.022671
DPOGS200073	0.057795
DPOGS200074	0.031982
DPOGS200075	0.032298
DPOGS200076	0.023832
DPOGS200077	0.037463
DPOGS200102	0.030660
DPOGS200103	0.028042
DPOGS200104	0.023819
DPOGS200106	0.026832
DPOGS200107	0.027728
DPOGS200108	0.029493
DPOGS200109	0.024820
DPOGS200110	0.045792
DPOGS200111	0.038516
DPOGS200112	0.031055
DPOGS200113	0.025798
DPOGS200116	0.033957
DPOGS200117	0.029648
DPOGS200118	0.023610
DPOGS200119	0.033554
DPOGS200120	0.031439
DPOGS200121	0.024513
DPOGS200123	0.034648
DPOGS200124	0.026923
DPOGS200125	0.021620
DPOGS200126	0.025508
DPOGS200129	0.025361
DPOGS200133	0.026083
DPOGS200140	0.028927
DPOGS200144	0.033067
DPOGS200149	0.028354
DPOGS200153	0.037319
DPOGS200156	0.035602
DPOGS200159	0.026081
DPOGS200161	0.025939
DPOGS200163	0.029996
DPOGS200172	0.029155
DPOGS200173	0.030877
DPOGS200174	0.028585
DPOGS200180	0.028273
DPOGS200181	0.025226
DPOGS200182	0.026937
DPOGS200212	0.034933
DPOGS200219	0.037235
DPOGS200221	0.030525
DPOGS200229	0.026143
DPOGS200230	0.026852
DPOGS200235	0.022302
DPOGS200236	0.025628
DPOGS200237	0.038207
DPOGS200238	0.028507
DPOGS200240	0.025996
DPOGS200243	0.030728
DPOGS200244	0.028875
DPOGS200245	0.027593
DPOGS200246	0.029632
DPOGS200247	0.022645
DPOGS200250	0.026179
DPOGS200255	0.037034
DPOGS200256	0.040855
DPOGS200264	0.032333
DPOGS200265	0.034613
DPOGS200266	0.038183
DPOGS200267	0.029576
DPOGS200269	0.029563
DPOGS200270	0.031661
DPOGS200271	0.033113
DPOGS200272	0.027834
DPOGS200274	0.030855
DPOGS200279	0.029229
DPOGS200290	0.032587
DPOGS200291	0.028019
DPOGS200294	0.025129
DPOGS200295	0.026253
DPOGS200297	0.029356
DPOGS200298	0.028776
DPOGS200299	0.030391
DPOGS200302	0.027247
DPOGS200305	0.026087
DPOGS200306	0.023696
DPOGS200307	0.026940
DPOGS200308	0.030592
DPOGS200309	0.028356
DPOGS200312	0.028678
DPOGS200316	0.027258
DPOGS200317	0.025452
DPOGS200323	0.032229
DPOGS200330	0.029033
DPOGS200333	0.028941
DPOGS200337	0.030841
DPOGS200342	0.022195
DPOGS200344	0.025014
DPOGS200345	0.028916
DPOGS200346	0.024990
DPOGS200347	0.023242
DPOGS200349	0.022990
DPOGS200352	0.039015
DPOGS200355	0.027363
DPOGS200356	0.029136
DPOGS200358	0.027252
DPOGS200360	0.028234
DPOGS200362	0.027797
DPOGS200363	0.029207
DPOGS200364	0.024240
DPOGS200366	0.026604
DPOGS200367	0.030796
DPOGS200368	0.027617
DPOGS200369	0.025385
DPOGS200371	0.045394
DPOGS200372	0.027629
DPOGS200373	0.029956
DPOGS200381	0.024869
DPOGS200382	0.024158
DPOGS200383	0.027297
DPOGS200385	0.034546
DPOGS200386	0.093240
DPOGS200394	0.024028
DPOGS200395	0.054406
DPOGS200396	0.032558
DPOGS200397	0.027338
DPOGS200398	0.022647
DPOGS200399	0.030119
DPOGS200403	0.026885
DPOGS200409	0.030249
DPOGS200412	0.028483
DPOGS200417	0.027438
DPOGS200421	0.028051
DPOGS200422	0.026728
DPOGS200427	0.031615
DPOGS200429	0.024567
DPOGS200437	0.027609
DPOGS200439	0.026688
DPOGS200445	0.027457
DPOGS200446	0.034698
DPOGS200447	0.032985
DPOGS200448	0.028964
DPOGS200450	0.035892
DPOGS200452	0.031157
DPOGS200454	0.039411
DPOGS200460	0.037781
DPOGS200463	0.032047
DPOGS200466	0.029159
DPOGS200467	0.040047
DPOGS200468	0.032040
DPOGS200469	0.025655
DPOGS200471	0.042031
DPOGS200472	0.031594
DPOGS200473	0.033631
DPOGS200474	0.036322
DPOGS200499	0.032956
DPOGS200519	0.034595
DPOGS200520	0.033684
DPOGS200575	0.025039
