gene.id	stat_value
DPOGS200001	1.021789
DPOGS200002	-0.936923
DPOGS200005	-0.026355
DPOGS200006	-2.232310
DPOGS200007	-1.295439
DPOGS200011	-1.259790
DPOGS200012	-0.204145
DPOGS200014	-0.977125
DPOGS200016	-0.857023
DPOGS200017	-0.727838
DPOGS200036	-1.265876
DPOGS200037	-1.589835
DPOGS200039	-2.182455
DPOGS200040	-1.857530
DPOGS200043	-1.433040
DPOGS200045	-0.838051
DPOGS200047	-1.881444
DPOGS200050	-2.189666
DPOGS200051	-0.124610
DPOGS200053	-1.840419
DPOGS200055	-1.293363
DPOGS200057	-2.231972
DPOGS200058	-0.785069
DPOGS200059	-0.048545
DPOGS200060	-2.015771
DPOGS200061	-2.451631
DPOGS200062	-0.869508
DPOGS200064	-2.117988
DPOGS200065	-2.009969
DPOGS200066	-1.548408
DPOGS200067	-1.198821
DPOGS200069	-0.549507
DPOGS200070	0.548215
DPOGS200071	-1.491878
DPOGS200073	1.131436
DPOGS200074	-1.676318
DPOGS200075	-0.604662
DPOGS200076	-0.114191
DPOGS200077	-1.004776
DPOGS200102	-2.152832
DPOGS200103	0.555693
DPOGS200106	0.071852
DPOGS200107	-0.668992
DPOGS200108	0.483021
DPOGS200109	-0.367964
DPOGS200110	-0.112971
DPOGS200111	-1.244680
DPOGS200112	-0.205100
DPOGS200113	-0.498499
DPOGS200116	-0.936750
DPOGS200117	-1.940054
DPOGS200118	-2.333725
DPOGS200121	-1.062978
DPOGS200123	-1.016926
DPOGS200124	-1.500514
DPOGS200126	-1.443193
DPOGS200129	-0.496956
DPOGS200133	-1.173593
DPOGS200140	-2.386215
DPOGS200144	-1.131841
DPOGS200149	-0.954822
DPOGS200153	0.089150
DPOGS200156	-1.043646
DPOGS200159	-1.961029
DPOGS200161	-1.304221
DPOGS200163	0.699878
DPOGS200172	-1.323723
DPOGS200173	-0.285412
DPOGS200174	-1.543969
DPOGS200180	-0.011886
DPOGS200181	-1.916058
DPOGS200182	-1.543076
DPOGS200212	-1.377837
DPOGS200219	0.570464
DPOGS200229	-0.881466
DPOGS200230	-0.023461
DPOGS200235	-1.976964
DPOGS200236	-2.367062
DPOGS200237	-0.708462
DPOGS200238	-0.809198
DPOGS200240	-1.502568
DPOGS200243	-1.386774
DPOGS200244	-1.533665
DPOGS200245	-1.776695
DPOGS200246	-0.772079
DPOGS200247	-2.341576
DPOGS200250	-1.699663
DPOGS200255	-0.939850
DPOGS200256	-0.557960
DPOGS200264	-2.069550
DPOGS200265	-1.988332
DPOGS200266	-0.532255
DPOGS200267	-1.851390
DPOGS200270	-0.513535
DPOGS200271	-0.107042
DPOGS200272	-1.471068
DPOGS200274	0.172450
DPOGS200279	-0.370540
DPOGS200290	-2.423853
DPOGS200291	-2.351180
DPOGS200294	-2.124694
DPOGS200295	-2.011861
DPOGS200297	-2.269109
DPOGS200298	-0.572028
DPOGS200299	-2.007736
DPOGS200302	-2.319445
DPOGS200305	-1.718111
