"scaffold","geneID","ZorA","chromosome"
"DPOGS200905","DPSCF300066","DPOGS200905","Z_anc",1
"DPOGS209813","DPSCF300117","DPOGS209813","A",10
"DPOGS206909","DPSCF300001-1","DPOGS206909","Z_neo",1
"DPOGS206910","DPSCF300001-1","DPOGS206910","Z_neo",1
"DPOGS207148","DPSCF300001-1","DPOGS207148","Z_anc",1
"DPOGS209814","DPSCF300117","DPOGS209814","A",10
"DPOGS206026","DPSCF300028-2","DPOGS206026","Z_anc",1
"DPOGS212963","DPSCF300057","DPOGS212963","A",12
"DPOGS215599","DPSCF300097","DPOGS215599","A",11
"DPOGS212940","DPSCF300057","DPOGS212940","A",12
"DPOGS212941","DPSCF300057","DPOGS212941","A",12
"DPOGS212964","DPSCF300057","DPOGS212964","A",12
"DPOGS212965","DPSCF300057","DPOGS212965","A",12
"DPOGS203317","DPSCF300003","DPOGS203317","Z_anc",1
"DPOGS206045","DPSCF300028-2","DPOGS206045","Z_anc",1
"DPOGS203951","DPSCF300005","DPOGS203951","Z_anc",1
"DPOGS210549","DPSCF300304","DPOGS210549","A",5
"DPOGS203180","DPSCF300035","DPOGS203180","A",14
"DPOGS202796","DPSCF300018","DPOGS202796","A",4
"DPOGS214397","DPSCF300069","DPOGS214397","A",30
"DPOGS213636","DPSCF300165","DPOGS213636","A",24
"DPOGS212634","DPSCF300245","DPOGS212634","A",4
"DPOGS202826","DPSCF300018","DPOGS202826","A",4
"DPOGS215836","DPSCF300073","DPOGS215836","A",2
"DPOGS210251","DPSCF300196","DPOGS210251","A",10
"DPOGS210210","DPSCF300196","DPOGS210210","A",10
"DPOGS210211","DPSCF300196","DPOGS210211","A",10
"DPOGS204835","DPSCF300227","DPOGS204835","A",12
"DPOGS205231","DPSCF300265","DPOGS205231","A",29
"DPOGS206561","DPSCF300108","DPOGS206561","A",22
"DPOGS215180","DPSCF300143","DPOGS215180","A",20
"DPOGS215181","DPSCF300143","DPOGS215181","A",20
"DPOGS206562","DPSCF300108","DPOGS206562","A",22
"DPOGS206563","DPSCF300108","DPOGS206563","A",22
"DPOGS213841","DPSCF300183","DPOGS213841","A",14
"DPOGS215183","DPSCF300143","DPOGS215183","A",20
"DPOGS215188","DPSCF300143","DPOGS215188","A",20
"DPOGS204146","DPSCF300034","DPOGS204146","A",18
"DPOGS204147","DPSCF300034","DPOGS204147","A",18
"DPOGS201678","DPSCF300103","DPOGS201678","A",13
"DPOGS215220","DPSCF300143","DPOGS215220","A",20
"DPOGS215098","DPSCF300139","DPOGS215098","A",29
"DPOGS208169","DPSCF300207","DPOGS208169","A",20
"DPOGS201966","DPSCF300060","DPOGS201966","A",4
"DPOGS215182","DPSCF300143","DPOGS215182","A",20
"DPOGS211355","DPSCF300173","DPOGS211355","A",7
"DPOGS203664","DPSCF300010","DPOGS203664","A",6
"DPOGS210568","DPSCF300408","DPOGS210568","A",28
"DPOGS214570","DPSCF300050","DPOGS214570","A",18
"DPOGS204148","DPSCF300034","DPOGS204148","A",18
"DPOGS205210","DPSCF300265","DPOGS205210","A",29
"DPOGS211237","DPSCF300385","DPOGS211237","A",18
"DPOGS206224","DPSCF300334","DPOGS206224","A",28
"DPOGS206217","DPSCF300334","DPOGS206217","A",28
"DPOGS205206","DPSCF300265","DPOGS205206","A",29
"DPOGS209809","DPSCF300117","DPOGS209809","A",10
"DPOGS209810","DPSCF300117","DPOGS209810","A",10
"DPOGS203200","DPSCF300035","DPOGS203200","A",14
"DPOGS205279","DPSCF300021","DPOGS205279","A",14
"DPOGS202626","DPSCF300140","DPOGS202626","A",5
"DPOGS205281","DPSCF300021","DPOGS205281","A",14
"DPOGS205295","DPSCF300021","DPOGS205295","A",14
"DPOGS205123","DPSCF300471","DPOGS205123","A",30
"DPOGS211472","DPSCF300113","DPOGS211472","A",5
"DPOGS200002","DPSCF300466","DPOGS200002","A",NA
"DPOGS205283","DPSCF300021","DPOGS205283","A",14
"DPOGS215274","DPSCF300047","DPOGS215274","A",17
"DPOGS203198","DPSCF300035","DPOGS203198","A",14
"DPOGS205293","DPSCF300021","DPOGS205293","A",14
"DPOGS205296","DPSCF300021","DPOGS205296","A",14
"DPOGS207788","DPSCF300042","DPOGS207788","A",13
"DPOGS205936","DPSCF300156","DPOGS205936","A",9
"DPOGS208945","DPSCF300009","DPOGS208945","A",10
"DPOGS214647","DPSCF300050","DPOGS214647","A",18
"DPOGS210260","DPSCF300216","DPOGS210260","A",23
"DPOGS202662","DPSCF300039","DPOGS202662","A",15
"DPOGS209243","DPSCF300111","DPOGS209243","A",8
"DPOGS209453","DPSCF300275","DPOGS209453","A",4
"DPOGS215778","DPSCF300041","DPOGS215778","A",6
"DPOGS200403","DPSCF300236","DPOGS200403","A",17
"DPOGS202907","DPSCF300126","DPOGS202907","A",16
"DPOGS202564","DPSCF300355","DPOGS202564","A",25
"DPOGS207960","DPSCF300090","DPOGS207960","A",11
"DPOGS212093","DPSCF300038","DPOGS212093","A",9
"DPOGS200977","DPSCF300147","DPOGS200977","A",17
"DPOGS203759","DPSCF300010","DPOGS203759","A",6
"DPOGS201405","DPSCF300006","DPOGS201405","A",6
"DPOGS208954","DPSCF300009","DPOGS208954","A",10
"DPOGS213169","DPSCF300114","DPOGS213169","A",17
"DPOGS214573","DPSCF300050","DPOGS214573","A",18
"DPOGS202887","DPSCF300126","DPOGS202887","A",16
"DPOGS214325","DPSCF300020","DPOGS214325","A",16
"DPOGS214451","DPSCF300441","DPOGS214451","A",29
"DPOGS200349","DPSCF300026","DPOGS200349","A",8
"DPOGS210157","DPSCF300379","DPOGS210157","A",NA
"DPOGS212956","DPSCF300057","DPOGS212956","A",12
"DPOGS213997","DPSCF300389","DPOGS213997","A",NA
"DPOGS205720","DPSCF300250","DPOGS205720","A",NA
"DPOGS215451","DPSCF300532","DPOGS215451","A",NA
"DPOGS210270","DPSCF300216","DPOGS210270","A",23
"DPOGS210268","DPSCF300216","DPOGS210268","A",23
"DPOGS210269","DPSCF300216","DPOGS210269","A",23
"DPOGS200256","DPSCF300169","DPOGS200256","A",23
"DPOGS210271","DPSCF300216","DPOGS210271","A",23
"DPOGS210265","DPSCF300216","DPOGS210265","A",23
"DPOGS210304","DPSCF300305","DPOGS210304","A",22
"DPOGS210303","DPSCF300305","DPOGS210303","A",22
"DPOGS202093","DPSCF300150","DPOGS202093","A",9
"DPOGS202094","DPSCF300150","DPOGS202094","A",9
"DPOGS201818","DPSCF300145","DPOGS201818","Z_neo",1
"DPOGS201819","DPSCF300145","DPOGS201819","Z_neo",1
"DPOGS206820","DPSCF300001-1","DPOGS206820","Z_neo",1
"DPOGS200017","DPSCF300225","DPOGS200017","A",3
