"focal_gene_ID"	"num_cands_same_scaff"	"use_same_chr_instead"	"num_cands_same_chr"
"DPOGS205231"	"N/A"	"Y"	"289"
"DPOGS206562"	"N/A"	"Y"	"297"
"DPOGS215098"	"N/A"	"Y"	"289"
"DPOGS202907"	"N/A"	"Y"	"521"
"DPOGS210270"	"N/A"	"Y"	"311"
"DPOGS210271"	"N/A"	"Y"	"311"
"DPOGS202093"	"N/A"	"Y"	"643"
"DPOGS202094"	"N/A"	"Y"	"643"
