gene.id	stat_value
DPOGS200001	0.076593
DPOGS200002	0.158618
DPOGS200003	0.058998
DPOGS200005	0.155468
DPOGS200006	0.223183
DPOGS200007	0.171180
DPOGS200011	0.289904
DPOGS200012	0.081430
DPOGS200014	0.201826
DPOGS200016	0.123304
DPOGS200017	0.249590
DPOGS200036	0.142205
DPOGS200037	0.153583
DPOGS200039	0.184947
DPOGS200040	0.203513
DPOGS200043	0.601825
DPOGS200045	0.287324
DPOGS200047	0.110000
DPOGS200050	0.166772
DPOGS200051	0.163331
DPOGS200052	0.144500
DPOGS200053	0.126211
DPOGS200054	0.095137
DPOGS200055	0.118576
DPOGS200056	0.144117
DPOGS200057	0.174370
DPOGS200058	0.085102
DPOGS200059	0.094276
DPOGS200060	0.160443
DPOGS200061	0.154866
DPOGS200062	0.127541
DPOGS200063	0.147202
DPOGS200064	0.186354
DPOGS200065	0.354983
DPOGS200066	0.285154
DPOGS200067	0.105692
DPOGS200069	0.138856
DPOGS200070	0.055787
DPOGS200071	0.225693
DPOGS200072	0.150605
DPOGS200073	0.121334
DPOGS200074	0.154756
DPOGS200075	0.145866
DPOGS200076	0.142832
DPOGS200077	0.210330
DPOGS200102	0.146763
DPOGS200103	0.141943
DPOGS200104	0.134458
DPOGS200106	0.142130
DPOGS200107	0.202344
DPOGS200108	0.137881
DPOGS200109	0.201179
DPOGS200110	0.083435
DPOGS200111	0.159423
DPOGS200112	0.094436
DPOGS200113	0.131711
DPOGS200116	0.238507
DPOGS200117	0.175583
DPOGS200118	0.125991
DPOGS200119	0.574727
DPOGS200120	0.758374
DPOGS200121	0.135578
DPOGS200123	0.183323
DPOGS200124	0.140383
DPOGS200125	0.022220
DPOGS200126	0.139970
DPOGS200129	0.185097
DPOGS200133	0.115961
DPOGS200140	0.146772
DPOGS200144	0.205184
DPOGS200149	0.129408
DPOGS200153	0.237705
DPOGS200156	0.217751
DPOGS200159	0.103675
DPOGS200161	0.116630
DPOGS200163	0.129168
DPOGS200172	0.104655
DPOGS200173	0.139682
DPOGS200174	0.145850
DPOGS200180	0.128123
DPOGS200181	0.139563
DPOGS200182	0.091591
DPOGS200212	0.244000
DPOGS200219	0.331518
DPOGS200221	0.135585
DPOGS200229	0.097316
DPOGS200230	0.054815
DPOGS200235	0.055969
DPOGS200236	0.175808
DPOGS200237	0.534534
DPOGS200238	0.291533
DPOGS200240	0.206504
DPOGS200243	0.230751
DPOGS200244	0.168879
DPOGS200245	0.170589
DPOGS200246	0.191149
DPOGS200247	0.179268
DPOGS200250	0.173988
DPOGS200255	0.201443
DPOGS200256	0.298207
DPOGS200264	0.208357
DPOGS200265	0.174700
DPOGS200266	0.167277
DPOGS200267	0.144801
DPOGS200269	0.145667
DPOGS200270	0.276430
DPOGS200271	0.209668
DPOGS200272	0.147886
DPOGS200274	0.142541
DPOGS200279	0.160232
DPOGS200290	0.225283
DPOGS200291	0.165855
DPOGS200294	0.162234
DPOGS200295	0.107154
DPOGS200297	0.225655
DPOGS200298	0.236460
DPOGS200299	0.251064
DPOGS200302	0.115499
DPOGS200305	0.129527
DPOGS200306	0.168033
DPOGS200307	0.189122
DPOGS200308	0.155726
DPOGS200309	0.168661
DPOGS200312	0.173429
DPOGS200316	0.140690
DPOGS200317	0.125973
DPOGS200323	0.209165
DPOGS200330	0.156130
DPOGS200333	0.267087
