"scaffold"	"geneID"	"ZorA"	"chromosome"
"DPOGS208919"	"DPSCF300009"	"DPOGS208919"	"A"	10
"DPOGS208957"	"DPSCF300009"	"DPOGS208957"	"A"	10
"DPOGS208879"	"DPSCF300009"	"DPOGS208879"	"A"	10
"DPOGS208918"	"DPSCF300009"	"DPOGS208918"	"A"	10
"DPOGS208965"	"DPSCF300009"	"DPOGS208965"	"A"	10
"DPOGS208966"	"DPSCF300009"	"DPOGS208966"	"A"	10
"DPOGS208921"	"DPSCF300009"	"DPOGS208921"	"A"	10
"DPOGS208878"	"DPSCF300009"	"DPOGS208878"	"A"	10
"DPOGS208949"	"DPSCF300009"	"DPOGS208949"	"A"	10
"DPOGS208959"	"DPSCF300009"	"DPOGS208959"	"A"	10
"DPOGS208963"	"DPSCF300009"	"DPOGS208963"	"A"	10
"DPOGS208961"	"DPSCF300009"	"DPOGS208961"	"A"	10
"DPOGS208927"	"DPSCF300009"	"DPOGS208927"	"A"	10
"DPOGS208916"	"DPSCF300009"	"DPOGS208916"	"A"	10
"DPOGS208876"	"DPSCF300009"	"DPOGS208876"	"A"	10
"DPOGS208956"	"DPSCF300009"	"DPOGS208956"	"A"	10
"DPOGS208880"	"DPSCF300009"	"DPOGS208880"	"A"	10
"DPOGS208908"	"DPSCF300009"	"DPOGS208908"	"A"	10
"DPOGS208881"	"DPSCF300009"	"DPOGS208881"	"A"	10
"DPOGS208947"	"DPSCF300009"	"DPOGS208947"	"A"	10
"DPOGS208990"	"DPSCF300009"	"DPOGS208990"	"A"	10
"DPOGS208909"	"DPSCF300009"	"DPOGS208909"	"A"	10
"DPOGS208912"	"DPSCF300009"	"DPOGS208912"	"A"	10
"DPOGS208913"	"DPSCF300009"	"DPOGS208913"	"A"	10
"DPOGS208968"	"DPSCF300009"	"DPOGS208968"	"A"	10
"DPOGS208926"	"DPSCF300009"	"DPOGS208926"	"A"	10
"DPOGS208887"	"DPSCF300009"	"DPOGS208887"	"A"	10
"DPOGS208875"	"DPSCF300009"	"DPOGS208875"	"A"	10
"DPOGS208955"	"DPSCF300009"	"DPOGS208955"	"A"	10
"DPOGS208917"	"DPSCF300009"	"DPOGS208917"	"A"	10
"DPOGS208920"	"DPSCF300009"	"DPOGS208920"	"A"	10
"DPOGS208964"	"DPSCF300009"	"DPOGS208964"	"A"	10
"DPOGS208962"	"DPSCF300009"	"DPOGS208962"	"A"	10
"DPOGS208958"	"DPSCF300009"	"DPOGS208958"	"A"	10
"DPOGS208895"	"DPSCF300009"	"DPOGS208895"	"A"	10
"DPOGS208884"	"DPSCF300009"	"DPOGS208884"	"A"	10
"DPOGS208883"	"DPSCF300009"	"DPOGS208883"	"A"	10
"DPOGS208901"	"DPSCF300009"	"DPOGS208901"	"A"	10
"DPOGS208910"	"DPSCF300009"	"DPOGS208910"	"A"	10
"DPOGS208915"	"DPSCF300009"	"DPOGS208915"	"A"	10
"DPOGS208914"	"DPSCF300009"	"DPOGS208914"	"A"	10
"DPOGS208971"	"DPSCF300009"	"DPOGS208971"	"A"	10
"DPOGS208873"	"DPSCF300009"	"DPOGS208873"	"A"	10
"DPOGS208852"	"DPSCF300009"	"DPOGS208852"	"A"	10
"DPOGS208976"	"DPSCF300009"	"DPOGS208976"	"A"	10
"DPOGS208930"	"DPSCF300009"	"DPOGS208930"	"A"	10
"DPOGS208974"	"DPSCF300009"	"DPOGS208974"	"A"	10
