gene.id	stat_value
DPOGS204424	0.031412
DPOGS204463	0.046638
DPOGS204460	0.038959
DPOGS204423	0.042432
DPOGS204418	0.047730
DPOGS204422	0.035532
DPOGS204426	0.040203
DPOGS204421	0.038323
DPOGS204419	0.043349
DPOGS204387	0.038171
DPOGS204440	0.042552
DPOGS204433	0.036857
DPOGS204462	0.049059
DPOGS204420	0.045284
DPOGS204498	0.040925
DPOGS204493	0.030385
DPOGS204413	0.042501
DPOGS204499	0.044299
DPOGS204428	0.034003
DPOGS204414	0.035718
DPOGS204436	0.029257
DPOGS204461	0.038402
DPOGS204378	0.037258
DPOGS204393	0.037784
DPOGS204508	0.039690
DPOGS204425	0.019279
DPOGS204415	0.033228
DPOGS204465	0.031858
DPOGS204377	0.031132
DPOGS204469	0.031745
DPOGS204392	0.030563
DPOGS204458	0.030294
DPOGS204382	0.040759
DPOGS204496	0.014571
DPOGS204480	0.031074
DPOGS204376	0.033935
DPOGS204483	0.032720
DPOGS204482	0.037845
DPOGS204473	0.040863
DPOGS204470	0.044920
DPOGS204431	0.045943
DPOGS204487	0.035970
DPOGS204503	0.036065
DPOGS204474	0.041214
DPOGS204381	0.033719
DPOGS204394	0.036313
DPOGS204417	0.038422
DPOGS204456	0.033753
DPOGS204455	0.045673
DPOGS204459	0.041819
DPOGS204412	0.036409
DPOGS204497	0.041828
DPOGS204495	0.025651
DPOGS204492	0.029184
DPOGS204388	0.034777
DPOGS204379	0.025020
DPOGS204484	0.024537
DPOGS204380	0.031330
DPOGS204454	0.050891
DPOGS204427	0.022444
DPOGS204385	0.036865
DPOGS204386	0.026779
DPOGS204506	0.041637
DPOGS204432	0.042783
DPOGS204435	0.034337
DPOGS204434	0.024746
DPOGS204472	0.037055
DPOGS204486	0.025276
DPOGS204437	0.029107
DPOGS204464	0.036631
DPOGS204442	0.040869
DPOGS204501	0.021871
DPOGS204479	0.039577
DPOGS204439	0.046057
DPOGS204384	0.033243
DPOGS204416	0.032254
DPOGS204494	0.034426
DPOGS204443	0.043654
DPOGS204411	0.025529
DPOGS204391	0.045218
DPOGS204389	0.025239
DPOGS204400	0.045595
DPOGS204488	0.043971
DPOGS204429	0.039004
DPOGS204481	0.041444
DPOGS204410	0.031179
DPOGS204457	0.035886
DPOGS204478	0.026327
DPOGS204467	0.039368
DPOGS204468	0.037451
DPOGS204466	0.036770
DPOGS204430	0.033790
DPOGS204390	0.042841
DPOGS204485	0.020815
DPOGS204438	0.032704
DPOGS204399	0.041179
DPOGS204441	0.025184
DPOGS204453	0.042162
DPOGS204451	0.030675
DPOGS204507	0.034960
DPOGS204452	0.041434
DPOGS204504	0.038373
DPOGS204395	0.031831
DPOGS204502	0.034742
DPOGS204398	0.017162
DPOGS204375	0.036062
DPOGS204477	0.020536
DPOGS204446	0.027918
DPOGS204476	0.027321
DPOGS204500	0.040188
DPOGS204471	0.031655
DPOGS204505	0.041011
DPOGS204404	0.037488
DPOGS204383	0.033652
DPOGS204444	0.048118
DPOGS204409	0.035211
DPOGS204450	0.043025
DPOGS204447	0.045620
DPOGS204402	0.027244
DPOGS204401	0.035126
DPOGS204406	0.034723
DPOGS204449	0.029746
DPOGS204396	0.040571
DPOGS204475	0.047924
DPOGS204490	0.037574
DPOGS204403	0.042464
DPOGS204489	0.023466
DPOGS204491	0.037538
DPOGS204448	0.028192
DPOGS204405	0.045373
DPOGS204407	0.028139
DPOGS204445	0.035636
DPOGS204408	0.040212
DPOGS210949	0.041717
DPOGS210947	0.036872
DPOGS210946	0.016627
DPOGS210992	0.037605
DPOGS210948	0.049843
DPOGS210974	0.048169
DPOGS210959	0.038660
DPOGS210990	0.043127
DPOGS211006	0.027048
DPOGS210957	0.030853
DPOGS210960	0.030037
DPOGS211027	0.037429
DPOGS211022	0.039054
DPOGS210989	0.024100
DPOGS210991	0.058567
DPOGS210972	0.039701
DPOGS210956	0.039049
DPOGS211026	0.021192
