name	scaffold	start	end	region	length	distance	reverse	length_ok	dis_ok	main
DPOGS212093	DPSCF300038	792338	793846	DPSCF300038:792338-793846	1508	0	rc	N/A	N/A	1
DPOGS212104	DPSCF300038	600455	601349	DPSCF300038:600455-601349	894	190989	rc	Y	N	0
DPOGS212120	DPSCF300038	167692	189212	DPSCF300038:167692-189212	21520	603126	rc	N	N	0
DPOGS212161	DPSCF300038	606500	628278	DPSCF300038:606500-628278	21778	164060	f	N	N	0
DPOGS212092	DPSCF300038	967181	976113	DPSCF300038:967181-976113	8932	173335	rc	N	N	0
DPOGS212090	DPSCF300038	1010186	1011441	DPSCF300038:1010186-1011441	1255	216340	rc	Y	N	0
DPOGS212160	DPSCF300038	602092	603687	DPSCF300038:602092-603687	1595	188651	f	Y	N	0
DPOGS212102	DPSCF300038	629300	629792	DPSCF300038:629300-629792	492	162546	rc	Y	N	0
DPOGS212119	DPSCF300038	200958	201200	DPSCF300038:200958-201200	242	591138	rc	Y	N	0
DPOGS212121	DPSCF300038	160953	161942	DPSCF300038:160953-161942	989	630396	rc	Y	N	0
DPOGS212085	DPSCF300038	1174246	1179291	DPSCF300038:1174246-1179291	5045	380400	rc	N	N	0
DPOGS212100	DPSCF300038	658932	659534	DPSCF300038:658932-659534	602	132804	rc	Y	N	0
DPOGS212145	DPSCF300038	247413	258118	DPSCF300038:247413-258118	10705	534220	f	N	N	0
DPOGS212132	DPSCF300038	18623	30842	DPSCF300038:18623-30842	12219	761496	f	N	N	0
DPOGS212094	DPSCF300038	776844	788983	DPSCF300038:776844-788983	12139	3355	rc	N	Y	0
DPOGS212158	DPSCF300038	595479	595976	DPSCF300038:595479-595976	497	196362	f	Y	N	0
DPOGS212170	DPSCF300038	1004014	1008550	DPSCF300038:1004014-1008550	4536	210168	f	N	N	0
DPOGS212118	DPSCF300038	203892	205963	DPSCF300038:203892-205963	2071	586375	rc	Y	N	0
DPOGS212144	DPSCF300038	224730	232603	DPSCF300038:224730-232603	7873	559735	f	N	N	0
DPOGS212087	DPSCF300038	1053532	1057568	DPSCF300038:1053532-1057568	4036	259686	rc	N	N	0
DPOGS212114	DPSCF300038	278354	280729	DPSCF300038:278354-280729	2375	511609	rc	Y	N	0
DPOGS212101	DPSCF300038	630790	631601	DPSCF300038:630790-631601	811	160737	rc	Y	N	0
DPOGS212131	DPSCF300038	8122	14831	DPSCF300038:8122-14831	6709	777507	f	N	N	0
DPOGS212159	DPSCF300038	595990	596840	DPSCF300038:595990-596840	850	195498	f	Y	N	0
DPOGS212089	DPSCF300038	1013504	1015904	DPSCF300038:1013504-1015904	2400	219658	rc	Y	N	0
DPOGS212091	DPSCF300038	983168	1003288	DPSCF300038:983168-1003288	20120	189322	rc	N	N	0
DPOGS212082	DPSCF300038	1235113	1245086	DPSCF300038:1235113-1245086	9973	441267	rc	N	N	0
DPOGS212124	DPSCF300038	104328	109294	DPSCF300038:104328-109294	4966	683044	rc	N	N	0
DPOGS212157	DPSCF300038	584898	589737	DPSCF300038:584898-589737	4839	202601	f	N	N	0
DPOGS212129	DPSCF300038	66732	69414	DPSCF300038:66732-69414	2682	722924	rc	Y	N	0
DPOGS212169	DPSCF300038	795239	796231	DPSCF300038:795239-796231	992	1393	f	Y	Y	0
DPOGS212143	DPSCF300038	217477	219136	DPSCF300038:217477-219136	1659	573202	f	Y	N	0
DPOGS212088	DPSCF300038	1021715	1026442	DPSCF300038:1021715-1026442	4727	227869	rc	N	N	0
DPOGS212117	DPSCF300038	206843	208528	DPSCF300038:206843-208528	1685	583810	rc	Y	N	0
DPOGS212172	DPSCF300038	1038422	1047181	DPSCF300038:1038422-1047181	8759	244576	f	N	N	0
DPOGS212162	DPSCF300038	632871	679092	DPSCF300038:632871-679092	46221	113246	f	N	N	0
DPOGS212123	DPSCF300038	115787	117817	DPSCF300038:115787-117817	2030	674521	rc	Y	N	0
DPOGS212165	DPSCF300038	700219	702512	DPSCF300038:700219-702512	2293	89826	f	Y	N	0
DPOGS212182	DPSCF300038	1226146	1272286	DPSCF300038:1226146-1272286	46140	432300	f	N	N	0
DPOGS212141	DPSCF300038	209328	213312	DPSCF300038:209328-213312	3984	579026	f	N	N	0
DPOGS212116	DPSCF300038	231025	233061	DPSCF300038:231025-233061	2036	559277	rc	Y	N	0
DPOGS212086	DPSCF300038	1073194	1076376	DPSCF300038:1073194-1076376	3182	279348	rc	N	N	0
DPOGS212171	DPSCF300038	1016756	1020631	DPSCF300038:1016756-1020631	3875	222910	f	N	N	0
DPOGS212156	DPSCF300038	580892	584807	DPSCF300038:580892-584807	3915	207531	f	N	N	0
DPOGS212167	DPSCF300038	759542	772219	DPSCF300038:759542-772219	12677	20119	f	N	Y	0
DPOGS212139	DPSCF300038	146538	159177	DPSCF300038:146538-159177	12639	633161	f	N	N	0
DPOGS212176	DPSCF300038	1087560	1094619	DPSCF300038:1087560-1094619	7059	293714	f	N	N	0
DPOGS212125	DPSCF300038	99581	102344	DPSCF300038:99581-102344	2763	689994	rc	Y	N	0
DPOGS212095	DPSCF300038	732919	735115	DPSCF300038:732919-735115	2196	57223	rc	Y	N	0
DPOGS212108	DPSCF300038	494078	506618	DPSCF300038:494078-506618	12540	285720	rc	N	N	0
DPOGS212115	DPSCF300038	274470	276040	DPSCF300038:274470-276040	1570	516298	rc	Y	N	0
DPOGS212113	DPSCF300038	280902	293335	DPSCF300038:280902-293335	12433	499003	rc	N	N	0
DPOGS212151	DPSCF300038	555801	560393	DPSCF300038:555801-560393	4592	231945	f	N	N	0
DPOGS212130	DPSCF300038	198	7346	DPSCF300038:198-7346	7148	784992	rc	N	N	0
DPOGS212178	DPSCF300038	1128518	1130129	DPSCF300038:1128518-1130129	1611	334672	f	Y	N	0
DPOGS212137	DPSCF300038	120458	123064	DPSCF300038:120458-123064	2606	669274	f	Y	N	0
DPOGS212168	DPSCF300038	791374	791915	DPSCF300038:791374-791915	541	423	f	Y	Y	0
DPOGS212142	DPSCF300038	214789	215861	DPSCF300038:214789-215861	1072	576477	f	Y	N	0
DPOGS212127	DPSCF300038	77045	78409	DPSCF300038:77045-78409	1364	713929	rc	Y	N	0
DPOGS212163	DPSCF300038	679352	688994	DPSCF300038:679352-688994	9642	103344	f	N	N	0
DPOGS212173	DPSCF300038	1051049	1052319	DPSCF300038:1051049-1052319	1270	257203	f	Y	N	0
DPOGS212155	DPSCF300038	578948	579794	DPSCF300038:578948-579794	846	212544	f	Y	N	0
DPOGS212103	DPSCF300038	603909	605312	DPSCF300038:603909-605312	1403	187026	rc	Y	N	0
DPOGS212166	DPSCF300038	716323	718147	DPSCF300038:716323-718147	1824	74191	f	Y	N	0
DPOGS212099	DPSCF300038	705537	711554	DPSCF300038:705537-711554	6017	80784	rc	N	N	0
DPOGS212138	DPSCF300038	127146	127497	DPSCF300038:127146-127497	351	664841	f	Y	N	0
DPOGS212126	DPSCF300038	81713	85690	DPSCF300038:81713-85690	3977	706648	rc	N	N	0
DPOGS212136	DPSCF300038	119005	119709	DPSCF300038:119005-119709	704	672629	f	Y	N	0
DPOGS212134	DPSCF300038	47682	63426	DPSCF300038:47682-63426	15744	728912	f	N	N	0
DPOGS212083	DPSCF300038	1198396	1207328	DPSCF300038:1198396-1207328	8932	404550	rc	N	N	0
DPOGS212140	DPSCF300038	202125	202869	DPSCF300038:202125-202869	744	589469	f	Y	N	0
DPOGS212112	DPSCF300038	307611	309562	DPSCF300038:307611-309562	1951	482776	rc	Y	N	0
DPOGS212181	DPSCF300038	1188977	1202966	DPSCF300038:1188977-1202966	13989	395131	f	N	N	0
DPOGS212152	DPSCF300038	561774	566915	DPSCF300038:561774-566915	5141	225423	f	N	N	0
DPOGS212110	DPSCF300038	398865	400900	DPSCF300038:398865-400900	2035	391438	rc	Y	N	0
DPOGS212122	DPSCF300038	122754	125645	DPSCF300038:122754-125645	2891	666693	rc	Y	N	0
DPOGS212084	DPSCF300038	1181075	1188434	DPSCF300038:1181075-1188434	7359	387229	rc	N	N	0
DPOGS212106	DPSCF300038	574700	578277	DPSCF300038:574700-578277	3577	214061	rc	N	N	0
DPOGS212180	DPSCF300038	1163683	1174007	DPSCF300038:1163683-1174007	10324	369837	f	N	N	0
DPOGS212153	DPSCF300038	570099	570596	DPSCF300038:570099-570596	497	221742	f	Y	N	0
DPOGS212150	DPSCF300038	554461	555253	DPSCF300038:554461-555253	792	237085	f	Y	N	0
DPOGS212154	DPSCF300038	572889	573947	DPSCF300038:572889-573947	1058	218391	f	Y	N	0
DPOGS212177	DPSCF300038	1097299	1098773	DPSCF300038:1097299-1098773	1474	303453	f	Y	N	0
DPOGS212175	DPSCF300038	1083973	1087334	DPSCF300038:1083973-1087334	3361	290127	f	N	N	0
DPOGS212135	DPSCF300038	89313	98594	DPSCF300038:89313-98594	9281	693744	f	N	N	0
DPOGS212098	DPSCF300038	720325	722463	DPSCF300038:720325-722463	2138	69875	rc	Y	N	0
DPOGS212164	DPSCF300038	692423	695290	DPSCF300038:692423-695290	2867	97048	f	Y	N	0
DPOGS212149	DPSCF300038	509475	521219	DPSCF300038:509475-521219	11744	271119	f	N	N	0
DPOGS212146	DPSCF300038	260040	261417	DPSCF300038:260040-261417	1377	530921	f	Y	N	0
DPOGS212096	DPSCF300038	726497	727082	DPSCF300038:726497-727082	585	65256	rc	Y	N	0
DPOGS212109	DPSCF300038	406956	428112	DPSCF300038:406956-428112	21156	364226	rc	N	N	0
DPOGS212111	DPSCF300038	391275	396127	DPSCF300038:391275-396127	4852	396211	rc	N	N	0
DPOGS212179	DPSCF300038	1144750	1154626	DPSCF300038:1144750-1154626	9876	350904	f	N	N	0
DPOGS212105	DPSCF300038	597016	599837	DPSCF300038:597016-599837	2821	192501	rc	Y	N	0
DPOGS212174	DPSCF300038	1068126	1068732	DPSCF300038:1068126-1068732	606	274280	f	Y	N	0
DPOGS212097	DPSCF300038	723873	724358	DPSCF300038:723873-724358	485	67980	rc	Y	N	0
DPOGS212107	DPSCF300038	571269	572345	DPSCF300038:571269-572345	1076	219993	rc	Y	N	0
DPOGS212148	DPSCF300038	271384	273325	DPSCF300038:271384-273325	1941	519013	f	Y	N	0
DPOGS212147	DPSCF300038	262924	269707	DPSCF300038:262924-269707	6783	522631	f	N	N	0
DPOGS212133	DPSCF300038	36180	38989	DPSCF300038:36180-38989	2809	753349	f	Y	N	0
