gene.id	stat_value
DPOGS204424	1.885921
DPOGS204463	1.546639
DPOGS204460	-0.375175
DPOGS204423	0.450399
DPOGS204418	-0.747487
DPOGS204422	1.563389
DPOGS204426	-0.429963
DPOGS204421	-0.306994
DPOGS204419	-0.701505
DPOGS204387	-0.117160
DPOGS204440	-1.498728
DPOGS204433	1.718237
DPOGS204462	-0.250153
DPOGS204420	-0.383334
DPOGS204498	-0.266422
DPOGS204493	1.829899
DPOGS204413	-1.649996
DPOGS204499	-1.299105
DPOGS204428	0.829156
DPOGS204414	-0.226784
DPOGS204436	-0.751529
DPOGS204461	0.837953
DPOGS204378	1.311352
DPOGS204393	-1.555553
DPOGS204508	-0.893289
DPOGS204425	-1.461377
DPOGS204415	1.094840
DPOGS204465	-0.274852
DPOGS204377	-1.295311
DPOGS204469	-1.464681
DPOGS204392	-0.083487
DPOGS204458	0.711308
DPOGS204382	0.530633
DPOGS204496	-1.081998
DPOGS204480	-0.314832
DPOGS204376	2.564907
DPOGS204483	-0.296642
DPOGS204482	-0.824681
DPOGS204473	1.475830
DPOGS204470	0.866516
DPOGS204431	-0.332941
DPOGS204487	0.208410
DPOGS204503	-1.405938
DPOGS204474	1.323507
DPOGS204381	1.545489
DPOGS204394	0.215939
DPOGS204417	-0.297201
DPOGS204456	-0.974141
DPOGS204455	0.283276
DPOGS204459	-1.293807
DPOGS204412	1.278011
DPOGS204497	-0.089561
DPOGS204495	1.353460
DPOGS204492	-0.299069
DPOGS204388	-0.936607
DPOGS204379	0.656911
DPOGS204484	1.150861
DPOGS204380	-0.351094
DPOGS204454	1.964867
DPOGS204427	-0.078881
DPOGS204385	1.064794
DPOGS204386	-0.960708
DPOGS204506	0.577239
DPOGS204432	0.607475
DPOGS204435	0.824880
DPOGS204434	-0.090563
DPOGS204472	1.471645
DPOGS204486	-0.339269
DPOGS204437	0.769761
DPOGS204464	-0.304202
DPOGS204442	-0.112419
DPOGS204501	-0.095956
DPOGS204479	-1.510454
DPOGS204439	0.106032
DPOGS204384	-0.976609
DPOGS204416	-0.447482
DPOGS204494	-0.411945
DPOGS204443	-1.878041
DPOGS204411	0.314098
DPOGS204391	-0.922432
DPOGS204389	-0.294260
DPOGS204400	-1.422254
DPOGS204488	2.257522
DPOGS204429	-1.501604
DPOGS204481	1.167758
DPOGS204410	-1.165995
DPOGS204457	0.056751
DPOGS204478	0.647284
DPOGS204467	-0.376474
DPOGS204468	-1.948587
DPOGS204466	-0.583839
DPOGS204430	-0.220054
DPOGS204390	-1.175481
