gene.id	stat_value
DPOGS200001	2.278880
DPOGS200002	1.001791
DPOGS200003	-1.203865
DPOGS200005	0.352005
DPOGS200006	0.622744
DPOGS200007	2.108928
DPOGS200011	0.485671
DPOGS200012	1.699575
DPOGS200014	1.190323
DPOGS200016	1.443237
DPOGS200017	-0.204651
DPOGS200036	1.233022
DPOGS200037	0.555864
DPOGS200039	1.391327
DPOGS200040	1.946122
DPOGS200043	-0.591254
DPOGS200045	1.161526
DPOGS200047	0.915900
DPOGS200050	0.350149
DPOGS200051	1.429860
DPOGS200052	1.927430
DPOGS200053	1.323326
DPOGS200054	1.038869
DPOGS200055	1.099668
DPOGS200056	1.325787
DPOGS200057	1.585975
DPOGS200058	1.749847
DPOGS200059	1.065572
DPOGS200060	1.694293
DPOGS200061	1.296323
DPOGS200062	0.794414
DPOGS200063	0.749737
DPOGS200064	0.298244
DPOGS200065	0.979893
DPOGS200066	-0.597341
DPOGS200067	1.308997
DPOGS200069	0.746880
DPOGS200070	1.919424
DPOGS200071	1.143955
DPOGS200072	1.302037
DPOGS200073	2.177709
DPOGS200074	1.302718
DPOGS200075	1.924441
DPOGS200076	0.842368
DPOGS200077	0.689348
DPOGS200102	2.147963
DPOGS200103	2.260874
DPOGS200104	-0.272754
DPOGS200106	1.989599
DPOGS200107	1.924330
DPOGS200108	2.565591
DPOGS200109	0.951879
DPOGS200110	1.537318
DPOGS200111	1.017436
DPOGS200112	0.938933
DPOGS200113	1.237972
DPOGS200116	-0.392577
DPOGS200117	1.615904
DPOGS200118	0.424608
DPOGS200119	1.936518
DPOGS200120	0.283703
DPOGS200121	1.102434
DPOGS200123	1.687340
DPOGS200124	2.441575
DPOGS200125	-0.275778
DPOGS200126	0.653237
DPOGS200129	1.721314
DPOGS200133	0.804164
DPOGS200140	0.879706
DPOGS200144	1.634121
DPOGS200149	1.358634
DPOGS200153	1.277198
DPOGS200156	0.591489
DPOGS200159	0.775825
DPOGS200161	0.798342
DPOGS200163	1.619239
DPOGS200172	1.906880
DPOGS200173	1.369000
DPOGS200174	2.015745
DPOGS200180	0.948355
DPOGS200181	0.481774
DPOGS200182	0.544133
