gene.id	total_sites	non-NA_sites
DPOGS204424	204	204
DPOGS204463	994	994
DPOGS204460	741	741
DPOGS204423	1238	1238
DPOGS204418	605	605
DPOGS204422	501	501
DPOGS204426	399	399
DPOGS204421	217	217
DPOGS204419	151	151
DPOGS204387	338	338
DPOGS204440	913	913
DPOGS204433	1069	1069
DPOGS204462	121	121
DPOGS204420	924	924
DPOGS204498	472	472
DPOGS204493	256	256
DPOGS204413	2541	2541
DPOGS204499	440	440
DPOGS204428	431	431
DPOGS204414	1153	1153
DPOGS204436	150	150
DPOGS204461	902	902
DPOGS204378	617	617
DPOGS204393	522	522
DPOGS204508	594	594
DPOGS204425	103	103
DPOGS204415	736	736
DPOGS204465	249	249
DPOGS204377	711	711
DPOGS204469	214	214
DPOGS204392	446	446
DPOGS204458	1696	1696
DPOGS204382	1110	1110
DPOGS204496	359	359
DPOGS204480	1175	1175
DPOGS204376	459	459
DPOGS204483	770	770
DPOGS204482	1181	1181
DPOGS204473	297	297
DPOGS204470	3614	3614
DPOGS204431	852	852
DPOGS204487	898	898
DPOGS204503	1127	1127
DPOGS204474	181	181
DPOGS204381	1987	1987
DPOGS204394	250	250
DPOGS204417	190	190
DPOGS204456	913	913
DPOGS204455	823	823
DPOGS204459	722	722
DPOGS204412	1033	1033
DPOGS204497	1654	1654
DPOGS204495	535	535
DPOGS204492	422	422
DPOGS204388	1009	1009
DPOGS204379	464	464
DPOGS204484	176	176
DPOGS204380	469	469
DPOGS204454	258	258
DPOGS204427	455	455
DPOGS204385	1373	1373
DPOGS204386	819	819
DPOGS204506	374	374
DPOGS204432	4292	4292
DPOGS204435	779	779
DPOGS204434	247	247
DPOGS204472	904	904
DPOGS204486	189	189
DPOGS204437	730	730
DPOGS204464	267	267
DPOGS204442	208	208
DPOGS204501	299	299
DPOGS204479	1067	1067
DPOGS204439	152	152
DPOGS204384	1162	1162
DPOGS204416	533	533
DPOGS204494	1844	1844
DPOGS204443	1109	1109
DPOGS204411	1029	1029
DPOGS204391	2584	2584
DPOGS204389	744	744
DPOGS204400	723	723
DPOGS204488	346	346
DPOGS204429	810	810
