gene.id	total_sites	non-NA_sites
DPOGS200001	1429	1429
DPOGS200002	5203	5203
DPOGS200003	393	393
DPOGS200005	8705	8705
DPOGS200006	10978	10978
DPOGS200007	6068	6068
DPOGS200011	2985	2985
DPOGS200012	147	147
DPOGS200014	5284	5284
DPOGS200016	7691	7691
DPOGS200017	5082	5082
DPOGS200036	1840	1840
DPOGS200037	2109	2109
DPOGS200039	2626	2626
DPOGS200040	1082	1082
DPOGS200043	789	789
DPOGS200045	321	321
DPOGS200047	2002	2002
DPOGS200050	747	747
DPOGS200051	9936	9936
DPOGS200052	4090	4090
DPOGS200053	1586	1586
DPOGS200054	4725	4725
DPOGS200055	4532	4532
DPOGS200056	12425	12425
DPOGS200057	8914	8914
DPOGS200058	2568	2568
DPOGS200059	822	822
DPOGS200060	3693	3693
DPOGS200061	1455	1455
DPOGS200062	3431	3431
DPOGS200063	825	825
DPOGS200064	2010	2010
DPOGS200065	276	276
DPOGS200066	16145	16145
DPOGS200067	5715	5715
DPOGS200069	6819	6819
DPOGS200070	550	550
DPOGS200071	10186	10186
DPOGS200072	627	627
DPOGS200073	325	325
DPOGS200074	5013	5013
DPOGS200075	10167	10167
DPOGS200076	555	555
DPOGS200077	11624	11624
DPOGS200102	10168	10168
DPOGS200103	15406	15406
DPOGS200104	126	126
DPOGS200106	347	347
DPOGS200107	651	651
DPOGS200108	3717	3717
DPOGS200109	527	527
DPOGS200110	703	703
DPOGS200111	3524	3524
DPOGS200112	2050	2050
DPOGS200113	859	859
DPOGS200116	4423	4423
DPOGS200117	12411	12411
DPOGS200118	1484	1484
DPOGS200119	944	944
DPOGS200120	944	944
DPOGS200121	1492	1492
DPOGS200123	5207	5207
DPOGS200124	1362	1362
DPOGS200125	261	261
DPOGS200126	919	919
DPOGS200129	562	562
DPOGS200133	8286	8286
DPOGS200140	9431	9431
DPOGS200144	26542	26542
DPOGS200149	8879	8879
DPOGS200153	8072	8072
DPOGS200156	17502	17502
DPOGS200159	14553	14553
DPOGS200161	8509	8509
DPOGS200163	7518	7518
DPOGS200172	9328	9328
DPOGS200173	12246	12246
DPOGS200174	13410	13410
DPOGS200180	12873	12873
DPOGS200181	9729	9729
DPOGS200182	13632	13632
DPOGS200212	1915	1915
DPOGS200219	1941	1941
DPOGS200221	4726	4726
DPOGS200229	309	309
DPOGS200230	800	800
DPOGS200235	795	795
DPOGS200236	1052	1052
DPOGS200237	1630	1630
DPOGS200238	1901	1901
DPOGS200240	1919	1919
DPOGS200243	1357	1357
DPOGS200244	1789	1789
DPOGS200245	1053	1053
DPOGS200246	1617	1617
DPOGS200247	771	771
DPOGS200250	1171	1171
DPOGS200255	1296	1296
DPOGS200256	429	429
DPOGS200264	4670	4670
DPOGS200265	4037	4037
DPOGS200266	4200	4200
DPOGS200267	2247	2247
DPOGS200269	2119	2119
DPOGS200270	1512	1512
DPOGS200271	1511	1511
DPOGS200272	2086	2086
DPOGS200274	2273	2273
DPOGS200279	2666	2666
DPOGS200290	3388	3388
DPOGS200291	1607	1607
DPOGS200294	1885	1885
DPOGS200295	3060	3060
DPOGS200297	2166	2166
DPOGS200298	2106	2106
DPOGS200299	3534	3534
DPOGS200302	1979	1979
DPOGS200305	2745	2745
DPOGS200306	1854	1854
DPOGS200307	2023	2023
DPOGS200308	4547	4547
DPOGS200309	1683	1683
DPOGS200312	1448	1448
DPOGS200316	1782	1782
DPOGS200317	3788	3788
DPOGS200323	2162	2162
DPOGS200330	2336	2336
DPOGS200333	1561	1561
DPOGS200337	5811	5811
DPOGS200342	1695	1695
DPOGS200344	1521	1521
DPOGS200345	1097	1097
DPOGS200346	2205	2205
DPOGS200347	1493	1493
DPOGS200349	2961	2961
DPOGS200352	3608	3608
DPOGS200355	1843	1843
DPOGS200356	4486	4486
DPOGS200358	4338	4338
DPOGS200360	1578	1578
DPOGS200362	2893	2893
DPOGS200363	1559	1559
DPOGS200364	1893	1893
DPOGS200366	3075	3075
DPOGS200367	2879	2879
DPOGS200368	1881	1881
DPOGS200369	2888	2888
DPOGS200371	1348	1348
DPOGS200372	2803	2803
DPOGS200373	4151	4151
DPOGS200381	3071	3071
DPOGS200382	2535	2535
DPOGS200383	4790	4790
DPOGS200385	4742	4742
DPOGS200386	640	640
DPOGS200394	3388	3388
DPOGS200395	334	334
DPOGS200396	330	330
DPOGS200397	8103	8103
DPOGS200398	2031	2031
DPOGS200399	13604	13604
DPOGS200403	12058	12058
DPOGS200409	9995	9995
DPOGS200412	9751	9751
