gene.id	stat_value
DPOGS200001	0.041515
DPOGS200002	0.049770
DPOGS200005	0.035083
DPOGS200006	0.041664
DPOGS200007	0.037367
DPOGS200011	0.036564
DPOGS200012	0.024067
DPOGS200014	0.038588
DPOGS200016	0.024825
DPOGS200017	0.031134
DPOGS200036	0.051533
DPOGS200037	0.050537
DPOGS200039	0.045028
DPOGS200040	0.045494
DPOGS200043	0.060764
DPOGS200045	0.017598
DPOGS200047	0.058781
DPOGS200050	0.060880
DPOGS200051	0.040505
DPOGS200053	0.033656
DPOGS200055	0.038068
DPOGS200057	0.028541
DPOGS200058	0.019045
DPOGS200059	0.030422
DPOGS200060	0.037907
DPOGS200061	0.040559
DPOGS200062	0.015458
DPOGS200064	0.030493
DPOGS200065	0.086031
DPOGS200066	0.048684
DPOGS200067	0.033602
DPOGS200069	0.025953
DPOGS200070	0.052210
DPOGS200071	0.031920
DPOGS200073	0.057764
DPOGS200074	0.020101
DPOGS200075	0.032400
DPOGS200076	0.031495
DPOGS200077	0.046053
DPOGS200102	0.044159
DPOGS200103	0.022033
DPOGS200106	0.008538
DPOGS200107	0.028989
DPOGS200108	0.027724
DPOGS200109	0.023706
DPOGS200110	0.056938
DPOGS200111	0.043294
DPOGS200112	0.037696
DPOGS200113	0.046238
DPOGS200116	0.027316
DPOGS200117	0.037705
DPOGS200118	0.041797
DPOGS200121	0.020268
DPOGS200123	0.031889
DPOGS200124	0.036398
DPOGS200126	0.041870
DPOGS200129	0.042988
DPOGS200133	0.051758
DPOGS200140	0.029034
DPOGS200144	0.040789
DPOGS200149	0.033435
DPOGS200153	0.031457
DPOGS200156	0.028407
DPOGS200159	0.027533
DPOGS200161	0.035896
DPOGS200163	0.032241
DPOGS200172	0.041490
DPOGS200173	0.030870
DPOGS200174	0.030864
DPOGS200180	0.034420
DPOGS200181	0.041935
DPOGS200182	0.037427
DPOGS200212	0.042578
DPOGS200219	0.028363
DPOGS200229	0.006734
DPOGS200230	0.069687
DPOGS200235	0.023468
DPOGS200236	0.041106
DPOGS200237	0.034716
DPOGS200238	0.027560
DPOGS200240	0.028377
DPOGS200243	0.029466
DPOGS200244	0.049982
DPOGS200245	0.078805
DPOGS200246	0.012347
DPOGS200247	0.032359
DPOGS200250	0.028293
DPOGS200255	0.025167
DPOGS200256	0.047348
DPOGS200264	0.034164
DPOGS200265	0.037090
DPOGS200266	0.034172
