gene.id	total_sites	non-NA_sites
DPOGS200001	1429	1429
DPOGS200002	5208	5208
DPOGS200003	393	393
DPOGS200005	8675	8675
DPOGS200006	10982	10982
DPOGS200007	6144	6144
DPOGS200011	3052	3052
DPOGS200012	147	147
DPOGS200014	5303	5303
DPOGS200016	7691	7691
DPOGS200017	5086	5086
DPOGS200036	1840	1840
DPOGS200037	2109	2109
DPOGS200039	2640	2640
DPOGS200040	1082	1082
DPOGS200043	789	789
DPOGS200045	321	321
DPOGS200047	2002	2002
DPOGS200050	747	747
DPOGS200051	10014	10014
DPOGS200052	4092	4092
DPOGS200053	1584	1584
DPOGS200054	4725	4725
DPOGS200055	4532	4532
DPOGS200056	12428	12428
DPOGS200057	8915	8915
DPOGS200058	2570	2570
DPOGS200059	822	822
DPOGS200060	3695	3695
DPOGS200061	1455	1455
DPOGS200062	3431	3431
DPOGS200063	825	825
DPOGS200064	2010	2010
DPOGS200065	276	276
DPOGS200066	16145	16145
DPOGS200067	5706	5706
DPOGS200069	6818	6818
DPOGS200070	550	550
DPOGS200071	10197	10197
DPOGS200072	627	627
DPOGS200073	233	233
DPOGS200074	5015	5015
DPOGS200075	10192	10192
DPOGS200076	555	555
DPOGS200077	11632	11632
DPOGS200102	10167	10167
DPOGS200103	15386	15386
DPOGS200104	126	126
DPOGS200106	347	347
DPOGS200107	651	651
DPOGS200108	3717	3717
DPOGS200109	527	527
DPOGS200110	703	703
DPOGS200111	3622	3622
DPOGS200112	2059	2059
DPOGS200113	859	859
DPOGS200116	4425	4425
DPOGS200117	12410	12410
DPOGS200118	1484	1484
DPOGS200119	944	944
DPOGS200120	944	944
DPOGS200121	1493	1493
DPOGS200123	5210	5210
DPOGS200124	1362	1362
DPOGS200125	261	261
DPOGS200126	919	919
DPOGS200129	562	562
DPOGS200133	8286	8286
DPOGS200140	9433	9433
DPOGS200144	26643	26643
DPOGS200149	8878	8878
DPOGS200153	8068	8068
DPOGS200156	17516	17516
DPOGS200159	14603	14603
DPOGS200161	8509	8509
DPOGS200163	7559	7559
DPOGS200172	9266	9266
DPOGS200173	12273	12273
DPOGS200174	13392	13392
DPOGS200180	12852	12852
DPOGS200181	9751	9751
DPOGS200182	13638	13638
DPOGS200212	1915	1915
DPOGS200219	1941	1941
DPOGS200221	4726	4726
DPOGS200229	309	309
DPOGS200230	800	800
DPOGS200235	795	795
DPOGS200236	1052	1052
DPOGS200237	1643	1643
DPOGS200238	1901	1901
DPOGS200240	1919	1919
DPOGS200243	1358	1358
DPOGS200244	1789	1789
DPOGS200245	1053	1053
DPOGS200246	1617	1617
DPOGS200247	771	771
DPOGS200250	1171	1171
DPOGS200255	1295	1295
DPOGS200256	429	429
DPOGS200264	4670	4670
DPOGS200265	4037	4037
DPOGS200266	3436	3436
DPOGS200267	2247	2247
DPOGS200269	2118	2118
DPOGS200270	1512	1512
DPOGS200271	1511	1511
DPOGS200272	2086	2086
DPOGS200274	2273	2273
DPOGS200279	2666	2666
DPOGS200290	3475	3475
DPOGS200291	1595	1595
DPOGS200294	1894	1894
DPOGS200295	3060	3060
DPOGS200297	2166	2166
DPOGS200298	2106	2106
DPOGS200299	3534	3534
DPOGS200302	1979	1979
DPOGS200305	2745	2745
DPOGS200306	1854	1854
DPOGS200307	2023	2023
DPOGS200308	4547	4547
DPOGS200309	1683	1683
DPOGS200312	1448	1448
DPOGS200316	1782	1782
DPOGS200317	3788	3788
DPOGS200323	2163	2163
DPOGS200330	2337	2337
DPOGS200333	1561	1561
DPOGS200337	5811	5811
DPOGS200342	1695	1695
DPOGS200344	1521	1521
DPOGS200345	1097	1097
DPOGS200346	2205	2205
DPOGS200347	1493	1493
DPOGS200349	2961	2961
DPOGS200352	3602	3602
DPOGS200355	1843	1843
DPOGS200356	4483	4483
DPOGS200358	4336	4336
DPOGS200360	1575	1575
DPOGS200362	2893	2893
DPOGS200363	1559	1559
DPOGS200364	1893	1893
DPOGS200366	3063	3063
DPOGS200367	2879	2879
DPOGS200368	1881	1881
DPOGS200369	2888	2888
DPOGS200371	1379	1379
DPOGS200372	2803	2803
DPOGS200373	4153	4153
DPOGS200381	3071	3071
DPOGS200382	2535	2535
DPOGS200383	4787	4787
DPOGS200385	4742	4742
DPOGS200386	612	612
DPOGS200394	3388	3388
DPOGS200395	334	334
DPOGS200396	330	330
DPOGS200397	8105	8105
DPOGS200398	2031	2031
DPOGS200399	13456	13456
DPOGS200403	12052	12052
DPOGS200409	9995	9995
DPOGS200412	9753	9753
DPOGS200417	6768	6768
DPOGS200421	12665	12665
DPOGS200422	10256	10256
DPOGS200427	7549	7549
DPOGS200429	9553	9553
DPOGS200437	8367	8367
DPOGS200439	6686	6686
DPOGS200445	13693	13693
DPOGS200446	7936	7936
DPOGS200447	7636	7636
DPOGS200448	3139	3139
DPOGS200450	6619	6619
DPOGS200452	5786	5786
DPOGS200454	6598	6598
DPOGS200460	2101	2101
DPOGS200463	4463	4463
DPOGS200466	4951	4951
DPOGS200467	4113	4113
DPOGS200468	4637	4637
DPOGS200469	3217	3217
DPOGS200471	3926	3926
DPOGS200472	1235	1235
DPOGS200473	1213	1213
DPOGS200474	1799	1799
DPOGS200499	5336	5336
DPOGS200519	1762	1762
DPOGS200520	2855	2855
DPOGS200575	589	589
DPOGS200579	209	209
DPOGS200663	204	204
DPOGS200664	774	774
DPOGS200665	288	288
DPOGS200666	3499	3499
DPOGS200667	150	150
DPOGS200668	1171	1171
DPOGS200693	946	946
DPOGS200698	8694	8694
DPOGS200699	4506	4506
DPOGS200706	120	120
DPOGS200762	992	992
DPOGS200763	8104	8104
DPOGS200764	7215	7215
DPOGS200765	4229	4229
DPOGS200766	447	447
DPOGS200769	1602	1602
DPOGS200770	1223	1223
DPOGS200771	7602	7602
DPOGS200772	3178	3178
DPOGS200773	2667	2667
DPOGS200793	1464	1464
DPOGS200796	269	269
DPOGS200800	337	337
DPOGS200801	315	315
DPOGS200815	183	183
DPOGS200879	1210	1210
DPOGS200880	306	306
DPOGS200881	439	439
DPOGS200883	10976	10976
DPOGS200884	1231	1231
DPOGS200885	823	823
DPOGS200886	3443	3443
DPOGS200946	4999	4999
DPOGS200949	4605	4605
DPOGS200950	2220	2220
DPOGS200951	5645	5645
DPOGS200953	4646	4646
DPOGS200962	2499	2499
DPOGS200964	180	180
DPOGS200972	4978	4978
DPOGS200973	2022	2022
DPOGS200974	1326	1326
DPOGS200976	5273	5273
DPOGS200977	3088	3088
DPOGS200984	4532	4532
DPOGS200986	1620	1620
DPOGS200987	3297	3297
DPOGS200988	4547	4547
DPOGS200989	3119	3119
DPOGS200992	2409	2409
DPOGS200994	2821	2821
DPOGS200995	5767	5767
DPOGS200996	1757	1757
DPOGS200997	2079	2079
DPOGS200998	1512	1512
DPOGS201008	3010	3010
DPOGS201010	3813	3813
DPOGS201014	2013	2013
DPOGS201015	2125	2125
DPOGS201020	3271	3271
DPOGS201026	5091	5091
DPOGS201053	13269	13269
DPOGS201099	455	455
DPOGS201128	534	534
DPOGS201210	5920	5920
DPOGS201214	252	252
DPOGS201215	979	979
DPOGS201217	687	687
DPOGS201218	207	207
DPOGS201219	942	942
DPOGS201267	78	78
DPOGS201268	90	90
DPOGS201272	1298	1298
DPOGS201274	456	456
DPOGS201405	456	456
DPOGS201406	770	770
DPOGS201407	529	529
DPOGS201409	978	978
DPOGS201410	968	968
DPOGS201411	1423	1423
DPOGS201412	918	918
DPOGS201414	454	454
DPOGS201416	1395	1395
DPOGS201420	1296	1296
DPOGS201426	1856	1856
DPOGS201428	1404	1404
DPOGS201429	1072	1072
DPOGS201430	1206	1206
DPOGS201432	1109	1109
DPOGS201433	1109	1109
DPOGS201434	417	417
DPOGS201435	1011	1011
DPOGS201436	777	777
DPOGS201437	777	777
DPOGS201440	1290	1290
DPOGS201442	489	489
DPOGS201443	669	669
DPOGS201444	874	874
DPOGS201453	1745	1745
DPOGS201455	162	162
DPOGS201456	555	555
DPOGS201469	1778	1778
DPOGS201472	1691	1691
DPOGS201476	961	961
DPOGS201477	1688	1688
DPOGS201482	1155	1155
DPOGS201487	222	222
DPOGS201488	1463	1463
DPOGS201491	1415	1415
DPOGS201503	923	923
DPOGS201505	583	583
DPOGS201508	708	708
DPOGS201510	1341	1341
DPOGS201511	1190	1190
DPOGS201512	1847	1847
DPOGS201513	1856	1856
DPOGS201523	1523	1523
DPOGS201530	571	571
DPOGS201539	1647	1647
DPOGS201542	418	418
DPOGS201548	538	538
DPOGS201576	465	465
DPOGS201580	1087	1087
DPOGS201582	30317	30317
DPOGS201584	3054	3054
DPOGS201586	1216	1216
DPOGS201588	1753	1753
DPOGS201589	9903	9903
DPOGS201590	1794	1794
DPOGS201591	1080	1080
DPOGS201594	3843	3843
DPOGS201595	12802	12802
DPOGS201596	1330	1330
DPOGS201597	13292	13292
DPOGS201599	1836	1836
DPOGS201600	10046	10046
DPOGS201601	12820	12820
DPOGS201603	2987	2987
DPOGS201604	1592	1592
DPOGS201605	35122	35122
DPOGS201606	1167	1167
DPOGS201609	1707	1707
DPOGS201612	3749	3749
DPOGS201613	1744	1744
DPOGS201614	2511	2511
DPOGS201618	15365	15365
DPOGS201628	6560	6560
DPOGS201629	192	192
DPOGS201630	10521	10521
DPOGS201632	1722	1722
DPOGS201634	1521	1521
DPOGS201635	768	768
DPOGS201636	1178	1178
DPOGS201660	3860	3860
DPOGS201663	5245	5245
DPOGS201666	2378	2378
DPOGS201667	2546	2546
DPOGS201668	6110	6110
DPOGS201669	4504	4504
DPOGS201670	2750	2750
DPOGS201672	2115	2115
DPOGS201674	3849	3849
DPOGS201677	4194	4194
DPOGS201678	3493	3493
DPOGS201680	5612	5612
DPOGS201682	2786	2786
DPOGS201683	2832	2832
DPOGS201685	1460	1460
DPOGS201686	477	477
DPOGS201687	494	494
DPOGS201688	834	834
DPOGS201694	935	935
DPOGS201697	172	172
DPOGS201699	278	278
DPOGS201705	864	864
DPOGS201707	929	929
DPOGS201726	4059	4059
DPOGS201728	12008	12008
DPOGS201730	4148	4148
DPOGS201735	6596	6596
DPOGS201736	3750	3750
DPOGS201767	300	300
DPOGS201768	342	342
DPOGS201769	219	219
DPOGS201770	659	659
DPOGS201825	7601	7601
DPOGS201826	8726	8726
DPOGS201945	17816	17816
DPOGS201956	3246	3246
DPOGS201957	8174	8174
DPOGS201958	8695	8695
DPOGS201959	3630	3630
DPOGS201962	11947	11947
DPOGS201964	10676	10676
DPOGS201965	12759	12759
DPOGS201966	10091	10091
DPOGS201969	5176	5176
DPOGS201978	6357	6357
DPOGS201984	5329	5329
DPOGS201985	5801	5801
DPOGS201988	3550	3550
DPOGS201993	5232	5232
DPOGS201994	9277	9277
DPOGS201998	12754	12754
DPOGS201999	6470	6470
DPOGS202076	10007	10007
DPOGS202077	3734	3734
DPOGS202078	3958	3958
DPOGS202079	16210	16210
DPOGS202080	1743	1743
DPOGS202081	13081	13081
DPOGS202082	3801	3801
DPOGS202083	1200	1200
DPOGS202087	3369	3369
DPOGS202088	3684	3684
DPOGS202089	369	369
DPOGS202091	117	117
DPOGS202093	14404	14404
DPOGS202094	19516	19516
DPOGS202104	11673	11673
DPOGS202110	11357	11357
DPOGS202114	7842	7842
DPOGS202116	8641	8641
DPOGS202118	8890	8890
DPOGS202125	9974	9974
DPOGS202128	9413	9413
DPOGS202133	717	717
DPOGS202147	4037	4037
DPOGS202152	6620	6620
DPOGS202153	2027	2027
DPOGS202154	5470	5470
DPOGS202156	2662	2662
DPOGS202157	5608	5608
DPOGS202161	4845	4845
DPOGS202163	4046	4046
DPOGS202165	6854	6854
DPOGS202167	5966	5966
DPOGS202176	8354	8354
DPOGS202177	6654	6654
DPOGS202178	7070	7070
DPOGS202179	3100	3100
DPOGS202184	192	192
DPOGS202238	168	168
DPOGS202239	4025	4025
DPOGS202242	1482	1482
DPOGS202244	3262	3262
DPOGS202245	1593	1593
DPOGS202247	4254	4254
DPOGS202248	5371	5371
DPOGS202249	2654	2654
DPOGS202250	3127	3127
DPOGS202251	2419	2419
DPOGS202252	5107	5107
DPOGS202255	2065	2065
DPOGS202256	2779	2779
DPOGS202257	2322	2322
DPOGS202258	4031	4031
DPOGS202262	1999	1999
DPOGS202263	1665	1665
DPOGS202265	4486	4486
DPOGS202266	1972	1972
DPOGS202267	4900	4900
DPOGS202269	1480	1480
DPOGS202272	2956	2956
DPOGS202274	2603	2603
DPOGS202280	3537	3537
DPOGS202281	3823	3823
DPOGS202282	2153	2153
DPOGS202288	3363	3363
DPOGS202292	5312	5312
DPOGS202293	1910	1910
DPOGS202300	3076	3076
DPOGS202303	1962	1962
DPOGS202307	1823	1823
DPOGS202309	2670	2670
DPOGS202313	4727	4727
DPOGS202317	1467	1467
DPOGS202320	3846	3846
DPOGS202321	4883	4883
DPOGS202322	2248	2248
DPOGS202324	3468	3468
DPOGS202325	2286	2286
DPOGS202326	1508	1508
DPOGS202328	3156	3156
DPOGS202329	3305	3305
DPOGS202332	5158	5158
DPOGS202333	4094	4094
DPOGS202336	4105	4105
DPOGS202338	2114	2114
DPOGS202340	1833	1833
DPOGS202345	383	383
DPOGS202346	147	147
DPOGS202349	16365	16365
DPOGS202351	8855	8855
DPOGS202353	969	969
DPOGS202354	1528	1528
DPOGS202356	1209	1209
DPOGS202358	14746	14746
DPOGS202363	8250	8250
DPOGS202364	1327	1327
DPOGS202366	7119	7119
DPOGS202368	8854	8854
DPOGS202376	829	829
DPOGS202380	318	318
DPOGS202381	321	321
DPOGS202382	3617	3617
DPOGS202383	327	327
DPOGS202384	486	486
DPOGS202386	10092	10092
DPOGS202387	6838	6838
DPOGS202389	260	260
DPOGS202390	4374	4374
DPOGS202391	1110	1110
DPOGS202393	538	538
DPOGS202395	2942	2942
DPOGS202396	7191	7191
DPOGS202397	8345	8345
DPOGS202398	5978	5978
DPOGS202401	4068	4068
DPOGS202404	7597	7597
DPOGS202409	5340	5340
DPOGS202412	2758	2758
DPOGS202434	1033	1033
DPOGS202435	1714	1714
DPOGS202473	4634	4634
DPOGS202474	2956	2956
DPOGS202475	1464	1464
DPOGS202477	925	925
DPOGS202478	2069	2069
DPOGS202479	156	156
DPOGS202480	8630	8630
DPOGS202481	8487	8487
DPOGS202482	1824	1824
DPOGS202483	5697	5697
DPOGS202484	5274	5274
DPOGS202485	9727	9727
DPOGS202489	607	607
DPOGS202541	1261	1261
DPOGS202545	240	240
DPOGS202547	7435	7435
DPOGS202549	552	552
DPOGS202550	147	147
DPOGS202553	627	627
DPOGS202554	356	356
DPOGS202555	1813	1813
DPOGS202556	964	964
DPOGS202559	987	987
DPOGS202561	1515	1515
DPOGS202562	1799	1799
DPOGS202563	708	708
DPOGS202564	1587	1587
DPOGS202565	1629	1629
DPOGS202566	339	339
DPOGS202569	1563	1563
DPOGS202571	498	498
DPOGS202572	708	708
DPOGS202574	1243	1243
DPOGS202579	2980	2980
DPOGS202581	2472	2472
DPOGS202582	258	258
DPOGS202583	216	216
DPOGS202585	6378	6378
DPOGS202587	4114	4114
DPOGS202592	2325	2325
DPOGS202595	5269	5269
DPOGS202596	1675	1675
DPOGS202597	4246	4246
DPOGS202599	2957	2957
DPOGS202600	4747	4747
DPOGS202601	2357	2357
DPOGS202602	4844	4844
DPOGS202604	1297	1297
DPOGS202606	2003	2003
DPOGS202607	5157	5157
DPOGS202611	4595	4595
DPOGS202617	1488	1488
DPOGS202618	1757	1757
DPOGS202622	1993	1993
DPOGS202626	2710	2710
DPOGS202640	5214	5214
DPOGS202644	10252	10252
DPOGS202646	2624	2624
DPOGS202647	9136	9136
DPOGS202650	9039	9039
DPOGS202657	9201	9201
DPOGS202658	4997	4997
DPOGS202662	6180	6180
DPOGS202665	8176	8176
DPOGS202671	2996	2996
DPOGS202674	4032	4032
DPOGS202676	4490	4490
DPOGS202677	4653	4653
DPOGS202680	3534	3534
DPOGS202683	4940	4940
DPOGS202684	1479	1479
DPOGS202685	10759	10759
DPOGS202686	3657	3657
DPOGS202689	5636	5636
DPOGS202692	2327	2327
DPOGS202694	2070	2070
DPOGS202697	1389	1389
DPOGS202700	2846	2846
DPOGS202701	3503	3503
DPOGS202703	4464	4464
DPOGS202704	2551	2551
DPOGS202725	216	216
DPOGS202726	309	309
DPOGS202744	6703	6703
DPOGS202745	313	313
DPOGS202746	2649	2649
DPOGS202747	1086	1086
DPOGS202749	10028	10028
DPOGS202763	11630	11630
DPOGS202774	16791	16791
DPOGS202775	14391	14391
DPOGS202779	8063	8063
DPOGS202785	6356	6356
DPOGS202787	4939	4939
DPOGS202794	17814	17814
DPOGS202795	16352	16352
DPOGS202796	7182	7182
DPOGS202797	7566	7566
DPOGS202798	4300	4300
DPOGS202799	6133	6133
DPOGS202801	6666	6666
DPOGS202802	7953	7953
DPOGS202804	9942	9942
DPOGS202806	19315	19315
DPOGS202807	7223	7223
DPOGS202808	6758	6758
DPOGS202810	4677	4677
DPOGS202817	4516	4516
DPOGS202822	5348	5348
DPOGS202826	8293	8293
DPOGS202827	4000	4000
DPOGS202835	6049	6049
DPOGS202836	7922	7922
DPOGS202840	4496	4496
DPOGS202841	7286	7286
DPOGS202846	11946	11946
DPOGS202855	8696	8696
DPOGS202862	5514	5514
DPOGS202868	6976	6976
DPOGS202873	3402	3402
DPOGS202875	3363	3363
DPOGS202877	3994	3994
DPOGS202881	966	966
DPOGS202884	8572	8572
DPOGS202885	678	678
DPOGS202887	243	243
DPOGS202888	132	132
DPOGS202891	446	446
DPOGS202892	597	597
DPOGS202893	689	689
DPOGS202894	455	455
DPOGS202899	7558	7558
DPOGS202901	14593	14593
DPOGS202903	12020	12020
DPOGS202904	21285	21285
DPOGS202907	12502	12502
DPOGS202910	17852	17852
DPOGS202911	1403	1403
DPOGS202912	13263	13263
DPOGS202916	1479	1479
DPOGS202917	1422	1422
DPOGS202919	960	960
DPOGS202921	1452	1452
DPOGS202922	13046	13046
DPOGS202924	7168	7168
DPOGS202937	7448	7448
DPOGS202940	8055	8055
DPOGS202941	433	433
DPOGS202942	614	614
DPOGS202943	138	138
DPOGS202944	10244	10244
DPOGS202945	13250	13250
DPOGS202946	5347	5347
DPOGS202947	1394	1394
DPOGS202948	1374	1374
DPOGS202949	1269	1269
DPOGS202950	539	539
DPOGS202954	10384	10384
DPOGS202956	1761	1761
DPOGS202958	11145	11145
DPOGS202959	3707	3707
DPOGS202961	4081	4081
DPOGS202962	1245	1245
DPOGS202963	9326	9326
DPOGS202964	1947	1947
DPOGS202965	2977	2977
DPOGS202967	2896	2896
DPOGS202968	4516	4516
DPOGS202972	4099	4099
DPOGS202973	7051	7051
DPOGS203040	14151	14151
DPOGS203057	1745	1745
DPOGS203058	438	438
DPOGS203060	8807	8807
DPOGS203061	870	870
DPOGS203062	2224	2224
DPOGS203063	1476	1476
DPOGS203064	2097	2097
DPOGS203065	1051	1051
DPOGS203068	1826	1826
DPOGS203069	2002	2002
DPOGS203070	7459	7459
DPOGS203071	12137	12137
DPOGS203072	630	630
DPOGS203073	3383	3383
DPOGS203075	1285	1285
DPOGS203076	3278	3278
DPOGS203077	1229	1229
DPOGS203080	552	552
DPOGS203083	1427	1427
DPOGS203084	1145	1145
DPOGS203094	3528	3528
DPOGS203095	3254	3254
DPOGS203096	5173	5173
DPOGS203097	7714	7714
DPOGS203099	2595	2595
DPOGS203100	3564	3564
DPOGS203101	2790	2790
DPOGS203103	9982	9982
DPOGS203105	1601	1601
DPOGS203106	8401	8401
DPOGS203109	3533	3533
DPOGS203135	3199	3199
DPOGS203136	4582	4582
DPOGS203137	2696	2696
DPOGS203140	7272	7272
DPOGS203142	7398	7398
DPOGS203143	9449	9449
DPOGS203147	9841	9841
DPOGS203149	2153	2153
DPOGS203152	1948	1948
DPOGS203153	2331	2331
DPOGS203155	9257	9257
DPOGS203159	19448	19448
DPOGS203162	8948	8948
DPOGS203163	12165	12165
DPOGS203165	3279	3279
DPOGS203167	2172	2172
DPOGS203168	1963	1963
DPOGS203170	2265	2265
DPOGS203173	7350	7350
DPOGS203174	11370	11370
DPOGS203178	3286	3286
DPOGS203179	10629	10629
DPOGS203180	10072	10072
DPOGS203181	2203	2203
DPOGS203182	7685	7685
DPOGS203183	2896	2896
DPOGS203184	6450	6450
DPOGS203185	14539	14539
DPOGS203186	12088	12088
DPOGS203187	8415	8415
DPOGS203188	2880	2880
DPOGS203189	2360	2360
DPOGS203191	4599	4599
DPOGS203195	6888	6888
DPOGS203196	2145	2145
DPOGS203197	2708	2708
DPOGS203198	3411	3411
DPOGS203199	4368	4368
DPOGS203200	3822	3822
DPOGS203202	6793	6793
DPOGS203203	3445	3445
DPOGS203205	1982	1982
DPOGS203206	2627	2627
DPOGS203207	5960	5960
DPOGS203208	2354	2354
DPOGS203209	14973	14973
DPOGS203210	3816	3816
DPOGS203211	5251	5251
DPOGS203216	4590	4590
DPOGS203217	2879	2879
DPOGS203219	5511	5511
DPOGS203221	2478	2478
DPOGS203222	3358	3358
DPOGS203226	5939	5939
DPOGS203227	7934	7934
DPOGS203228	6806	6806
DPOGS203229	9033	9033
DPOGS203230	9877	9877
DPOGS203232	5969	5969
DPOGS203233	3059	3059
DPOGS203234	63	63
DPOGS203420	9993	9993
DPOGS203421	2966	2966
DPOGS203423	362	362
DPOGS203424	459	459
DPOGS203425	1059	1059
DPOGS203433	548	548
DPOGS203437	6210	6210
DPOGS203438	6870	6870
DPOGS203439	7055	7055
DPOGS203440	6048	6048
DPOGS203443	5986	5986
DPOGS203448	4716	4716
DPOGS203451	3322	3322
DPOGS203452	3917	3917
DPOGS203454	4198	4198
DPOGS203460	2539	2539
DPOGS203461	3576	3576
DPOGS203462	622	622
DPOGS203463	108	108
DPOGS203465	720	720
DPOGS203466	873	873
DPOGS203467	1808	1808
DPOGS203468	636	636
DPOGS203469	1448	1448
DPOGS203471	4280	4280
DPOGS203473	440	440
DPOGS203474	669	669
DPOGS203582	2327	2327
DPOGS203638	3547	3547
DPOGS203639	2990	2990
DPOGS203641	9413	9413
DPOGS203649	11295	11295
DPOGS203650	2874	2874
DPOGS203651	11284	11284
DPOGS203654	4122	4122
DPOGS203655	4977	4977
DPOGS203657	6952	6952
DPOGS203661	4084	4084
DPOGS203664	7167	7167
DPOGS203670	3266	3266
DPOGS203671	3140	3140
DPOGS203672	3863	3863
DPOGS203674	4410	4410
DPOGS203675	10085	10085
DPOGS203682	8792	8792
DPOGS203683	7332	7332
DPOGS203686	6826	6826
DPOGS203687	3612	3612
DPOGS203690	7421	7421
DPOGS203696	6636	6636
DPOGS203701	9619	9619
DPOGS203702	4934	4934
DPOGS203704	3877	3877
DPOGS203710	4543	4543
DPOGS203711	11647	11647
DPOGS203712	6860	6860
DPOGS203713	6681	6681
DPOGS203719	4012	4012
DPOGS203720	3487	3487
DPOGS203721	2994	2994
DPOGS203723	6946	6946
DPOGS203726	8480	8480
DPOGS203727	6234	6234
DPOGS203731	3084	3084
DPOGS203734	2893	2893
DPOGS203736	5447	5447
DPOGS203740	10100	10100
DPOGS203741	2913	2913
DPOGS203747	4575	4575
DPOGS203750	1617	1617
DPOGS203751	4729	4729
DPOGS203752	2862	2862
DPOGS203755	7221	7221
DPOGS203758	2265	2265
DPOGS203759	4890	4890
DPOGS203767	3093	3093
DPOGS203768	5278	5278
DPOGS203770	2510	2510
DPOGS203771	3901	3901
DPOGS203772	7911	7911
DPOGS203775	4370	4370
DPOGS203777	8189	8189
DPOGS203785	12311	12311
DPOGS203788	4353	4353
DPOGS203791	11428	11428
DPOGS203792	7212	7212
DPOGS203796	6962	6962
DPOGS203797	5753	5753
DPOGS203798	3557	3557
