gene.id	stat_value
DPOGS200001	0.058441
DPOGS200002	0.123144
DPOGS200005	0.138879
DPOGS200006	0.273781
DPOGS200007	0.117558
DPOGS200011	0.389077
DPOGS200012	0.030498
DPOGS200014	0.099048
DPOGS200016	0.123214
DPOGS200017	0.198706
DPOGS200036	0.172276
DPOGS200037	0.080054
DPOGS200039	0.138244
DPOGS200040	0.037183
DPOGS200043	0.504856
DPOGS200045	0.062655
DPOGS200047	0.113886
DPOGS200050	0.094659
DPOGS200051	0.164024
DPOGS200053	0.192951
DPOGS200055	0.123814
DPOGS200057	0.177463
DPOGS200058	0.014260
DPOGS200059	0.009255
DPOGS200060	0.107676
DPOGS200061	0.131637
DPOGS200062	0.021707
DPOGS200064	0.045895
DPOGS200065	0.374473
DPOGS200066	0.308107
DPOGS200067	0.039898
DPOGS200069	0.021347
DPOGS200070	0.022176
DPOGS200071	0.181116
DPOGS200073	0.165577
DPOGS200074	0.057933
DPOGS200075	0.166312
DPOGS200076	0.151518
DPOGS200077	0.244491
DPOGS200102	0.190078
DPOGS200103	0.142495
DPOGS200106	0.047478
DPOGS200107	0.081277
DPOGS200108	0.057183
DPOGS200109	0.233319
DPOGS200110	0.057481
DPOGS200111	0.178929
DPOGS200112	0.076070
DPOGS200113	0.288475
DPOGS200116	0.277483
DPOGS200117	0.186716
DPOGS200118	0.182425
DPOGS200121	-0.000073
DPOGS200123	0.277865
DPOGS200124	0.138645
DPOGS200126	0.217112
DPOGS200129	0.317896
DPOGS200133	0.078827
DPOGS200140	0.109795
DPOGS200144	0.056875
DPOGS200149	0.031934
DPOGS200153	0.278556
DPOGS200156	0.221264
DPOGS200159	0.021713
DPOGS200161	0.129817
DPOGS200163	0.088871
DPOGS200172	0.112771
DPOGS200173	0.135276
DPOGS200174	0.148943
DPOGS200180	0.052835
DPOGS200181	0.136702
DPOGS200182	0.094714
DPOGS200212	0.336041
DPOGS200219	0.182598
DPOGS200229	0.005935
DPOGS200230	0.034268
DPOGS200235	0.075777
DPOGS200236	0.186876
DPOGS200237	0.663698
DPOGS200238	0.268370
DPOGS200240	0.210452
DPOGS200243	0.083713
DPOGS200244	0.313941
DPOGS200245	0.155797
DPOGS200246	0.105524
DPOGS200247	0.232544
DPOGS200250	0.168017
DPOGS200255	0.147517
DPOGS200256	0.371875
DPOGS200264	0.188242
DPOGS200265	0.163842
DPOGS200266	0.169314
DPOGS200267	0.151267
DPOGS200270	0.026176
DPOGS200271	0.065393
DPOGS200272	0.039808
DPOGS200274	0.054255
DPOGS200279	0.232391
DPOGS200290	0.260448
DPOGS200291	0.223058
DPOGS200294	0.098289
DPOGS200295	0.128303
DPOGS200297	0.115899
DPOGS200298	0.231499
DPOGS200299	0.273436
DPOGS200302	0.068855
DPOGS200305	0.153814
DPOGS200306	0.187186
DPOGS200307	0.195963
DPOGS200308	0.152231
DPOGS200309	0.065791
DPOGS200312	0.266221
DPOGS200316	0.130280
DPOGS200317	0.061784
DPOGS200323	0.261581
DPOGS200330	0.181598
DPOGS200333	0.304678
DPOGS200337	0.189788
DPOGS200342	0.053540
DPOGS200344	0.254590
DPOGS200345	0.096965
DPOGS200346	0.227829
DPOGS200347	0.030591
DPOGS200349	0.106954
DPOGS200352	0.433246
DPOGS200356	0.233909
DPOGS200358	0.100904
DPOGS200360	0.129139
DPOGS200362	0.107814
DPOGS200363	0.183604
DPOGS200364	0.154985
DPOGS200366	0.116065
DPOGS200367	0.221817
DPOGS200368	0.085186
DPOGS200369	0.065489
DPOGS200371	0.399190
DPOGS200372	0.211366
DPOGS200373	0.073898
DPOGS200381	0.091703
DPOGS200382	0.139133
DPOGS200383	0.163856
DPOGS200385	0.315187
DPOGS200386	0.156785
DPOGS200394	0.193895
DPOGS200395	0.169870
DPOGS200396	0.144855
DPOGS200397	0.224611
DPOGS200398	0.088360
DPOGS200399	0.096924
DPOGS200403	0.125664
DPOGS200409	0.167034
DPOGS200412	0.125183
DPOGS200417	0.123453
DPOGS200421	0.105389
DPOGS200422	0.185301
DPOGS200427	0.155175
DPOGS200437	0.021224
DPOGS200439	0.080645
DPOGS200445	0.230266
DPOGS200446	0.087282
DPOGS200447	0.144874
DPOGS200448	0.122847
DPOGS200450	0.104184
DPOGS200452	0.129067
DPOGS200454	0.341040
DPOGS200460	0.081832
DPOGS200463	0.238017
DPOGS200466	0.107949
DPOGS200467	0.126016
DPOGS200468	0.107338
DPOGS200469	0.083993
DPOGS200471	0.348097
DPOGS200472	0.065807
DPOGS200473	0.307834
DPOGS200474	0.203972
DPOGS200499	0.222051
DPOGS200519	0.044720
DPOGS200575	0.078981
DPOGS200663	0.022483
DPOGS200664	0.052594
DPOGS200666	0.032855
DPOGS200667	0.290269
DPOGS200693	0.232462
DPOGS200698	0.094113
DPOGS200699	0.282040
DPOGS200762	0.029873
DPOGS200763	-0.008475
DPOGS200764	0.142613
DPOGS200765	0.041338
DPOGS200766	-0.001464
DPOGS200769	0.042468
DPOGS200770	0.122390
DPOGS200771	0.058706
DPOGS200773	0.343123
DPOGS200793	0.037673
DPOGS200815	0.138843
DPOGS200879	0.099163
DPOGS200880	0.069827
DPOGS200883	0.147109
DPOGS200884	0.021451
DPOGS200885	0.077516
DPOGS200886	0.108812
DPOGS200946	0.180396
DPOGS200949	0.144216
DPOGS200950	0.067628
DPOGS200953	0.194677
DPOGS200962	0.122769
DPOGS200964	0.430285
DPOGS200972	0.244230
DPOGS200973	0.128837
DPOGS200976	0.139431
DPOGS200977	0.094369
DPOGS200984	0.057043
DPOGS200986	0.053122
DPOGS200987	0.064360
DPOGS200988	0.072842
DPOGS200992	0.242978
DPOGS200995	0.120680
DPOGS200996	0.155499
DPOGS200997	0.206207
DPOGS200998	0.227516
DPOGS201008	0.106050
DPOGS201010	0.098703
DPOGS201014	0.096651
DPOGS201015	0.180792
DPOGS201020	0.034366
DPOGS201026	0.277250
DPOGS201053	0.182695
DPOGS201099	0.042532
DPOGS201128	0.134472
DPOGS201210	0.233469
DPOGS201214	0.060050
DPOGS201215	0.218492
DPOGS201217	0.091618
DPOGS201218	0.098945
DPOGS201219	0.371204
DPOGS201268	0.009718
DPOGS201272	0.137043
DPOGS201274	0.021362
DPOGS201405	0.126622
DPOGS201407	0.062557
DPOGS201409	0.071777
DPOGS201410	0.147120
DPOGS201411	0.098175
DPOGS201412	0.068648
DPOGS201414	0.021786
DPOGS201416	0.171799
DPOGS201420	0.126367
DPOGS201426	0.136211
DPOGS201428	0.117777
DPOGS201429	0.021719
DPOGS201430	0.222887
DPOGS201432	0.569874
DPOGS201433	0.751730
DPOGS201434	0.114045
DPOGS201435	0.037145
DPOGS201437	0.119219
DPOGS201440	0.308483
DPOGS201442	0.405401
DPOGS201443	0.022445
DPOGS201444	0.042892
DPOGS201453	0.052362
DPOGS201456	0.214946
DPOGS201469	0.193275
DPOGS201472	0.230910
DPOGS201476	0.158999
DPOGS201477	0.207663
DPOGS201482	0.053785
DPOGS201491	0.045689
DPOGS201503	0.009243
DPOGS201505	0.108433
DPOGS201508	0.049429
DPOGS201510	0.430941
DPOGS201511	0.236166
DPOGS201513	0.750005
DPOGS201523	0.136361
DPOGS201530	0.021368
DPOGS201539	0.101998
DPOGS201542	0.245179
DPOGS201548	0.081204
DPOGS201580	0.217666
DPOGS201582	0.166962
DPOGS201584	0.101444
DPOGS201586	0.168732
DPOGS201588	0.175575
DPOGS201589	0.199233
DPOGS201590	0.178211
DPOGS201591	0.287027
DPOGS201594	0.050028
DPOGS201595	0.149277
DPOGS201596	0.116385
DPOGS201597	0.229674
DPOGS201599	0.205490
DPOGS201600	0.229909
DPOGS201603	0.118235
DPOGS201604	0.248625
DPOGS201605	0.201803
DPOGS201606	0.115023
DPOGS201609	0.172197
DPOGS201612	0.606258
DPOGS201613	0.310164
DPOGS201614	0.125324
DPOGS201618	0.154184
DPOGS201628	0.241892
DPOGS201629	0.032906
DPOGS201630	0.216662
DPOGS201632	0.140308
DPOGS201634	-0.009149
DPOGS201635	0.025020
DPOGS201636	0.063123
DPOGS201660	0.233699
DPOGS201663	0.125611
DPOGS201666	-0.003482
DPOGS201668	0.082566
DPOGS201669	0.145698
DPOGS201670	0.173941
DPOGS201672	0.110520
DPOGS201674	0.150164
DPOGS201677	0.134274
DPOGS201678	0.252934
DPOGS201680	0.172225
DPOGS201682	0.026097
DPOGS201683	0.288620
DPOGS201685	0.117047
DPOGS201687	0.327984
DPOGS201694	0.045652
DPOGS201699	0.058712
DPOGS201707	0.372938
DPOGS201726	0.040015
DPOGS201728	0.191539
DPOGS201730	0.081025
DPOGS201735	0.101136
DPOGS201736	0.082064
DPOGS201767	0.089194
DPOGS201768	0.457969
DPOGS201769	0.142994
DPOGS201825	0.139213
DPOGS201826	0.503556
DPOGS201945	0.232482
DPOGS201956	0.162615
DPOGS201957	0.244169
DPOGS201958	0.343773
DPOGS201959	0.306451
DPOGS201962	0.100399
DPOGS201965	0.112727
DPOGS201966	0.136679
DPOGS201969	0.052887
DPOGS201984	0.097061
DPOGS201985	0.330071
DPOGS201988	0.074858
DPOGS201993	0.111424
DPOGS201994	0.121617
DPOGS201998	0.104071
DPOGS202076	0.137760
DPOGS202077	0.040742
DPOGS202078	0.063364
DPOGS202079	0.229826
DPOGS202080	0.054761
DPOGS202081	0.232995
DPOGS202082	0.246824
DPOGS202083	0.248683
DPOGS202087	0.131101
DPOGS202088	0.152309
DPOGS202089	0.059764
DPOGS202093	0.098401
DPOGS202094	0.110641
DPOGS202104	0.103637
DPOGS202110	0.179392
DPOGS202114	0.065011
DPOGS202118	0.251439
DPOGS202125	0.099842
DPOGS202128	0.119913
DPOGS202133	0.281884
DPOGS202147	0.065466
DPOGS202152	0.132032
DPOGS202153	0.219617
DPOGS202154	0.217796
DPOGS202157	0.299514
DPOGS202161	0.222571
DPOGS202163	0.005539
DPOGS202165	0.071584
DPOGS202167	0.181690
DPOGS202176	0.045458
DPOGS202177	0.048577
DPOGS202178	0.117745
DPOGS202179	0.105143
DPOGS202184	0.098341
DPOGS202238	0.069831
DPOGS202239	0.144094
DPOGS202242	0.219638
DPOGS202244	0.176890
DPOGS202245	0.111954
DPOGS202248	0.207824
DPOGS202249	0.230242
DPOGS202250	0.249055
DPOGS202251	0.113170
DPOGS202252	0.253718
DPOGS202255	0.278578
DPOGS202256	0.200126
DPOGS202258	0.295385
DPOGS202262	0.257850
DPOGS202263	0.232427
DPOGS202265	0.222666
DPOGS202266	0.294736
DPOGS202267	0.021422
DPOGS202269	0.343203
DPOGS202272	0.144494
DPOGS202274	0.186514
DPOGS202280	0.247279
DPOGS202281	0.263728
DPOGS202282	0.164297
DPOGS202292	0.280879
DPOGS202293	0.511382
DPOGS202303	0.117513
DPOGS202307	0.211351
DPOGS202309	0.137725
DPOGS202313	0.182618
DPOGS202317	0.155181
DPOGS202320	0.176883
DPOGS202321	0.210686
DPOGS202322	0.155577
DPOGS202324	0.157167
DPOGS202326	0.048664
DPOGS202328	0.291518
DPOGS202329	0.194932
DPOGS202332	0.176692
DPOGS202333	0.206284
DPOGS202336	0.147940
DPOGS202338	0.054728
DPOGS202340	0.112659
DPOGS202345	0.021360
DPOGS202346	0.136020
DPOGS202349	0.141748
DPOGS202351	0.104419
DPOGS202353	0.126025
DPOGS202354	0.222880
DPOGS202356	0.176464
DPOGS202358	0.089547
DPOGS202363	0.070031
DPOGS202364	0.130922
DPOGS202366	0.234867
DPOGS202368	0.330865
DPOGS202376	0.194867
DPOGS202380	0.138396
DPOGS202381	0.259160
DPOGS202382	0.239638
DPOGS202384	0.202625
DPOGS202386	0.184708
DPOGS202387	0.191945
DPOGS202389	0.401804
DPOGS202390	0.248121
DPOGS202391	0.121225
DPOGS202393	0.065337
DPOGS202395	0.364368
DPOGS202396	0.205848
DPOGS202397	0.236328
DPOGS202398	0.187111
DPOGS202401	0.230370
DPOGS202404	0.055117
DPOGS202409	0.157828
DPOGS202412	0.300430
DPOGS202435	0.274659
DPOGS202474	0.117861
DPOGS202477	0.070764
DPOGS202478	0.168290
DPOGS202479	0.129555
DPOGS202480	0.064714
DPOGS202481	0.100716
DPOGS202482	0.118248
DPOGS202483	0.105445
DPOGS202484	0.072661
DPOGS202485	0.112632
DPOGS202489	0.192522
DPOGS202541	0.074027
DPOGS202545	0.021823
DPOGS202547	0.950765
DPOGS202549	0.210032
DPOGS202550	0.059008
DPOGS202553	0.151560
