gene.id	stat_value
DPOGS200001	2.862704
DPOGS200002	0.437634
DPOGS200005	1.650682
DPOGS200006	-0.169937
DPOGS200007	-0.696974
DPOGS200011	0.699651
DPOGS200012	-0.476680
DPOGS200014	-1.486883
DPOGS200016	1.053388
DPOGS200017	-2.436977
DPOGS200036	0.692733
DPOGS200037	-0.408708
DPOGS200039	-0.805301
DPOGS200040	-0.197027
DPOGS200043	-0.888685
DPOGS200045	-0.718941
DPOGS200047	-0.541007
DPOGS200050	0.879092
DPOGS200051	-0.690223
DPOGS200053	-1.761951
DPOGS200055	1.437245
DPOGS200057	-0.534579
DPOGS200058	2.560427
DPOGS200059	-0.336146
DPOGS200060	-2.546199
DPOGS200061	1.369383
DPOGS200062	-0.916565
DPOGS200064	0.719061
DPOGS200065	2.939412
DPOGS200066	0.076884
DPOGS200067	-0.129077
DPOGS200069	-0.276214
DPOGS200070	1.728218
DPOGS200071	1.223404
DPOGS200073	-0.249933
DPOGS200074	1.705470
DPOGS200075	0.502046
DPOGS200076	-1.590311
DPOGS200077	1.199460
DPOGS200102	-0.153163
DPOGS200103	1.366712
DPOGS200106	-0.171367
DPOGS200107	-1.773009
DPOGS200108	0.513442
DPOGS200109	-0.488523
DPOGS200110	1.586002
DPOGS200111	0.023509
DPOGS200112	0.125140
DPOGS200113	-0.950721
DPOGS200116	-0.362847
DPOGS200117	0.279434
DPOGS200118	0.290112
DPOGS200121	1.495906
DPOGS200123	1.760496
DPOGS200124	-0.342397
DPOGS200126	0.885314
DPOGS200129	-1.794019
DPOGS200133	1.881233
DPOGS200140	1.577473
DPOGS200144	0.795486
DPOGS200149	2.123691
DPOGS200153	-1.147767
DPOGS200156	-0.841148
DPOGS200159	-0.204208
DPOGS200161	0.589208
DPOGS200163	1.840535
DPOGS200172	1.723486
DPOGS200173	0.255151
DPOGS200174	0.524797
DPOGS200180	0.919796
DPOGS200181	1.799205
DPOGS200182	2.207302
DPOGS200212	0.360415
DPOGS200219	1.776352
DPOGS200229	-1.147724
DPOGS200230	1.280308
DPOGS200235	1.100852
DPOGS200236	1.611430
DPOGS200237	0.430957
DPOGS200238	1.580162
DPOGS200240	2.022309
DPOGS200243	0.553106
DPOGS200244	0.799508
DPOGS200245	1.629258
DPOGS200246	-0.069831
DPOGS200247	-0.574874
DPOGS200250	1.110977
DPOGS200255	-2.164735
DPOGS200256	0.888112
DPOGS200264	-0.014696
DPOGS200265	0.934245
DPOGS200266	0.252066
DPOGS200267	0.600255
DPOGS200270	1.688223
DPOGS200271	0.076783
DPOGS200272	0.378077
DPOGS200274	-0.215530
DPOGS200279	-1.088162
DPOGS200290	1.187977
DPOGS200291	1.312027
DPOGS200294	-0.484642
DPOGS200295	0.794581
DPOGS200297	-0.255649
DPOGS200298	1.417887
DPOGS200299	0.359229
DPOGS200302	0.573690
DPOGS200305	0.397936
DPOGS200306	0.268467
DPOGS200307	-1.638436
DPOGS200308	0.982591
DPOGS200309	1.329327
DPOGS200312	1.112029
DPOGS200316	2.000237
DPOGS200317	-0.074895
DPOGS200323	0.859081
DPOGS200330	-0.111873
DPOGS200333	0.678567
DPOGS200337	-0.548815
DPOGS200342	-0.509810
DPOGS200344	0.327675
DPOGS200345	0.541056
DPOGS200346	0.047010
DPOGS200347	1.335548
DPOGS200349	0.732929
DPOGS200352	1.681341
DPOGS200356	-0.287686
DPOGS200358	-0.937675
DPOGS200360	-0.577065
DPOGS200362	0.080331
DPOGS200363	-0.906003
DPOGS200364	-0.883292
DPOGS200366	0.613413
DPOGS200367	0.782489
DPOGS200368	0.850723
DPOGS200369	2.329064
DPOGS200371	0.800380
DPOGS200372	-0.891821
DPOGS200373	1.238958
DPOGS200381	0.744606
DPOGS200382	0.121700
DPOGS200383	-0.624132
DPOGS200385	1.580032
DPOGS200386	0.006134
DPOGS200394	0.271705
DPOGS200395	-0.389166
DPOGS200396	-1.312267
DPOGS200397	3.026143
DPOGS200398	-0.864418
DPOGS200399	-0.881650
DPOGS200403	-0.105024
DPOGS200409	1.065683
DPOGS200412	-0.408513
DPOGS200417	0.044582
DPOGS200421	-1.597156
DPOGS200422	2.308115
DPOGS200427	-1.306852
DPOGS200437	-1.046019
DPOGS200439	0.276737
DPOGS200445	0.387833
DPOGS200446	0.530499
DPOGS200447	0.340867
DPOGS200448	-1.033836
DPOGS200450	1.615042
DPOGS200452	0.244042
DPOGS200454	0.007746
DPOGS200460	2.652896
DPOGS200463	-1.300077
DPOGS200466	0.574216
DPOGS200467	0.699487
DPOGS200468	0.273564
DPOGS200469	0.857403
DPOGS200471	0.925026
DPOGS200472	1.261436
DPOGS200473	0.610380
DPOGS200474	0.742693
DPOGS200499	-2.475095
DPOGS200519	-0.317460
DPOGS200575	-1.826191
DPOGS200663	-1.666118
DPOGS200664	-0.413019
DPOGS200666	-0.800359
DPOGS200667	0.183282
DPOGS200693	-0.149138
DPOGS200698	0.590355
DPOGS200699	1.868365
DPOGS200762	2.266762
DPOGS200763	-1.737244
DPOGS200764	0.473344
DPOGS200765	-0.235972
DPOGS200766	2.077775
DPOGS200769	-1.028075
DPOGS200770	-0.653440
DPOGS200771	-0.479358
DPOGS200773	-0.592007
DPOGS200793	1.768073
DPOGS200815	0.831261
DPOGS200879	1.672615
DPOGS200880	0.800306
DPOGS200883	1.308285
DPOGS200884	2.005684
DPOGS200885	1.066086
DPOGS200886	-0.472599
DPOGS200946	1.831316
DPOGS200949	1.361461
DPOGS200950	1.210529
DPOGS200953	1.966477
DPOGS200962	2.274710
DPOGS200964	-0.039095
DPOGS200972	0.353800
DPOGS200973	0.567195
DPOGS200976	2.564805
DPOGS200977	1.050756
DPOGS200984	1.268205
DPOGS200986	0.899537
DPOGS200987	0.542530
DPOGS200988	0.421712
DPOGS200992	1.356670
DPOGS200995	0.924070
DPOGS200996	-1.084022
DPOGS200997	-0.966886
DPOGS200998	-1.130409
DPOGS201008	-1.800636
DPOGS201010	-0.224818
DPOGS201014	1.270105
DPOGS201015	-0.226152
DPOGS201020	1.651941
DPOGS201026	-2.229593
DPOGS201053	-1.751083
DPOGS201099	1.686781
DPOGS201128	-1.184505
DPOGS201210	1.244661
DPOGS201214	-0.718026
DPOGS201215	0.867923
DPOGS201217	-1.750439
DPOGS201218	-0.404574
DPOGS201219	1.495260
DPOGS201268	1.613010
DPOGS201272	-0.647037
DPOGS201274	-0.583440
DPOGS201405	1.641217
DPOGS201407	-0.068077
DPOGS201409	0.718650
DPOGS201410	0.733247
DPOGS201411	-1.126468
DPOGS201412	0.508724
DPOGS201414	-0.309322
DPOGS201416	-1.776203
DPOGS201420	-2.381540
DPOGS201426	0.802532
DPOGS201428	2.827199
DPOGS201429	2.119515
DPOGS201430	-0.815947
DPOGS201432	1.050916
DPOGS201433	0.419363
DPOGS201434	0.119686
DPOGS201435	1.610796
DPOGS201437	-0.702954
DPOGS201440	0.113264
DPOGS201442	-1.183371
DPOGS201443	0.523806
DPOGS201444	-1.473268
DPOGS201453	-0.950063
DPOGS201456	-0.773335
DPOGS201469	0.997844
DPOGS201472	1.938900
DPOGS201476	-0.016287
DPOGS201477	0.321637
DPOGS201482	2.034993
DPOGS201491	-0.931733
DPOGS201503	2.024850
DPOGS201505	-0.585370
DPOGS201508	-0.181671
DPOGS201510	-1.702738
DPOGS201511	0.978275
